question,option_a,option_b,option_c,option_d,answer,hint,srno
Who is empowered to make the Government Accounting Rules,CGA,CAG,President,Parliament,C,[Rule: Preamble],01.
The President is empowered to make Government Accounting Rules on the advice of the Comptroller and Auditor General under the provision given in Constitution in Article,149,151,150,152,C,[Rule: Preamble],02.
"GOVERNMENT ACCOUNTING RULES 1990"" and will come into force with effect from","1st April, 1989","1st April, 1990","1st April, 1993","1st April, 1994",B,[Rule: 1],03.
"Accountant General', means the Head of an Office of Accounts subordinate to the",President,Parliament,CAG,All of the above,C,[Rule: 2 (a)],04.
"Chief Accounting Authority', means",Secretary of the Ministry/Department,Principal Account Officer,Chief Controller of Account,Financial Advisor,A,[Rule: 2 (c)],05.
CAG isappointed under Article,146 of the Constitution of India.,148 of the Constitution of India,149 of the Constitution of India.,150 of the Constitution of India,B,[Rule: 2 (e)],06.
CGA is located in Ministry of Finance in the Department of,Expenditure,Economic Affairs,Budget,Public Debt and Loan,A,[Rule: 2 (f)],07.
"Who on the behalf of the President of India is responsible for prescribing the form of accounts of the Union and States, and to frame, or revise, rules and Manuals issued in terms of Article 150",CAG on the advice of CGA,CGA on the advice of CAG,CGA on the advice of Parliament,CAG on the advice of Parliament,B,[Rule: 2 (f)],08.
Consolidated Fund” means the Consolidated Fund of India referred to in Article,266 (1) of the Constitution,266 (2) of the Constitution,267 (1) of the Constitution,267 (2) of the Constitution,A,[Rule: 2 (g)],09.
"“Contingency Fund” means the Contingency Fund of India established under the Contingency Fund of India Act, 1950, in terms of Article",266 (1) of the Constitution,266 (2) of the Constitution,267 (1) of the Constitution,267 (2) of the Constitution,C,[Rule: 2 (h)],10.
"Consolidated Fund' of a Union Territory Government, referred to in","Section 47 of the Union Territories Act, 1963","Section 47 or the Union Territories Act, 1964","Section 48 or the Union Territories Act, 1963","Section 48 or the Union Territories Act, 1964",A,[Rule: 2 (g)],11.
"Contingency Fund' of a Union Territory Government, referred to in","Section 47 of the Union Territories Act, 1963","Section 47 or the Union Territories Act, 1964","Section 48 or the Union Territories Act, 1963","Section 48 or the Union Territories Act, 1964",C,[Rule: 2 (h) Section 48 Act 1963],12.
“Public Account” means the Public Account of India referred to in Article,266 (2) of the Constitution,266 (3) of the Constitution,286 (2) of the Constitution,268 (3) of the Constitution,A,[Rule: 2 (k)],13.
Article of Indian Constitution according to which the form in which the accounts of the Union and of the states shall be kept is to be prescribed by the President on the advice of the CAG?,148,149,150,151,C,[Rule: Note below 3],14.
"Who is responsible for prescribing the form of accounts of the Union and States, and to frame, or revise, rules and manuals relating thereto on behalf of the President of India on the advice of the Comptroller and Auditor General of India?",Accountant General,CCA,CAA,CGA,D,[Rule: Note below 3],15.
The annual accounts of Central Government and Union Territory Governments are certified by,CGA,CAG,Public Accounts Committee,President,B,[Rule: 4],16.
The annual accounts of State Governments are certified by,CGA,CAG,Accountant General of the State concerned,President,B,[Rule: 4],17.
The reports of the CAG on annual accounts of the Government shall be submitted to,The President,The President and the Governor of a State,The President and the Governor of a State or the Administrator of a UT having a Legislative Assembly as the case may be,Public Accounts Committee,C,[Rule: 4],18.
"Who shall cause the reports of the CAG on annual accounts of the Government to be laid before the Houses of Parliament, Legislatures of the States and of Union Territories respectively?",President,CGA,CAG,Finance Minister,A,[Rule: 4],19.
"Subsidiary instructions that would be necessary for carrying into effect the provisions of these rules, and in particular, instructions for opening new heads of accounts or modification of the existing ones or instructions relating to the content and manner of maintenance of accounts, will be issued by",Parliament on the advice of CAG,Parliament on the advice of CGA,CAG on the advice of CGA,Central Government in the Ministry of Finance on the advice of CAG,D,[Rule: 5 (D)],20.
"The Ministry of Railways, Controller General of Defence Accounts, Director General, Posts and Secretary Department of Telecommunications and Chairman Telecommunication Commission have been delegated functions of the Central Government under Article 150 of the Constitution in so far as such functions relate to the opening of sub-heads and detailed heads of Accounts under various major and minor heads of Accounts pertaining to their departments w.e.f",1976-77,1979-80,1982-83,1984-85,C,[Rule: Note below 3],21.
"State whether true or false        The Ministry of Railways, Controller General of Defence Accounts, Director General, Posts and Secretary Department of Telecommunications and Chairman Telecommunication Commission shall functions related to the opening of sub-heads and detailed heads of Accounts under various major and minor in consultation with CAG.",True,False,,,B,"[Rule: False. Railway- ADAI (Railway), Defence- (DADS), Post- Director of Audit (Post)]",22.
