question,option_a,option_b,option_c,option_d,answer,hint,srno
"Who is responsible to see that demands are made as revenue falls due, that steps are taken with a view to effect prompt realisation and that proper records are kept to show the assessments made, the progress of recovery and the outstanding debts due to Governments?",Divisional Accountant,Divisional Officer,Department/Ministry,Audit & Accounts Officer,B,(9.1.4_a),1.
"As an exception to the general rule of not to take credit for revenue to the head concerned until it is realised, the following may be credited as revenue before realisation. Pick the incorrect one",Supervision charges on sales of stock on cash and credit.,Sale proceeds of such articles of tools and plant as are creditable to the minor head 800 “Other Receipts” below the concerned functional Major SubMajor Heads of Account by debit to Sub-head “Miscellaneous Public Work Advances” under the Minor Head “799- Suspense” below the functional Major/Sub-Major Heads of Account.,Both,None,A,Only for credit sale and not cash sale(Note 2_i below 9.1.4_a),2.
The recovery of all debts due to Government in a PW division should receive the special attention of the,Divisional Accountant,Divisional Officer,Circle Engineer,PAO,B,(9.1.4_b),3.
"When a Public building, land or other property is licensed to a person not in the service of Government, full License fee must be recovered in advance at the",Normal Rate,Double the normal rate,Market rate,Assessed Rate,D,(9.3.1),4.
"The recovery of License fee from Government servants, occupying residential buildings (which can be provided on payment of licence fee) will be made in",Cash,Deduction from pay bill,Post office deposit,either a or b,D,(9.3.2),5.
"Where Government residences are meant for allotment to the staff of a single Office/Department, who will make necessary arrangements for the allotment and the recovery of Licence Fees of such residences?",Divisional Accountant,Divisional Officer,Administrative Ministry concerned,Directorate of Estate,C,(Note 1 below 9.3.2),6.
"Where the residences under the control of the Central Public Works Department are to be allotted commonly to the staff of several Offices/Departments and there is no regional office of the Directorate of Estates, who is to make the allotment and recovery of Licence fee of such residences?",Divisional officer in charge of building,PAO,"Directorate of Estate, New Delhi",Administrative Ministry concerned,A,(Note 1 below 9.3.2),7.
State whether true or false The system of direct recovery for hire or loss or damage of government property/furniture in connection with residential building in cash from employees of other divisions and departments is ordinarily suitable when the license fees recoverable is dependent upon the rate of pay of the occupant.,True,False,,,B,it is not suitable ((Note 3 below 9.3.2),8.
"Where licence fee is recoverable in cash, a bill in suitable form should be sent to the licensee",After the month,Within 7 days of following month,on or before the last day of each month,on or before the last day of following month,C,(9.3.3),9.
The Licensee should be required to pay the licence fees,Within 7 days of following month,Within 10 days of following month,Within 15 days of following month,Before the expiry of the following month.,D,(9.3.3),10.
"A demand in Form 48, Statement of Licence Fees recoverable in cash or by deduction from Pay Bills, should be sent before the close of each month to that officer who will make the necessary recoveries in",Single,Duplicate,Triplicate,Quintuplicate,B,(9.3.4),11.
"Where the PW Officer-in-charge of the Government building and disbursing officers who are responsible for recovery of licence fee are not rendering accounts to the same Accounts Office, the P.W. Officer will issue the licence fee Demand Statement (Form 48)",Single,Duplicate,Triplicate,Quintuplicate,C,(Note 1 below 9.3.4),12.
Please pick the incorrect regarding the disposal of Demand Statement (Form 48) in above case,One copy- Attached to pay bill,Second copy- Return to Divisional Officer,Second copy- Forwarded to PAO,Third copy-Retained in the office,C,(Note 1 below 9.3.4),13.
"In cases of cash recovery from Government Servants, the Divisional Office should obtain a certified Statement in Form 48 from",Licensee,Disbursing officers,PAO,Regional office of Estate,B,(Note 2 below 9.3.4),14.
"State whether true or false Form 48 will also include any amount due on account of hire of Government furniture, the value of articles of furniture and other Government property lost or damaged by a Government servant as well as any other dues for which a Government servant may be liable to Government in respect of residence allotted to him",True,False,,,A,(Note3 below 9.3.4),15.
Disbursing Officers are required to recover the amounts specified by the Divisional Officer,After a notice of 7 days,After a notice of 7 days,With prior reference to the licensee,Without prior reference to the licensee,D,(Note 4 below 9.3.4),16.
"If the licence fee recoverable from a Government servant is limited to a certain percentage of his emoluments, and such emoluments are changed retrospectively, the rate at which licence fee is recovered should also be changed",Retrospectively,Prospectively,From the date of issue of orders,At the discretion of Divisional Officer,A,(Note 5 below 9.3.4),17.
"If the emoluments of a Government servant had been changed in respect of a period during which he occupied a Government residence at some other station or stations, who should see that an intimation in this regard is sent to the concerned?",Government servant concerned,Division Accountant,Divisional Officer,PAO,B,(Note 6 below 9.3.4),18.
Intimation in above case is given to,Government servant concerned,Division Accountant of the station of residence,Divisional Officer of the station of residence,PAO of the station of residence,C,(Note 6 below 9.3.4),19.
Amounts recovered by deduction from Pay Bills of Government servants under the Payment control of Civil Pay and Accounts Officer will be,Passed on to Division,Not be passed to Division,Passed on to Principal Accounts,Passed on to Office of Estate,B,(9.3.5),20.
"The Pay and Accounts Officer in whose circle, the recoveries are made will",Debit the concerned revenue heads direct,Credit the concerned revenue heads direct,Debit the cash settlement suspense accounts,Credit the cash settlement suspense accounts,B,(9.3.5),21.
"Where the of license fee is made by PAO, the Divisional Officer should, however, credit the accounts of the Licensees with the recoveries as certified by the Drawing and Disbursing Officer concerned in",Statement of License fee Form 48,Register of Licence Fees of buildings and lands Form 49,Register of Revenue Form 46,Cash Settlement Suspense Register CPWA 47,B,(9.3.5),22.
State whether true or false Although individual-wise account is maintained in the cases of licence fee (Rent) for Government quarters forming part of General Pool accommodation (managed by the Director of Estates) no monetary settlement is to be effected. Such recoveries are required to be booked directly against the final head 0216,True,False,,,A,(9.3.6),23.
The accounts consolidating authority of the Post/Telecommunication/Railways/Defence shall render monthly statement of receipts including progressive figures for that financial year under the Head 0216 to,Chief Controller of Accounts,Controller General of Accounts,Planning Commission,Ministry of Finance,A,Chief Controller of Accounts of Min. of Urban Dev. & Poverty Alleviation (9.3.6),24.
The above figures while submitting the monthly accounts shall be given to,Computer cell of Chief Controller of Accounts,Computer cell of C.G.A’s organization,Computer Cell of Ministry of Urban Development,Computer Cell of Ministry of Finance,B,(9.3.6),25.
Fill in the blank A Licensee who is in receipt of a pension from Government should be treated as_______for the purpose of rules on License Fee and the payment will be made in _______,"Government Servant, cash","Government Servant, deduction from Pension","Private individual, cash","Private individual, deduction from Pension",C,(9.3.8),26.
"In the case of vacation of quarter by a Government servant before the last day of the month, owing to his departure on transfer, leave or retirement, the demand for the licence fees for the broken period should be made",at once,Within 7 days of vacation,Within one month of vacation,Within two months of vacation,A,(9.3.9),27.
"Pending orders on a representation against the Divisional Officer’s assessment, the amount assessed",shall be re-assessed,shall be withheld,shall be paid on demand,shall be cancelled.,C,(9.3.10),28.
"Should the representation prove successful, the excess amount charged should be adjusted as soon as orders are issued by",a reduction in the assessment of a subsequent month,by an actual repayment.,Both,None,C,(9.3.10),29.
Remission of revenue allowed before collection should be treated as,Reductions of Income,Reductions of demands,Reductions of Expenditure,Increase of expenditure,B,(9.4.1),30.
"Cash repayments of revenue actually collected and brought to account under the Major Heads 0059 Public Works, 0216 Housing, 1054 Roads and Bridges or Irrigation Major Heads concerned should be accounted for",Deduct Expenditure Minor Head 900 under Functioned expenditure head concerned,Increase of Refund Minor Head 900 under Functioned revenue head concerned,Deduct-Refunds Minor Head 900 of the Revenue head concerned.,Deduct-Refunds Minor Head 900 of the Expenditure head concerned.,C,(9.4.1),31.
Refunds of revenue (refunds of licence fees) adjusted by short assessment or short realization in a subsequent month and repayments of “Receipts and Recoveries on Capital Account should be taken in,Reduction of the receipts under the heads concerned.,Increased of expenditure under the heads concerned.,Misc. Expenditure,Civil Advances,A,(9.4.1),32.
"Pick the correct one (i) Before a remission or refund of any kind, otherwise in order, is allowed, the original demand or realisation, as the case may be, should be traced (ii) A reference to the remission or repayment should be so recorded against the original entry in the cash book and other accounts. (iii) A certificate of such a note having been made should be given in all vouchers for refunds. (iv) Even if possible any acknowledgement previously granted should not be taken back and destroyed as a note of the repayment being, in any case, shall be recorded on the counterfoil of the receipt.","i, ii and iii","i, ii and iv","ii, iii and iv",All of the above,A,"shall be taken back, destroyed and used as a voucher, if possible (9.4.2)",33.
All revenue receipts of the division should be classified and abstracted in a Register of Revenue in CPWA,Form 44,Form 45,Form 46,Form 48,C,(9.5.1),34.
Register of Revenue is maintained in,SD Office,Divisional Office,Circle Office,PAO,B,(9.5.1),35.
