question,option_a,option_b,option_c,option_d,answer,hint,srno
The provisions contained in the rules in this section do not apply to personal claims such as pay and allowances of Government Servants working in,Railways,Defence,Post & Telegraph,All of the above,D,[Rule: 63],01.
Bills for monthly pay and fixed allowances of Government servants may be signed at any time not,earlier than 3 days before the last working day of the month,earlier than 5 days before the last working day of the month,earlier than 7 days before the last working day of the month,earlier than 10 days before the last working day of the month,B,[Rule: 64 (2)],02.
Working day' shall be deemed to be a day on which,the office in which the disbursement is to be made is observing normal working business,the Accounts/Pay & Accounts office which has issued the salary cheque is observing normal working business,the bank is all open for transacting their respective ordinary business,all of the above made are observing their normal working business,D,[Rule: Explanation below 64 (2)],03.
The monthly salary bills may be signed and presented earlier than 5 days before the last working day of the month where these are to be presented at the offices of the departmental Pay and Accounts Officers and cheque drawing DDOs may be signed well in time to ensure that they reach the concerned office by the,15th  of the month to which the bills relate,18th  of the month to which the bills relate,20th  of the month to which the bills relate,25th  of the month to which the bills relate,C,[Rule: Note 1 (a) below 64 (2)],04.
"Where Government servants are posted at localities remote from the station of the concerned DDO also such bills in respect of Government servants who are on tour and payment is required to be made to them at the station where they are on tour, may be presented to the Accounts Officer, or Cheque Drawing DDO as the case may be, not earlier than",the 07th of the month to which the pay and allowances relate,the 10th of the month to which the pay and allowances relate,the 12th of the month to which the pay and allowances relate,the 15th of the month to which the pay and allowances relate,D,[Rule: Note 1 (b) below 64 (2)],05.
In above case the necessary outstation bank drafts to arrange for the dispatch so as to reach the claimants,within the first 5 working days of the next month,within the first 7 working days of the next month,within the first 10 working days of the next month,within the first 15 working days of the next month,B,[Rule: Note 1 (b) below 64 (2)],06.
The recovery of licence fee from Government servants of the Central Government in respect of buildings belonging to a State may be made in accordance with such procedure as may be prescribed by,the Central Government,the State Government concerned,Departmental Regulations,any of the above.,B,[Rule: 72 (3) (i)],07.
Detailed rules or procedure for recovery of licence fee in respect of State Government’s buildings under the administrative control of a Department of the Central Government may be prescribed by,Department of the Central Government after consultation with the Accounts Officer,the Accounts Officer after consultation with Department of the Central Government,State Government,State Government after consultation with Department of the Central Government,A,[Rule: 72 (3) (ii)],08.
"State whether true or false        In cases where any general pool accommodation is allotted to Officers whose pay and allowances are drawn from other than Central Government's Civil Estimates i.e. Posts and Telegraphs, Railways, Defence or State Governments and other cash paying departments, licence fee recovered is required to be remitted by the respective Accounts Officer to the Directorate of Estates by cheque or draft duly supported by the detailed schedules.",True,False,,,A,[Rule: 72 (6)],09.
Pick the incorrect one,Salary to the extent of the first one thousand rupees and two third of the remainder in execution of any decree other than a decree for maintenance is exempted.,One third of the salary in execution of any decree for maintenance is exempted.,"Provided that where any part of such portion of the salary as is liable to attachment has been under attachment, whether continuously or intermittently, for a total period of twenty-four months, such portion shall be exempt from attachment until the expiry of further period of twenty-four months","where such attachment has been made in execution of one and the same decree, shall, after the attachment has continued for a total period of twenty-four months, be finally exempt from attachment in execution of that decree.",C,[Rule: Note 1 (i) below 74 (2) (12 months and 24 months)],10.
Pick the incorrect one,'salary' means the total monthly emoluments excluding any allowance declared exempt from attachment under the provisions derived by a person from his employment whether on duty or on leave.,Subsistence grant or allowance made to any Government servant while under suspension is exempted from attachment,"All kinds of travelling allowances, all kinds of conveyance allowances, all house-rent allowances, Dearness Allowance, Children's education allowance, all amounts paid by way of reimbursement of medical expenses besides are exempted from court attachment.","Dearness pay, which, though, is really a part of the dearness allowance and is treated as pay for certain specific purposes only, is not exempted from attachment by order of a Court.",D,[Rule: Note 3 below 74 (2)],11.
If an order of attachment against a Government servant is received before a previous order of attachment against the same Government servant has been fully complied with,No recovery be effected till the completion of previous one but decree should be retained by the DDO for future action,No recovery be effected till the completion of previous one and the decree shall be returned to the court,The recovery shall be effected in normal course,The recoveries shall be made by the DDO so long as the total amount recoverable is within the maximum limit prescribed.,D,[Rule: 74 (1)],12.
"If a new attachment order has the result of the total attachable amount exceeding the maximum limit prescribed, the disbursing officer shall return the new attachment order to the court concerned with a statement showing except",particulars of the existing attachment (s),"particulars of the amount (s) withheld and paid up-to-date into the Court (s) concerned,",the amount (s) remaining to be recovered,the certificate of the Government servant for staying till completion of the previous attachment order,D,[Rule: 75 (2)],13.
"Any deductions which may have to be made on account of subscriptions to provident funds recognised by Government, taxes on income payable by the Government servant, dues of co-operative societies and debts due to Government should be made from",the gross salary,the non-attachable portion of the Government servant's salary,either at the discretion of the Head of the Department,either at the request of Government Servant concerned.,B,[Rule: 76],14.
