question,option_a,option_b,option_c,option_d,answer,hint,srno
"For purpose of financial control, the grants allotted to each major head of accounts is divided into",Financial unit,Primary unit,Objective Unit,Detailed unit,B,,1.
Government accounts are kept in three parts. Pick the incorrect one,Consolidated Fund of India,Contingency Fund of India,Public Account,Emergency Fund of India,D,,2.
Which do not have a Public Account and transactions pertaining to this account is booked in Public Account of Union Government,State of J&K,State of Sikkim,Union Territories,All of the above,C,,3.
"Pick the correct ones (i) Consolidated Fund of India has two division namely Revenue & Capital (ii) Revenue Division is divided into two parts-Revenue Receipt and Revenue Expenditure (iii) Capital Division is divided into three parts-Capital Receipt, Capital Expenditure and Public Debts, Loans and Advances (iv) Appropriation to Contingency Fund and inter-State settlement are dealt in Section Public Debt, Loan and Advances under Public Account in Part III",i and ii,"i, ii and iii","i, ii and iv",All of the above,B,(for iv it is consolidated fund) Para  5.5.2 (c),4.
"Pick correct one regarding provisions of Consolidated, Contingency Fund of India and Public Accounts (i) Article 266 Consolidated fund of India (ii) Article 267 Contingency Fund of India (iii) Article 266 (2) Public Accounts (iv) Rule 52 of Union Territory Act 1952 regarding Contingency Fund of Union Territories","i, ii and iii","i, ii and iv","ii, iii and iv",All of the above,A,(Rule 48 of UT Act 1963),5.
"Transaction relating to debts (other than those included in Part I), Deposits, Advances, Remittance and Suspense shall be recorded in",Consolidated Fund of India,Contingency Fund of India,Public Account,Budget,C,,6.
Consolidated Fund of India is divided into three sectors. Pick the incorrect one,General Service,Social Service,Health & Medical Services,Economic Service,C,,7.
"In which part of the Government Account, the Sector/Sub-Sector shall be distinguished by letters of alphabet",Consolidated Fund of India,Contingency Fund of India,Public Account,All of the above,C,,8.
Classification of structure of Government Accounts is made into how many tiers?,Four,Six,Thirteen,Fifteen,B,Six-tiers arrangement ,9.
"Pick the correct ones (i) Revenue Accounts (Receipt & Expenditure) : 0020-3999 (ii) Capital Account (Receipt & Expenditure) : 4000-5999 (iii) Public Debt, Loan & Advances : 6000-7999 (iv) Public Accounts : 8000-8999",i and ii,"i, ii and iii","i, ii and iv",All of the above,B,,10.
Match the following (A ) Major Head/Sub-Major Head (i) Programme/Sub-Programme (B) Detailed Head (ii) Function/Sub-Function (C) Minor Head/Sub-Minor Head (iii) Notes of expenditure on scheme/Sub- Scheme (D) Object Head (iv) Sub-Scheme,"A-I, B-ii, C-iii, D-iv","A-ii, B-i, C-iv, D-iii","A-ii, B-iv, C-i, D-iii","A-ii, B-iii, C-I, D-iv",C,,11.
The working Division will prepare the budget for stock on the basis of,Direct purchases,Indenting on store division,None,Both a & b,D,,12.
State whether true or false Departmental payment abroad are made in accordance with the average rate of exchange w.e.f 01.04.1974,True,False,,,B,(Average rate abolished from 1974),13.
In case of instances of gain or loss on foreign exchange shall be recorded by a Revenue Division in,0059/2059,0070/2070,0071/2071,0075/2075,D,,14.
In case of instances of gain or loss on foreign exchange shall be recorded by a Capital Division in,Revenue Functional Head,Functional Head,Deposit Head,Suspense Head,B,"In case of capital outlay such gain or loss is accounted for in concerned capital head i.e. 4059, 5054, 4701, 4226 etc.",15.
Provisions regarding re-appropriation of fund have been given in,"Rule 10 of GFR, 2005","Rule 10 of GAR, 1990",Rule 10 Delegation of Financial Power Rule 1978,"Rule 10 of Receipt & Payment Rules, 1983",C,,16.
Fill in the blanks All cases of re-appropriation involving saving of___________for plan head relating to a Ministry/Department as a whole would have to be referred to Ministry of Finance for decision giving detailed justification in support of proposal,Rs. 1 lakh or more,More than Rs. 1 lakh,Rs. 10 lakh or more,More than Rs. 10 lakh,D,,17.
Reference to Ministry of Finance for cases involving saving of amount so decided if the saving pertains to,Plan Head,Non-Plan Head,Contingency Head,All of the above,A,,18.
Who shall be responsible for reconciliation of the figure given in the accounts maintained by the Department with those appearing in the Accounts Officer’s book,DDO,Head of Department,Accounts Officer,Both b & c jointly,D,,19.
The initial responsibility to reconciliation of accounts rests with,DDO,Head of Department,Pay & Accounts Officer,Both b & c jointly,C,,20.
Liabilities may be divided into,Two classes,Three classes,Four classes,Six classes,C,,21.
All liabilities and assets of the division adjustable by transfer credit/debit to remittance head of accounts should be registered in,CPWA Form 37,CPWA Form 47,CPWA Form 57,CPWA Form 77,C,Rule: 5.5.3,22.
"Liabilities may be divided into four clauses. Pick the incorrect one (i) Those outstanding in the suspense account, relating to contractors and labourers, in the accounts of works (ii) Those outstanding in any of the regular suspense accounts of the division (iii) Outstanding debts adjustable by book transfer, and (iv) Matured claims of contractors, suppliers, etc. awaiting settlement and all unmatured claims, the recurring or non-recurring likely to fall due for settlement before close of the year.",ii,iii,iv,None,D,,23.
