question,option_a,option_b,option_c,option_d,answer,hint,srno
The minor head for Material Purchase Settlement Suspense Account ‘ below  ‘Major Head-8658- Suspense Accounts ‘ is,107,129,108,127,B ,,1.
"When the stores from abroad arrive,",MPSSA is credited and stock or work as the case may be debited,MPSSA is debited and stock or work as the case may be credited,MPSSA is minus credited and stock or work as the case may be credited,MPSSA is minus debited and stock or work as the case may be debited,A ,,2.
The amount taken into account is the amount,of the quantity in the indent placed,of quantities actually received the amount being determined by converting the invoiced sterling value into rupees at the composite rate of exchange for the month in which store is received in the Division,of quantities actually received the amount being determined by converting the invoiced sterling value into rupees at the composite rate of exchange for the month in which the payment was made in High Commission/Embassies abroad,of the quantity in the indent placed the amount being determined by converting the invoiced sterling value into rupees at the composite rate of exchange for the month in which the payment was made in High Commission/Embassies abroad,C ,,3.
Composite Rate of exchange is determined by,Ministry of External Affairs,Ministry of Trade & Commerce,High Commission/Embassies abroad,Ministry of Finance,D ,,4.
"If the month in which the payment was made in High Commission/Embassies abroad is not known, the provisional composite rate of exchange is taken into account for the",month in which the stores were dispatched from High Commission/Embassies abroad,month in which the stores were received in India,month in which the stores were received in Division concerned,Any of the above which being the least.,A ,,5.
Debit for the payment for stores made in High Commission/Embassies abroad which will be calculated in rupees at the composite rate of exchange for the month of payments is received in Division from,PAO (Ministry of Finance),PAO (Ministry of External Affairs),the Accounts Officer,Director General (Works),C ,,6.
Accounting entry made when debit for payment for stores made in High Commission/Embassies abroad is received in Division concerned,credit MPSSA and debit Stock or work as the case may be,debit MPSSA and credit PW Remittance,credit MPSSA and debit PW Remittance,debit MPSSA and credit Stock or work as the case may be,B ,,7.
In case the debit for the payments made in High Commission/Embassies abroad is received before the arrival of the stores required for a work,Cash Settlement Suspense Account (8658-107) will be debited and PW remittance will credited,Material Settlement Suspense Account (8658-129) will be debited and PW remittance will credited,Contractors – Other Transaction under the work concerned will be debited and PW remittance will credited,Miscellaneous Work Advance under the Stock will be debited and PW remittance will credited,C ,,8.
In case the debit for the payments made in High Commission/Embassies abroad is received before the arrival of the stores required for a stock,Cash Settlement Suspense Account (8658-107) will be debited and PW remittance will credited,Material Settlement Suspense Account (8658-129) will be debited and PW remittance will credited,Contractors – Other Transaction under the work concerned will be debited and PW remittance will credited,Miscellaneous Work Advance under the Stock will be debited and PW remittance will credited,D,,9.
Indian Charges means,Balance of sea freight and carriage and incidental charges,Departmental expense and Marine Insurance borne by High Commissions/Embassies abroad,Miscellaneous expenditure in connection with supply of store from abroad,All of the above.,A ,,10.
Indian charges should be,debited direct to contingency account of the division and credited to MPPSA,debited direct to Stock or works concerned and credited to MPPSA,debited direct to MPSSA and credit to Stock or work concerned,debited direct to CSSA and credit to Stock or work concerned,B ,,11.
When debit for Indian charges is received prior to the arrival of the stores in the division,Cash Settlement Suspense Account (8658-107) will be debited and PW remittance will credited,Material Settlement Suspense Account (8658-129) will be debited and PW remittance will credited,Contractors-Other Transaction/MWA as the case may be will be debited and PW remittance will credited,Contingency Account of the Division will be debited and PW remittance will credited,C ,,12.
Pick the incorrect one,"A surcharge at the rate fixed by Government from time to time, to cover departmental expenses and marine insurance, is added by the High Commissioner for India","The surcharge is added to the invoiced price excluding freight on all stores obtained from abroad through its Supply Wing by State Government, Commercial Departments, including Irrigation Works, Government Commercial Undertakings, Local Funds, private individuals, etc.",Neither of the two,Both A&B,B ,,13.
Where the contractor undertakes to deliver stores at an Indian Port and not at the Stores Offices abroad the surcharge,leviable will be for both departmental charges and marine insurance,will not be leviable either for departmental charges or marine insurance,leviable will be only for marine insurance.,leviable will be only for departmental charges,D ,,14.
The extra charge for marine insurance covers,the risk and losses during the voyage to India,the risk and losses between the ship’s side and the shore.,Both A&B,None of the given,A ,,15.
Pick the correct one,"The adjustment of the surcharge is made by the Indian Embassy. A similar extra charge should be made in India for Stores imported from abroad for the Union Government, but eventually transferred to State Governments etc.",The amount of the surcharge should be credited under the minor head Other Receipts below the relevant functional major head on imported stores.,Both A&B,None of the given,C ,,16.
"In making recoveries from the agents of vessels on account of short delivery of stores, the surcharge should",be added to the involved value of the stores including freight,be added to the involved value of the stores excluding freight,not be added to the involved value of the stores excluding freight,not be added to the involved value of the stores including freight,D ,,17.
Pick the correct one,"The balances representing the value of stores received, for which no debits for payments made abroad have come to hand reference being made at once to the Accounts Officer in such cases.","Balances due to short deliveries etc. which cannot be cleared by recovery of cost, are not adjustable, until their write off has been sanctioned by competent authority.",The transactions relating to stores procured abroad should be recorded in Form CPWA 67 Suspense Register under two classes of purchases i.e. (1) Purchases for Stock and (2) Purchases for specific works,All of the above.,D,,18.
