question,option_a,option_b,option_c,option_d,answer,hint,srno
Operation of minor head  ‘107 – Cash Settlement Suspense Account ‘ below the Major Head  ‘8658 – Suspense Accounts ‘ for the settlement of inter-divisional transactions in Public Works Divisions has been discontinued w.e.f,1st April 1993,1st January 1983,1st April 1995,1st January 1995,A ,,1.
Operation of CSSA for the settlement of inter-divisional transactions in Public Works Divisions has been replaced by,Material Purchase Settlement Account,Advance Payment,Book Transfer,Cash Payment.,B ,,2.
Accounting entry for indenting division when payment made for supply for store,Debit Stores/Service Advance under the Minor Head 799- Suspense below the functional Revenue or Capital Major/Sub-Major Heads concerned per contra credit to Sub-Head Public Works Cheques under the minor head  ‘102 – Public Works Remittances ‘ below the Major Head 8782,credit Stores/Service Advance under the Minor Head 799- Suspense below the functional Revenue or Capital Major/Sub-Major Heads concerned per contra debit to Sub-Head Public Works Cheques under the minor head 102 – Public Works Remittances ‘ below the Major Head  ‘8782,Debit Stores/Service Advance under the Minor Head 799 – Suspense below the functional Revenue or Capital Major/Sub-Major Heads concerned per contra credit to Minor Head 107-Cash Settlement Suspense Account below the Major Head 8658-Suspense Account.,credit Stores/Service Advance under the Minor Head 799 – Suspense below the functional Revenue or Capital Major/Sub-Major Heads concerned per contra debit to Minor Head 107-Cash Settlement Suspense Account below the Major Head 8658-Suspense Account.,A ,,3.
Supplying Division on receipt of the cheque/draft towards supply of store from indenting division will,Debit to sub-head Stores supplied/Services rendered under the minor head 799-Suspense below the functional Major of Account concerned per contra Credit to 8782 - Cash Remittances etc.-102- Public Works Remittances-Remittances into Bank.,Minus Debit to sub-head Stores supplied/Services rendered under the minor head 799-Suspense below the functional Major of Account concerned per contra Debit to 8782 - Cash Remittances etc. - 102- Public Works Remittances- Remittances into Bank.,Debit Sub-head Stock under the minor head  ‘799 Suspense below the functional Major head concerned per contra Credit to 8782 - Cash Remittances etc.- 102- Public Works Remittances Remittances into Bank.,Minus Debit Sub-head Stock under the minor head  ‘799 Suspense below the functional Major head concerned per contra Debit to 8782 - Cash Remittances etc.- 102- Public Works Remittances Remittances into Bank.,B ,,4.
"After actual delivery of stores or rendition of services, Supplying Division will",Debit Sub-Head  ‘Stores supplied or Services rendered ‘ under the minor head  ‘799 – Suspense ‘ below the functional Major/Sub-Major head concerned by Credit (minus Debit) to Sub-head  ‘Stock ‘ under the minor head  ‘799 Suspense ‘ below the functional Major/Sub-Major head concerned.,Credit Sub-Head  ‘Stores supplied or Services rendered ‘ under the minor head  ‘799 – Suspense ‘ below the functional Major/Sub-Major head concerned by minus credit to Sub-head  ‘Stock ‘ under the minor head  ‘799 Suspense ‘ below the functional Major/Sub-Major head concerned.,Debit Sub-head Stock under the minor head  ‘799 Suspense below the functional Major head concerned per contra Credit to 8782 - Cash Remittances etc.- 102- Public Works Remittances Remittances into Bank.,Minus Debit Sub-head Stock under the minor head  ‘799 Suspense below the functional Major head concerned per contra Debit to 8782 - Cash Remittances etc.- 102- Public Works Remittances Remittances into Bank.,A ,,5.
"Excess Debit, if any, will be refunded to the Indenting Division",before the store is actually supplied,at the time of supplying the store,before the close of the monthly account in which store was supplied,before the close of financial year in which store was supplied,D ,,6.
Pick the correct one,"The invoice-cum-bill received from the Supplying Division, should be adjusted in the same month by the Indenting Division.",Adjustment is made by debiting the value of the invoice to Stock with a corresponding minus Debit to Sub-Head  ‘Store/Service Advance ‘ under the head of account to which the same stands debited originally.,Both A&B,None of the given,C ,,7.
Entry in the books of account of PAO on receipt of daily payment scroll together with paid cheque,Minus Debit 102-PW Remittance below 8782-Cash Remittance and Debit 108-PSB Suspense below 8658-Suspesne Account,Minus Credit 102-PW Remittance below 8782-Cash Remittance and Credit 108-PSB Suspense below 8658-Suspesne Account,Minus Credit 101-Central Civil below 8675-Deposit with Reserve Bank and Credit 108-PSB Suspense below 8658-Suspesne Account,Minus Debit 101-Central Civil below 8675-Deposit with Reserve Bank and Debit 108-PSB Suspense below 8658-Suspesne Account,B ,,8.
Entry in the books of account of PAO on receipt of daily receipted scroll together with challan,Minus Debit 102-PW Remittance below 8782-Cash Remittance and Debit 108-PSB Suspense below 8658-Suspesne Account,Minus Credit 102-PW Remittance below 8782-Cash Remittance and Credit 108-PSB Suspense below 8658-Suspesne Account,Minus Credit 101-Central Civil below 8675-Deposit with Reserve Bank and Credit 108-PSB Suspense below 8658-Suspesne Account,Minus Debit 101-Central Civil below 8675-Deposit with Reserve Bank and Debit 108-PSB Suspense below 8658-Suspesne Account,A,,9.
On receipt of a copy of daily payment and receipted scroll in division action to be taken as,noting the amount in CPWA 51 in Part I and Part II for payment and receipted scroll respectively,noting the amount in CPWA 51 in Part II and Part I for payment and receipted scroll respectively,noting the amount in CAM 17 and 17A for payment and receipted scroll respectively,noting the amount in CAM 17A and 17 for payment and receipted scroll respectively,B ,,10.
