question,option_a,option_b,option_c,option_d,answer,hint,srno
The transactions connected with each manufacture either for general requirements or for a particular work shall be kept in a separate account called,Job Account,Log Account,Production Account,Manufacture Account,D,12.1.1,1.
An account of the quantities and value of the products of the manufacture is to be maintained in,Job Card,History card,Manufacture card,work card,A,12.1.2,2.
Job card is maintained to ascertain the cost of,Capital and Revenue charges,Direct and indirect charges,Operation and Out-turn,All of the above,C,12.1.2,3.
The progress of the manufacture will have to be recorded in the Register of Manufacture in Form,CPWA 41,CPWA 42,CPWA 41A,CPWA 42A,B,12.1.3,4.
"Pick the correct ones (i) It is essential that the accounts of manufacture shall not remain open indefinitely. (ii) If the operations are seasonal, the accounts of each season should be kept separate and closed as soon as the operations are closed. (iii) In cases in which operations are continuous, the accounts must nevertheless be closed periodically, but at least once a month. (iv) A Manufacture Account is debited directly with (1) value of raw materials issued from stock or obtained otherwise, (2) the cost of the labour employed, and (3) other incidental charges connected with the operations.","i, ii and iii","i, ii and iv","ii, iii and iv",All of the above,B,"For (iii) it should be closed at least once a year, 12.1.4",5.
"Capital charges on account of a manufacture account consists of the following, pick the incorrect one",Land,Kilns,Raw material,Special plant,C,12.2.2 (a),6.
"Capital charges incurred in connection with a manufacture which does not extend beyond a single season, are debited",Wholly to the account of the manufacture,Partially to the account of manufacture,Wholly to accounts of manufacture if amount does not exceed 1000/,When amount exceeds 1000/- partially to manufacture account and partially to capital accounts.,A,12.2.2 (a),7.
"Pick the correct one regarding accounting of capital charges incurred in connection with a manufacture which extend over more than one season (i) The charges should be debited in the first instance, to a special account under sub head “Land, Kilns, etc.” of the Stock Account (ii) However, the successive repair and renewal should not be debited to this account and instead should be accounted for in manufacture account directly. (iii) The charges under sub head Land, Kilns etc. should be recovered in suitable instalments by debit to the ‘Operation’ Accounts of the several seasons (iv) The decision regarding the suitable instalments as given by the authority sanctioning the initial charge and should not be deviated from without the further orders of that authority",i. ii and iii,"i, iii and iv","ii, iii and iv",All of the above,B,"Repair & renewal charges should be debited to this account, 12.2.2 (b) ",8.
"The number of instalment by which charges recorded under sub head Land, Kilns etc. shall be cleared, should be recorded in",Bin Card,Job Card,Priced Stores Ledger,Log Card,C,Note 1_12.2.2 (b),9.
"When the land, kilns, plant, etc., acquired for departmental manufacture operations are leased to a contractor of the division or other person, the rent charged should be",Credit to revenue,"Credit to Sub head Land, Kiln etc","Debit to Sub head Land, Kiln etc",Minus debit to 2059,B,Note 2_12.2.2 (b),10.
"State whether true or false If the manufacture is undertaken on behalf of other divisions, Department of Governments or of local bodies or individuals, a charge should be made on account of establishment and tools and plant etc.",True,False,,,A,12.2.2 (c),11.
"Pick the correct one (i) No charge is permissible on account of the general establishment and ordinary tools and plant charges (ii) Similarly on account of interest on the capital cost of the land, kilns, plant etc. no charges should be levied (iii) Accordingly, these charges should not be included in any of proforma accounts of manufacture operations of the division (iv) Proforma accounts is prepared view to compare the cost of articles manufactured departmentally with rates charged by suppliers.",i. ii and iii,"ii, iii and iv","i, ii and iv",All of the above,C,"These charges to be included in proforma account, 12.2.2(d)",12.
Proforma Accounts of a manufacture operations is prepared under the orders of,Divisional Officer/Superintendent of Workshop,Accounts Officer,Admin. Min/Administrator,CGA,C,12.2.2 (d),13.
"Pick the correct one (i) The accounts of road metal digging are treated as manufacture accounts (ii) A job card may be opened for each job and all the expenditure connected with the job should be noted in this card. (iii) The value of job should be finalized after adding/totalling this expenditure and adding suitable percentage to cover labour, tools and plants, overheads etc. (iv) The value of this can be compared with the market rates by the Divisional Officer to satisfy himself if the work is being done economically.",i. ii and iii,"i, iii and iv","ii, iii and iv",All of the above,C,"Metal digging not a manufacture account, 12.2.3 & 12.2.4",14.
Manufacture Accounts is essentially a,Suspense Account,Final Account,Both,Neither,A,12.3.1,15.
Manufacture transactions are recorded under a distinct sub-head called “Manufacture” of,Material Account,Work Account,Stock Account,Misc. Account,C,12.3.1,16.
"Pick the correct one (i) Operations charges should be shown as receipts of Stock under the sub-head “Manufacture”, charges representing value of Stock Material issued to manufacture being simultaneously treated as issue of Stock under the sub-heads concerned. (ii) All out-turn should first be brought formally on the Stock account, by crediting its value to “Manufacture” and simultaneously showing the articles as receipts of Stock under the sub-heads concerned. (iii) The value of surplus material sold or otherwise disposed of should, also be credited to Manufacture”. (iv) If the rate of which any article of out-turn, manufactured for particular work is valued, turns out to be different from the Issue Rate of a similar article already in stock, the value of higher amount should be taken into account for the purpose of stock accounts.",i. ii and iii,"i, iii and iv","ii, iii and iv",All of the above,A,"In case of (iv) value should be averaged, 12.3.2 & Note 1 below it.",17.
"State whether true or false No supervision charge is leviable in respect of materials manufactured on behalf of other divisions, departments, Governments, local bodies and individuals, which are formally passed through the Stock account.",True,False,,,A,12.3.2,18.
