question,option_a,option_b,option_c,option_d,answer,hint,srno
Part of cash includes (i) Legal tender coin (ii) Legal tender notes (iii) Cheque/draft towards departmental dues (iv) Deposit at call receipt of Sch Bank (v) Rs. 1 Revenue Stamp (vi) Rs. 5 Revenue stamp,"i, ii,, iii","i, ii, iii, iv",All except vi,All of the above,C,,1.
Which of the following is/are not part of cash,Cheque for refund of advance,Cheque deposited by contractor,Personal cheque of DDO,All of the above,C,,2.
Which of the following is/are not part of cash,Government Securities,Deposit receipt,"Debenture of Govt. ,  Bond as security deposit, Service Postage Stamp",All of the above,D,,3.
Any person paying money into accredited bank to the credit of Public Works Division shall present it with,Memorandum or challan in CPWA Form 7,Paying slip,Deposit Slip,Bank Scroll,A,,4.
State whether true or false The first (interim) LoC to be opened in the favour of Cheque drawing & disbursing officer at the end of the current financial year,True,False,,,B,(in the beginning of the FY),5.
Maximum number of LoC issued in a year is,Three,Four,Five,Six,C,,6.
Head of Department will make distribution of allotment amongst DDOs under his control under intimation to,Head of the Office,Pay & Accounts Officer,Accredited Bank,"Central Bank, RBI at Nagpur",B,,7.
Pick the incorrect one regarding date of issue of LoC (i) First : Beginning of the F.Year (ii) Second : By 30th June (iii) Third : By September (iv) Fourth : By January (v) Fifth (last) : By 10th March,i and v,ii and iii,"ii, iii and v","iii, iv and v",C,"(2nd-by 10th June, 3rd-by Oct, 5th-by 15th Mar)",8.
Maximum percentage of budget grant allotted shall be issued from April to September,50,70,80,90,C,,9.
Proposal for the third LoC along with reconciliation statement upto the end of August shall be submitted by,31st August,10th September,15th September,18h Septmeber,C,,10.
No LoC for the financial year shall be issued by the LoC Cell after,15th February,Last working day of February,10th March,15th March,D,,11.
The fifth and final LOC will be issued on 15th of March indicating final adjustment for which demand should be received by 10th March for the Division located at New Delhi and for outstation Divisions by,1st March,3rd March,5th March,7th March,C,,12.
Who is responsible to ensure that at no time the amount assigned in the letter of credit is exceeded by the payment of any,DDO,Officer executing the work,Divisional Accountant,Paying Bank Branch,D,,13.
The cheque (s) actually issued during the last LoC but presented for payment during the first LoC of current financial year will be taken by the bank against the assignment of the year,in which they are paid,in which they were drawn,As indicated by the Divisional Officer,As decided by paying branch,B,,14.
"Regarding payment by Divisional Officer, please pick the correct ones (i) Advances from Provident Fund for all categories; (ii) Withdrawal from General Provident Fund and final withdrawal of accumulations in the Fund from Group ‘D’ employees; (iii) Payments arising under the Deposit Linked Insurance Scheme to Group ‘D’ employees (iv) All short term loans and advances to Government servants recoverable in less than 84 instalments (v) Withdrawals from provident fund in respect of Government servants other than Group ‘D’ will be paid by Zonal Pay & Accounts","i, ii and iii","i, ii, iii and iv","i, ii , iii and v",All of the above,C,(less than 70 installments),15.
Generally a cheque should not be issued for an amount less than,Rs. 10,Rs. 25,Rs. 100,Rs. 500,A,,16.
