question,option_a,option_b,option_c,option_d,answer,hint,srno
The procedures to be followed by treasury officers and Public Debt offices of the Reserve Bank in making payment in respect of the principal of market loans add interest thereon when they fall due shall be governed by the provisions contained in,RBI Manual,Government Securities Manual,Treasury Rules and Manual,General Financial Rules,B,[Rule: 167],01.
"Procedure to be followed by the Post Offices in respect of the custody, issue and discharge of National Savings Certificates may be laid down by the",Central Government,State Government concerned,Posts and Telegraphs departmental regulations,Parliament,C,[Rule: 169],02.
"The conditions under which certificates of different denominations are issued and discharged, the maximum, limits of investment, the interest which accrues on them and other connecting matters",State Government concerned,Central Government,Either State or Central Government,Posts and Telegraphs departmental regulations,B,[Rule: Note below 169],03.
Subscriptions to a Provident Fond of the Government are recovered ordinarily by deduction from pay bills of the Government servants concerned .and the responsibility for making necessary deductions regularly and correctly devolves upon,Drawing officer,Subscriber,Head of Office,Accounts Officer,A,[Rule: 171],04.
Premia or subscriptions to the Post Office Insurance Fund may be realised,by deduction from pay bills of the subscribers,by payment in cash at Post Offices only,either of the way,neither of the two,C,[Rule: 172],05.
If the leave salary of a subscriber has not been drawn or the official is on leave without pay,"the name of the official should be included in the schedule GAR 40 without showing any recovery, but suitable remarks may be given in remarks column as the case may be.",the name of the official should be included in the schedule GAR 40,the name of the official should be included in the schedule GAR 40 with showing normal recovery with a suitable such on leave and subscription unpaid remarks may be given in remarks column as the case may be,the name of the official should be included in the schedule GAR 40 with showing normal recovery being remitted by the Government subject to short drawing in next bill,A,[Rule: Note 2 (ii) below 172],06.
State whether true or false No lump sum credit without the supporting schedule or details of recovery should be sent.,True,False,,,A,[Rule: Note 2 (iv) below 172],07.
Pick the incorrect one,"In cases in which subscription or repayment of advances are paid by deduction from pay bills, the requisite particulars shall be entered by the Head of Office in a separate schedule in the Form GAR 41 to be attached to the pay bill.","If the subscription is paid in cash, the number of the account and all other, particulars) mast ""be furnished.","The schedules in respect of the recoveries effected from Group D Government servants, whose General Provident Fund Accounts are maintained by Heads of Offices, shall be signed by himself when signing the pay bills after comparing the total in the schedules with the total deductions shown in the pay bills","The schedules in such cases will not be attached to the pay bills, instead a certificate will be attached to the pay bills indicating the total amount deducted as subscriptions and refund of withdrawals.",C,[Rule: Note below 173. Schedule shall be signed by drawing officer],08.
"When a subscriber to any Fund whose subscriptions are realised by deduction from pay bill is transferred from one office to another, the fact that he is subscribing to the fund by noting thereon the amount of his monthly subscription and the number of the Fund account and Life Insurance policy, if any, financed therefrom as well as of Post Office Insurance Fund Policy shall be certified on the",last pay certificate,A certificate by DDO,a certificate by HoO,a certificate by Accounts Officer,A,[Rule: 174],09.
Pick the incorrect one,Advances and withdrawals from a Provident Fund may be drawn on Form GAR 42,the bill shall be supported by a copy of the sanction accorded by the competent authority.,"Where the amount of the advance or withdrawal exceeds Rs.500, the payment may be made, even to a non-gazetted subscriber, by an 'Account Payee' cheque drawn in his favour if so desired by the subscriber.",Withdrawals from Provident Fund by officers and staff serving abroad for payment of Insurance premium in India may he remitted by bank drafts.,C,[Rule: 175. When exceeds Rs. 250 and not Rs. 500],10.
"All bills for payment of advances, or final withdrawals from Provident Fund are to be submitted for payment to the",DDO,Head of Office,Head of Department,Accounts Officer,D,[Rule: 175 (3)],11.
"When a Government employee (other than one belonging to Group 'D'), who is about to retire or superannuate shall submit an application in the prescribed form to the Accounts Officer concerned, through his Head of Office-cum-drawing and disbursing officer",six months in advance of the event,one year in advance of the event,fifteen months in advance of the event,eighteen months in advance of the event,B,[Rule: 176],12.
Who shall issue a pre-closuring statement of accounts in respect of provident fund account of retiring or superannuating government servant?,Subscriber,DDO,HoO,Accounts Officer,D,[Rule: 176],13.
"The Pre-Closing Statement of Account"" shall be issued by",not later than 10 weeks in advance of the retirement,not later than 10 months in advance of the retirement,not later than 6 weeks in advance of the retirement,not later than 6 months in advance of the retirement,A,[Rule: 176],14.
"The DDO shall prefer, irrespective of whether he has received the said ""pre-closing statement of account"" from the Accounts Officer or not, a bill in Form GAR 42 append thereto a calculation sheet so as to reach the Accounts Officer",15 days in advance of the event,one month in advance of the event,two months in advance of the event,three months in advance of the event,B,[Rule: 176],15.
"True or false          In the case of Group 'D' Government servants whose General Provident Fund accounts are maintained by Heads of Offices, the bills for final payment do not have to be submitted to the Accounts Office for pre-check payment but the verification and arrangement for payment of the claims shall be made by the Head of Office concerted.",True,False,,,A,[Rule: Note below 176],16.
The payment of additional amount payable under the Provident Fund Deposit Linked Insurance Scheme on the death of a subscriber shall be authorised by the,"CPAO, New Delhi",Zonal PAO,Accounts Officer,authority competent to make final payment of provident fund of deceased,D,[Rule: 177],17.
"Amounts payable under the Central Government Employees Insurance Scheme 1977, Shall be authorised by the",Head of the office,Head of Department,Accounts Officer,Principal Accounts Officer,A,[Rule: 179],18.
"State whether true or false        In the absence of valid nomination, the insurance amount payable under the scheme shall not be disbursed and withheld under Deposit.",True,False,,,B,[Rule: Note below 179],19.
Claim for payment under Central Government Employees Insurance Scheme 1977 shall be drawn on bill in Form,GAR 40,GAR 41,GAR 42,GAR 43,C,[Rule: 179],20.
Claims for payment pertaining to Central Government Employees' Group Insurance Scheme. 1980 and the Scheme as extended to All-India Services as per All-India Services (Group Insurance) Rules 1981 shall be preferred in Form,GAR 41 & 42 respectively,GAR 42 & 43 respectively,GAR 43 & 44 respectively,GAR 44 & 45 respectively,D,[Rule: 180],21.
"In the case of such funds which are maintained in the Public Account portion of the accounts of the Government, withdrawals from the Public Account against sums credited by way of subscriptions or of interest that is allowed by the Government shall not be permitted except in accordance with the orders issued by the",Ministry/Department/UTs in consultation with the CGA,CGA in consultation with the Ministry/Department/UTs,Ministry/Department/UTs in consultation with the Chief Controller of Accounts,CGA in consultation with the CAG,A,[Rule: 181],22.
Deposit in the Government Account are to be classified two broad categories. Pick the correct one,Government and Non-Government Deposits,General and Special Deposits,Normal and Lapsed deposits,Interest and Non-interest bearing Deposits,D,[Rule: 182],23.
Sector under which Deposit & Advances of Public Accounts fall,J,K,L,M,B,[Rule: 182],24.
Pick the correct one,"No moneys shall be received for deposit in the Government Account, unless they are such as by virtue of any statutory provision or of any general or special orders of the Government","Subject as aforesaid and save as expressly otherwise provided by these rules, no money is to be credited as a deposit except under the formal order of a Court or other competent authority.",Both,Neither,C,[Rule: 184 (i)],25.
Pick the incorrect one regarding treatment of the following items as deposits is prohibited,"No pay, pension or other allowances should be placed in deposit on the ground of the absence of the payee or any other reasons.","No fines should be placed in deposit on the ground that appeal is pending, they should be credited at once to the Government and refunded if necessary, on order of the Appellate Court.","Compensation fines (including costs in criminal cases) due to an injured party, and not to Government, may also not be kept in deposit both in appealable and non-appealable cases.",No refunds can be drawn to be lodged in deposit pending demand by the payee.,C,[Rule: 184 (3). Compensation fine may be put into deposit.],26.
Which of the following shall not be put into Government Deposit,"No jewels or other property received for custody and restoration in kind may be brought on the deposit account, though the value be stated in money.","Government Promissory Notes or other security deposits (not being cash) received must, on no account, be credited as deposits.","The net sale proceeds of unclaimed impounded cattle may be kept in deposit for three months and if no claim be made within that time, are to be credited to the proper account.",The sale proceeds of unclaimed property are not to be placed in deposit at all.,C,[Rule: 184 (3) (4) and (5)],27.
