question,option_a,option_b,option_c,option_d,answer,hint,srno
"The term '""contingent charges"" or ""contingencies'' mean",all incidental and other expenses (including on stores) which are incurred for the management of an office,all incidental and other expenses (excluding on stores) which are incurred for the management of an office,expenses on unforeseen matters,all indirect charges including under work and tools & plant,A,[Rule: 96],01.
Contingent charges have been grouped into,3 types,4 types,5 types,6 types,C,[Rule: Note below 98],02.
Pick the incorrect type of contingent charge,Pre-approved contingencies,Scale-regulated contingencies,Contract Contingency,Special contingencies,A,[Rule: 98],03.
"Contingent charges, which require neither special sanction nor countersignature, but may be incurred by the Head of Office on his own authority subject to the necessity of accounting for them are called",Contract Contingency,Fully Voucher contingency,Countersigned Contingency,Special contingencies,B,[Rule: 98 (iv)],04.
"Contingent charges as may require approval of some controlling authority before they can be admitted as legitimate expenditure against the Government, such approval usually taking the form of countersignature after payment on a detailed bill submitted to the Pay and Accounts Officer are called",Contract Contingency,Fully Voucher contingency,Countersigned Contingency,Special contingencies,C,[Rule: 98 (iv)],05.
Contingent charges for which a lump sum is placed annually at the disposal of a disbursing officer for expenditure without further sanction of any kind are known as,Contract Contingency,Fully Voucher contingency,Countersigned Contingency,Special contingencies,A,[Rule: 98 (i)],06.
"Contingent charges, whether recurring or nonrecurring, as cannot be incurred without the previous sanction of superior authority are called",Contract Contingency,Fully Voucher contingency,Countersigned Contingency,Special contingencies,D,[Rule: 98 (iii)],07.
Payment to contingent expenditure out of permanent imprest advance may be made for amount up-to,Rs. 500,Rs. 1000,Rs. 2000,Rs. 5000,C,[Rule: 99],08.
The monetary limit for making payment to contingent charges out of Permanent Imprest will not apply in regard to claims relating to,Hot Weather Amenities,"Telephone, Electricity and Water bills",Travelling bill of staff,Wages of Contingent labour,B,[Rule: Note below 99],09.
The monetary limit for making payment to contingent charges out of Permanent Imprest is applicable to,All CDDO,All NCDDO,All DDOs,all non-cheque drawing DDO stationed away from accredited Accounts Officer or CDDO,D,[Rule: Note below 99],10.
"Unless in any case it is distinctly provided otherwise by any rule or order, no sub-vouchers may be destroyed until after a lapse of",two years,three years,four years,five years,B,[Rule: 109 (i)],11.
"Every sub-voucher which is not forwarded either to the Accounts Officer or to a controlling officer along with bills but is recorded in the office to which the expenditure relates, must be duly cancelled by means of a rubber stamp or by an endorsement in red ink across the voucher, the cancellation being initialled by the",officer authorised to draw the contingent bills of the office,Head of Office,Controlling Officer,Accounts Officer,A,[Rule: 109 (ii)],12.
Sub-vouchers submitted to a controlling officer which he is not required to forward to the Accounts Officer should be duly cancelled by,the Controlling Officer after check and the cancellation should be attested by the controlling officer at the time of countersignature on the bill.,officer authorised to draw the contingent bills of the office at the time of preparation and before submission of bill to the Controlling Officer.,the Accounts officer at the time of receipt of bill and returned the same immediately after cancelling the same.,any of the above.,A,[Rule: 109 (iii)],13.
The standard form of the contingent register will be as in Form,GAR 26,GAR 27,GAR 29,GAR 33,B,[Rule: 110],14.
"To suit the conditions of each department or office, the actual details such as the number of columns to be opened, the subheads and detailed heads and such further detailed classification as may be required for the purpose of control may be settled by",Accounts Officer & Controlling Officer,Accounts Officer & DDO,Accounts Officer & Administrative Ministry/Department,Principal Accounts Officer & Administrative Ministry/Department,A,[Rule: 110 (2)],15.
"If during the absence of the Head of the Office and of the gazetted officer to whom the duty of maintenance of contingent register has been delegated, the entries in the contingent register have been initialed by another gazetted Government officer, the register must be reviewed and the entries re- initialled by the Head of the Office or such gazetted officer on return to duty at the headquarters",True,False,,,B,[Rule: Note 2 below 110 (3). If it is initialed by a non-gazetted employee],16.
A progressive total of all the columns in the Contingent Register must be made,daily,weekly,monthly,yearly,C,[Rule: 110 (5)],17.
Sub-vouchers pertaining to contingent charges shall not require to be submitted to the Accounts Office when amounting,not more than 100,not more than 200,not more than 500,not more than 1000,C,[Rule: 111 (3)],18.
Sub-vouchers for a certain amount each shall be submitted to the AcJcounts Office in respect of contingent charges unless directed otherwise by the,Accounts officer on the advice of Controlling Officer,Controlling Officer on the advice of Accounts officer,CAG on the advice of CGA,CGA on the advice of CAG,D,[Rule: 111 (3)],19.
"In respect of petty contingent expenditure up-to Rs.500, if any, for which original sub-vouchers are not required to be attached to bills, the items should, however, be listed out in Form",GAR 28 to be attached to them,GAR 29 to be attached to them,GAR 30 to be attached to them,GAR 31 to be attached to them,A,[Rule: Note below 111 (3)],20.
"When it is not desirable to disclose the names of payees, a certificate shall be submitted to the Accounts Officer in support of the payment in lieu of the payee's receipt ordinarily required in the handwriting of",Head of Office,Controlling Officer,Disbursing Officer,All the three jointly,C,[Rule: 112],21.
The contingent charges the bill for which shall be presented in a form similar to Form G.A.R. 29 as no sub-vouchers need be sent to the Accounts Officer is,Special Contingency,Contract Contingency,Fully Voucher Contingency,Counter-signed Contingency,B,[Rule: 113],22.
"The numbers assigned to sub-vouchers (in cases of payment from permanent advance) or to credit bills or pre-receipted bills, if any (which on payment will become sub-vouchers) pertaining to each entry in the abstract bill shall be detailed against the entry concerned, the amount being given only in those cases where a sub-voucher is for more than",Rs. 50,Rs. 100,Rs. 200,Rs. 500,A,[Rule: 118],23.
The detailed bill along with a certificate endorsed on the bill shall be signed by the Head of the Office and submitted to the Controlling Officer with all sub-vouchers above,Rs. 10,Rs.50,Rs. 100,Rs. 200,B,[Rule: 118],24.
The countersigning officer shall despatch the sub-vouchers of a bill for items for more than,Rs. 10 each,Rs.50 each,Rs. 100 each,Rs. 200 each,D,[Rule: 120],25.
A register of contingent expenditure may be kept in the office of the controlling officer in such form and according to such method as may be titled by a,Controlling Officer in consultation with the Accounts Officer,Department of the Central Government in consultation with the Accounts Officer,Controlling Officer in consultation with the Principal Accounts Officer,Department of the Central Government in consultation with the Principal Accounts Officer,B,[Rule: Note 3 below 120],26.
The detailed bill duly signed by the controlling officer shall be sent to the Accounts Officer direct,within a week from the date of receipt of such bill in his office.,within a week from the date of the bill,within a month from the date of receipt of such bill in his office,within a month from the date of the bill,C,[Rule: Note 4 below 120],27.
"After despatch of the bill to the Accounts Officer, the countersigning officer shall communicate any disallowance to",Accounts Officer,drawing officer,both Accounts Officer and drawing officer,need not communicate to anyone but should be recorded in his contingent register.,B,[Rule: 121. For recovery or short payment from upcoming bills],28.
Bill for contingent charges requiring counter signature before payment shall be drawn in Form,GAR 30,GAR 30 A,GAR 31,GAR 32,D,[Rule: 122],29.
"In addition to Post Master or Treasury Officers in States where the work of stocking or distribution or both of service stamps has not yet been taken over by the Posts and Telegraphs Department), the branches of the bank authorised to sell stamps are",RBI,SBI,Rural Development Bank,Co-operative Bank,B,[Rule: 123],30.
