question,option_a,option_b,option_c,option_d,answer,hint,srno
An entry intended to transfer an item of receipt or charge from the account of a work in progress or a regular head of account to the account of another work or head,Book transfer,Transfer entry,Contra entry,Supplementary entry,B,(8.1.1),1.
Pick the incorrect regarding transfer entry,In order to correct an error of classification in the original accounts,"To adjust, by debit or credit to the proper head of account (or work), an item outstanding under a suspense account or under a debt, deposit or remittance head",To bring to account certain classes of transactions which do not pass through the cash or stock account,To respond to a remittance transaction advised by the Accounts Officer for the corresponding debit or credit to the Remittance head has already been appeared in the accounts,D,For Dr./Cr. Not already appeared in the accounts (8.1.1_a to d),2.
"Pick the correct one in respect of need of a transfer entry (i) for adjusting PAO Memos received from PAO of the Division in case of purchase made through DGS&D (ii) for credit to “P.W. Deposit” on account of balances due to contractors on closed accounts (iii) for credit to Revenue heads on account of revenue not recovered in cash excluding lapsed Deposits (iv) for original debits or credits to Remittance heads based on transactions not appearing in cash or stock accounts, e.g. transfer of tools and plant to another department or Government when the value is recoverable from them (v) for credit to the heads concerned of the several percentages leviable under the rules, e.g., those on account of supervision (when not recovered in cash), establishment, tools and plant and workshop charges","i, ii,iii and iv","i, ii, iii and v","i, ii, iv and v",All of the above,C,"(8.1.1_c_i to v, cash including laspse Deposites)",3.
"For adjusting PAO Memos received from PAO of the Division in case of purchase made through DGS&D, action taken in division as under",Debit or minus credit to Sub-head “Purchases pending payment / adjustment” under the minor head “129 - Material Purchase Settlement Suspense Account” below the Major Head “8658 and credit to Sub-head “Payment for purchases through DGS&D” under the minor head “129 - Material Purchase Settlement Suspense Account” below the Major Head “8658 - Suspense Accounts”.,Debit or minus credit to Sub-head “Payment for purchases through DGS&D” under the minor head “129 - Material Purchase Settlement Suspense Account” below the Major Head “8658 - Suspense Accounts and credit to Sub-head “Purchases pending payment / adjustment” under the minor head “129 - Material Purchase Settlement Suspense Account” below the Major Head “8658,Debit the minor head “129 - Material Purchase Settlement Suspense Account” below the Major Head “8658 and credit the suspense head Stock or work as the case may under functional major head.,No action is required at division as settlement to be made by the PAO.,A,(8.1.1_c_i),4.
Transfer entry is required in order to relieve the account of a work in progress of given class. Pick the incorrect one,Items which have ceased to be debitable to the estimate for work,"Suspense charges which can no longer be kept within the accounts of the work. Such transfer entries are necessary either when the accounts of any contractor or of the work itself are to be closed, or when any recoveries (otherwise than in cash) have become due, e.g., by the transfer of stores to any other work or account.",None,Both,C,(8.1.1_e_i & ii) Both the reasons given are correct. Hence none is the incorrect,5.
To effect periodical adjustments such as annual adjustment to credit to the head “8009” GPF an amount equal to total of interest accruing and afforded to various Group ‘D’ and Work Charged establishment accounts by contra debit to the head,0049,2049,4049,2075,B,(8.1.1_f),6.
"Pick the correct one (i) If an item which properly belongs to a revenue or expenditure head is wrongly classified under another revenue or expenditure head in the accounts, the error may be corrected at any time before the accounts of the year are closed by proposing a transfer entry (ii) In case the error in above case detected after the accounts are closed, no correction is admissible, it being sufficient to make a suitable note of error against the original entry. (iii) If, however, the error affects the receipts and disbursements of another Government or the transactions of a commercial department, it should be corrected by transfer in all cases as soon as the error is discovered. (iv) An error which affects a debt, deposit, suspense or remittance head must be corrected by transfer, however, old may be subject to minimum amount of error involved exceeds Rs. 100/-.","i, ii and iii","i, ii and iv","ii, iii and iv",All of the above,A,no matter how small and old (8.1.3),7.
"State whether true or false An error which affects a debt, deposit, suspense or remittance head and accounts of the year in which the error takes place are not closed, the correction should be made by the removal (through minus entry) of the item from the head under which it was wrongly taken to that to which it properly",True,False,,,A,(8.1.3),8.
"If the accounts of the year in which the error takes place are closed, then the following procedure may be adopted are as under. Pick the incorrect one","an item taken to one debt, deposit, suspense or remittance head instead of another – the correction should be made by transfer from the one to the other.","an item credited to a debt, deposit, suspense or remittance head instead of to a revenue head; or debited to a debt, deposit, suspense or remittance head instead of to an expenditure head – the correction should be made by transfer to the head under which it should originally have appeared.","an item credited to a revenue head instead of to a debt, deposit, suspense or remittance head – correction should be made by debiting expenditure head and crediting the proper head.","an item debited to an expenditure head instead of a debt, deposit, suspense or remittance head – correction should be made by debiting the proper head and crediting the relevant departmental receipt head",C,by debiting refund under the head of receipt (8.1.4_iii),9.
"In case of a department not having corresponding receipt head to credit the amount or error or otherwise, the credit should be made to the major head",0070,0075,8443,4000,B,(8.1.4_iv),10.
"When the correction affects a head for which budget provision is obtained, the correction transfer may be effected under the head concerned without affecting the actual expenditure by affording",Contra entry,debit or minus debit,plus credit or minus credit,debit,C,(8.1.4_iv),11.
Pick the incorrect one,When a correction is permissible it should be made by a formal transfer entry,"When it is not permissible, a suitable note of it should be made in the account concerned.","All corrections in accounts, which may be advised by the Accounts Officer should after verification, be carried out in all relevant records in red ink and attested by the dated initials of the Divisional Officer.",A reference to the audit note or other advice should also be noted against the correction.,C,attestation and dated initial by Divisional Accountant and not by DO (8.1.5),12.
For every transfer entry there must either be an authority in Form,C.A.M. 34,C.A.M. 35,C.A.M. 51.,C.A.M. 53.,A,(8.1.6) CAM-Civil Accounts Manual,13.
"Pick the correct one (i) Orders recorded on Survey Report, Form 18, and final bill of contractor’s closed account placed under Public Works Deposits are treated as Transfer Entry Order (ii) In cases in which the Transfer Entry Order is not required to be submitted to the Accounts Officer with the Monthly the necessary order, if not initialed by a Sub-divisional Officer may be signified by the Divisional Officer’s initials against the entry in the Transfer Entry Book. (iii) A single transfer entry may cover a number of adjustments and corrections, provided that all the necessary particulars are set forth in respect of each. (iv) On one side of every transfer entry, there may be more than one major head and there may be a debit or credit to various other heads or vice versa.","i, ii and iii","ii, iii and iv","i, iii an iv",All of the above,A,On one side there should only one major head (Note 2 below 8.1.6),14.
State whether true or false A Transfer Entry Order may be initiated by the Sub-divisional Officer for the cases which comes under his cognizance.,True,False,,,A,(8.1.7),15.
Transfer Entry Order in respect of transactions under the cognizance of SubDivisional Officer and so initialed and proposed by him Sub-divisional are countersigned by,SDO himself,Divisional Officer,Divisional Accountant,Accounts Office.,B,(8.1.8),16.
State whether true or false In cases of corrections involving a reduction in the charges against the estimate of work It is sufficient to state that the charges were erroneously classified previously and not essential to put forth full particulars of the vouchers and accounts and circumstances in which the charges were allocated wrongly under the estimate for the work are set forth clearly,True,False.,,,B,(Note below 8.1.9),17.
