question,option_a,option_b,option_c,option_d,answer,hint,srno
Charged Expenditure is said so because it,may be subject to the Vote of Lok Sabha,Is Charged on Consolidated Fund,Is Charged on Contingency Fund,Is Charged on Public Account,B,,1.
Charged expenditure is mentioned in Article,112 (1),112 (2),112 (3),112 (4),C,,2.
Contingency (work) denotes,All indirect charges of a division,All indirect charges of a work,All petty expenses of a work,Incidental expenses which cannot be classified under a distinct sub head,D,,3.
Administrative approval in Public Work Department stands for,Allocation of fund,Formal acceptance of a project by Administrative department,Formal acceptance of a project by Finance department,Acceptance-cum-approval of a tender by the PWD,B,,4.
Pick the correct one in respect of Advance Payment in a Public Work Division,Advance payment to subordinate in execution of work or project,Short/Long term advances to Staff,A payment made to contractor for a work duly measured,A payment made to contractor for a work done but not measured,D,,5.
Assets in a Public Work Division denotes,"High value machinery, equipment and building etc.",Material and human resources of a division,A project or work duly completed,Outstanding or anticipated credit on account of a work,D,,6.
The process whereby financial transactions which do not involve the physical transaction in cash or stock material are brought to account is called,Contra entry,Book transfer,Journal entry,Transfer entry,B,,7.
"State whether true or false Charged expenditures are generally not subject vote by the House of People, but in exceptional cases it may be put to vote by House of People in terms of Article 112 (1)",True,False,,,B,,8.
Detailed head means,Programme,Function,Scheme,Sub-scheme,D,,9.
Direct charges in Public Work Division means,All direct expenses pertaining to a work or project,Charges on account of regular establishment,Any charges exceeding Rs. 1000/-,Total expenditure on account of a work or project,A,,10.
Indirect charges means,Incidental expenses of a work,Indirect expenses of work,Both,None,C,,11.
Who among the following is a Direction Officer?,Divisional Officer,Divisional Accountant,Superintendent Engineer,Pay and Accounts Officer,C,,12.
Who among the following is/are Direction Officer (s)?,Superintendent Engineer,Superintendent of Works,Both,None,C,,13.
A direction office/officer ceases to be termed as a direction office/officer when,When it assumes the charges of more than two division,When it assumes the duties of a DDO,When so declared by the Pay & Accounts Officer,When so declared by the Government concerned,B,,14.
An independent Executive Sub Divisional Office/officer shall be treated as,Sub-Division Office/Officer,Divisional Office/Officer,Supervising Office/Officer,Direction Office/Officer,B,,15.
State whether true or false A Superintendent of a Workshop whether working independently of a Divisional officer or not shall not be treated as a Divisional Officer,True,False,,,B,If independent then DO,16.
"Work of construction or repair, the cost of which is not met out of Government Fund is called",Deposit Work,Contribution,Work under Grant-in-aid,Private Work,A,,17.
Final payment in PWD means,Pensionary benefits of staff on superannuation,Payment to contractor as a settlement of the account of work,Any Payment to contractor for work duly measured,Payment to contractor for work done but not measured,B,,18.
What do you mean by Advance Payment in PWD?,"Advance Payment to staff on account of TA, LTC, Salary etc.",Payment to contractor as a settlement of the account of work,Any Payment to contractor for work duly measured,Payment to contractor for work done but not measured,D,,19.
Intermediate payment in a Public Work Division stands for,Advance Payment,Secured Advance,On account payment,All of the above,D,,20.
Issue Rate includes,Handling charges,Storage charges,Carriage charges,All of the above,D,,21.
Storage charges added to the Issue Rate as,Fixed basis,Percentage basis,As decided by the Division concerned,Any of the above,B,,22.
"Work executed by the PWD on behalf of a Municipality, Port Trust or other corporations when the cost of the work is met from a loan given to the PWD by the Government is called",Deposit work,Local Loan work,Central Loan work,Private work,B,,23.
Major work/estimate when estimate exceeds,"Rs. 5,00,000/-","Rs. 50,00,000/-","Rs. 1,00,00,000/-","Rs. 5,00,00,000/-",B,,24.
Minor work/estimate when estimate does not exceed,"Rs. 1,00,000/-","Rs. 5,00,000/-","Rs. 10,00,000/-","Rs. 50,00,000/-",D,,25.
An on account payment or payment on account in PWD means,Payment to staff directly in their bank account,Settlement payment of a work,Running account payment for a work/supply duly measured,Final Payment on account of lump-sum contract,C,,25A.
Manufacture and workshop accounts consist of two accounts. Pick the correct one,Operation and Outturn Accounts,Input and Output Accounts,Direct and Indirect Accounts,Major and Minor Accounts,A,,26.
The value of finished products in respect of manufacture/workshop operation is accounted for in,Operation Account,Outturn Account,Finished Account,Job Account,B,,27.
The charges incurred in respect of manufacture/workshop operation are accounted for in,Operation Account,Outturn Account,Input Account,Job Account,A,,28.
Liabilities in a PWD mean,All work/project awaiting completion,Outstanding credit pertaining to work,Outstanding charges payable pertaining to work,Salary and other allowances payable to staff,C,,29.
Re-appropriation means transfer of fund from,One major head to another major head,One work to another work,One division to another division,One primary unit to another primary unit,D,,30.
Payment for work or supply is made to a contractor/supplier at convenient intervals subject to final settlement of the accounts is called,Advance payment,Running account,Secured advance,Final account,B,,31.
The term for advance given to a contractor on security of material brought at site is,Advance payment,Secured Advance,Mobilisation Advance,All of the above,B,,32.
"In respect of material sold or transferred, a charge is levied to cover such items of expenditure incurred on the store as do not enter their book value. Such charge is known as",Supervision charge,Storage charge,Work charged establishment,Miscellaneous charge,A,,33.
Work of construction or maintenance of water course is called,Deposit work,Local Loan work,Takavi work,Water & Navigation work,C,,34.
"Approval of detailed estimate of a work, project (construction or repair) by the authority competent is termed as",Administrative sanction,Technical sanction,Financial sanction,Budgetary sanction,B,,35.
