question,option_a,option_b,option_c,option_d,answer,hint,srno
The account of Minor Head “Suspense” under those functional Budgeted Major Heads of Accounts where expenditure on Works is involved is,129,107,800,799,D,13.1.1,1.
The account of Minor Head “Suspense” under those functional Budgeted Major Heads of Accounts where expenditure on Works is involved is divided into three (3) distinct sub heads. Pick the incorrect one,Material,Stock,Misc. Works Advances,Workshop,A,13.1.1,2.
"Pick the correct ones (i) The sub heads under minor head Suspense are of temporary character (ii) All the transactions recorded under them, are ultimately removed either by payment or recovery in cash or by adjustment. (iii) These transactions consist of both debit and credit (iv) The debit is treated as reduction of expenditure when making up the account of Major Head","i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,A,13.1.1 (credit is regarded as reduction of exp),3.
The Minor and Major Head of the MPSSA are,107/8658,129/8658,799/8658,800/8658,B,13.1.1,4.
The accounts of MPSSA is operated to account for the settlement of dues of the Suppliers of Stores,If payment is not made in the same month in which the stores have been received,If payment is not made on the date on which the stores have been received,If payment is made without the store has been received in the month of payment,If payment is made without the store has been received on the date of payment,A,13.2.1,5.
Minor 107-Cash Settlement Suspense Accounts under Major Head 8658 is operated for settlement of,Advance payment,Inter-departmental transactions with Cabinet Secretariat and Ministry of Defence.,Inter-departmental transactions with other departments of the same Govt.,"Inter-departmental transactions with other Govt, Non-Govt. including Local Bodies and Private parties.",B,13.1.1,6.
"When materials are received from a supplier or from another department in India or abroad, the value of the stores should be",Credited To MPSSA,Debited to MPSSA,Credited to CSSA,Debited to CSSA,A,13.2.1,7.
"Pick the correct ones (i) When materials are received for a specific work, the MPSSA will be credited immediately and work accounts is debited. (ii) When materials are received for stock and payment has not been made during that month, the MPSSA will be credited on closing the accounts of the month. (iii) A single transfer entry order known as Omnibus Transfer Entry Order, Form 53A may be prepared for all purchases of stores made for specific works in a sub-division during a month and so a combined entry for all transactions during the month took place, the entry being attested at once (iv) Value of materials should be debited in works abstract under the relevant sub-head such as Contractor-OT or Material or final charges as the case may be","i, ii and iii","ii, iii and iv","i, ii and iv",All of the above,C,13.2.2 (iv) (Entry should be written up as each transaction takes place) ,8.
"State whether true or false If any item of supply be paid for during the same month, the amount paid should be noted in the relevant column and at the end of the month, the total of all items paid for during the same month should be worked out and only the net amount credited under Material Purchase Settlement Suspense Account.",True,False,,,A,13.2.2 (iii),9.
The Omnibus Transfer Entry Order should be incorporated in the transfer entry book only at the end of the month so that,Reconciliation between the quantity and value account may be secured.,Verification of stores with specification may be completed diligently,It may be not necessary to copy out in detail the transactions paid for during the month.,All of the above.,D,13.2.2 (iv),10.
The TEO is prepared in,Single copy,duplicate,triplicate,Quadruplicate,C,13.2.2 (v),11.
Pick the incorrect one regarding disposal of TEO,One copy to PAO,One copy to Transfer entry Book of DO,One copy to Suspense Register,One copy to Stock Account,D,13.2.2 (v),12.
"When the actual value of the materials is not known, an estimated figure should be adopted, any difference being adjusted, as soon as known should be afforded in the MPSSA by",a debit entry,a debit or credit entry,a credit or minus credit entry,a debit or minus debit entry,C,13.2.3,13.
"When the price of the materials is paid or adjusted by transfer, in MPSSA the payment should be",Debited,Minus credited,Minus Debited,Credited,B,13.2.4,14.
"State whether true or false If the amount admitted in payment exceeds the amount credited to “M.P.S.S.A.” the difference should be charged direct to Stock or to the work concerned, and should be shown as minus entry in the MPSSA.",True,False,,,B,13.2.4 (should not be shown as minus entry in the MPSSA),15.
Pick the incorrect one,Repayment of lapsed deposits applies mutatis mutandis to repayment of lapsed balances of MPSS Account.,Outstanding balances lapsed to revenue and requiring adjustment on the basis of Old PAO Memos should be equated to repayment of lapsed Deposits,The write back of such lapsed balances of “Material Purchase Settlement Suspense Account” are in the nature of corrections of erroneous adjustments and no pre-check of such transaction is contemplated,"Pre check by PAO would be necessary, if the amount is required to be paid to any party",B,13.2.5,16.
The MPSS Account is maintained in Suspense Register in form,CPWA 67,CPWA 67A,CPWA 69,CPWA 70,A,13.2.6,17.
The details of MPSSA in Suspense Register is recorded in a separate set of folios for each of two headings,Purchases from India & Purchases from abroad,Purchases for Stock and Purchases for specific Works,Purchases for Division and Purchases for contractors,Purchases for Stock and Purchases for Workshop,B,13.2.6,18.
"State whether true or false The head “stock” is opened in all divisions in which stock of materials is maintained for general purposes. In divisions in which no stocks are maintained, this account should be opened only when any manufacture operations are undertaken",True,False,,,A,13.3.1,19.
The money limit for the stock reserve of a division is prescribed by,SE,DG (Works),PAO,Admin. Min/Administrator,D,13.3.2,20.
"Pick the correct ones (i) Excesses over the reserve limit as prescribed by the competent authority are not permissible under any circumstances (ii) The account head “stock” is debited with all expenditure connected with the acquisition of stock materials, and with all manufacture operations. (iii) The stock account is credited with the value of materials issued to works, or sold, transferred or otherwise disposed of. (iv) The balance of account will represent the book value of the materials in stock plus the unadjusted charges, etc., connected with manufacture.","i, ii and iii","ii, iii and iv","i, ii and iv",All of the above,B,13.3.2 & 13.3.3,21.
"The Stock account are divided into 11 sub-heads such as Small Stores, Building Materials etc. The first eight sub heads may be replaced by locally by other suitable Heads, if necessary. Pick the incorrect one regarding the permanent/constant sub heads are","Land, Kilns etc.",Manufacture,Handling and other Incidental Charges,Misc. Stores,D,13.3.4,22.
Pick the incorrect one,"The general account of the receipts, issues and balances of the suspense head, “Stock” should be maintained in the Suspense Register, Form 67","A separate account should be kept in respect of each sub-head, the transactions of the several sub-divisions being detailed therein as separate items and the totals of all sub divisions as another",Transfers within the division should be accounted for against a single item “Deduct Transfers within Division” before the total for the entire head “Stock” is struck.,Expenditure booked under the sub-head “Handling and other incidental charges” should be brought to nil at the time of closing the accounts of the month.,D,13.3.5 & 6 (at the time of adjustment of P &L of stock account i.e. end of year),23.
Transactions recorded under Sub-head “Miscellaneous Works Advances” under the Minor Head “799 – Suspense” below the functional Major/Sub-Major Heads concerned are divided into,Two classes,Three classes,Four classes,Five classes,C,13.4.1,24.
Transactions under which of the following accounts does not fall under Minor Head 799Suspense,Sale of item,Expenditure incurred on Deposit works in excess of deposits received,"Losses, Retrenchment, error etc.",Other items,A,13.4.1 (Sale of item on credit only form the part of MWA and not all sales),25.
State whether true or false In case of absence or insufficiency of sanction or appropriation except for Deposit Works shall be debited to Sub head other items.,True,False,,,B,Note_13.4.1 (should not booked under MWA instead addl. Allotment/sanction shall be sought.),26.
"When stores of any kind are sold on credit, their value plus the Supervision charges, if any, should be debited to “Miscellaneous Works Advances” under the detailed head “Sales on Credit” so that",the accounts of Stock or Works from which the materials are issued may be kept correctly,the recovery of the value from the local body or individual concerned may be watched through the regular accounts.,Both of the above,None of the above,C,13.4.2,27.
"Under the heading “Losses, retrenchments, errors etc.” subordinate to Minor Head 799 – MWA appear the following. Pick the incorrect one",Deficiencies in cash or stock,Actual losses of cash or stock,Errors in accounts awaiting adjustment,Retrenchments and losses of other kinds duly recovered from Government Servants.,D,13.4.4 (not duly recovered but recoverable),28.
"All debits, the allocation of which is not known or which cannot be adjusted until recovery or settlement is effected or write off ordered will be recorded under","Losses, Retrenchment, error etc.",Errors in accounts awaiting adjustment,Other items,Any of the above.,C,13.4.5,29.
The sub head “Other items” is meant for the following except,"debits, the classification of which cannot be determined at once;",recoverable debits not pertaining to the accounts of a work;,"recoverable outstanding appertaining to works, the accounts of which are closed",recoverable outstanding pertaining to a Deposit Work,D,13.4.5,30.
The share of municipal taxes paid by Government on behalf of licensees of Government buildings should be debited to which sub head of the MWA pending recovery,Other items,"Losses, Retrenchment, error etc.",Expenditure incurred on Deposit works in excess of deposits received,Misc. Recovery,A,Note_13.4.5,31.
Pick the incorrect one,"Items in the “Miscellaneous Works Advances” account are cleared either by actual recovery, or by transfer, under proper sanction or authority to some other head of account.",Items or balances which may become irrecoverable should not be so transferred until ordered to be written off.,"The detailed accounts of this head should be kept in Form 70, Register of Misc. Work Advances.","The detailed accounts of this head should be kept in Form 67, Suspense Register.",C,13.4.6 & 13.4.7,32.
"Pick the correct ones (i) For items falling under the class “Expenditure incurred on Deposit Works in excess of deposits received”, details are not necessary in Suspense Register, as these are recorded in the Schedule of Deposit Works, Form 65. (ii) For each of the other three classes of items namely Sale on credit, Losses, Retrenchment etc and Other items, a separate set of folios should be reserved. (iii) All the items under each class should be detailed, so that their clearance may be watched individually. (iv) An abstract should be prepared to show the totals of all the classes.","i, ii, and iii","i, iii and iv","i, ii and iv",All of the above,D,13.4.7,33.
"State whether true or false When a workshop has been established, all direct outlay on the jobs executed and on other operations of the workshop is passed through the suspense head “Workshop Suspense”",True,False,,,A,13.5.1,34.
Pick the incorrect one,"A separate account is kept under it of each job or operation, so that all charges relating to each may be collected and charges of a general nature may be suitably distributed over all the jobs or operations affected, before the total cost recoverable is determined.","The recorded expenditure on a job is removed from the suspense head only when and to the extent that, an adjustment is effected against the deposit received or against the service or other head concerned .",Such removal is effected by a credit to the account of the job.,"Accordingly, when any charges are transferred from one job or operation to another, the transfer should be made by a credit and minus credit entry.",D,13.5.2 (in such case debit when received or minus debit when transferred) ,35.
"State whether true or false On the completion of a job, all outstanding charges on it must be debited, as soon as possible, to the head concerned, but in cases where this cannot be done, as in the case of expenditure incurred in excess of the deposit received, the unadjusted amount should be transferred to the head “Miscellaneous Works Advances” pending settlement.",True,False,,,A,13.5.4,36.
