question,option_a,option_b,option_c,option_d,answer,hint,srno
The cash and stock accounts of the divisional office for a month are closed on,Last day of the month,Last working day of the month,Last day of the year,Last working day of the year,B,22.1.1,1.
The Transfer Entry Book for a month should be closed,By the end of the month,by the end of the year,Before the accounts of the works is closed,as soon as possible after the expiry of the month and before submission of monthly accounts to the PAO,D ,22.1.2,2.
"The transfer entry relating to the levy of percentages for establishment, tools and plant accounts, audit charges and pensionary charges is effected on a single order of the Divisional Officer embracing all Govt. and Non-Govt. works where these charges are applicable in Form",CAM 34,CPWA 51,CPWA 53,CPWA 62,D ,Note_22.1.2,3.
"The cash and stock accounts of the entire division, as also all transfer transactions before incorporation in connected registers, schedules and the Monthly Account should be scrutinized by",Cashier,DA,DO,PAO,B ,22.1.3,4.
"Who should ensure that, as far as possible, the examination of all claims included in bills presented for payment direct at Pay and Accounts Office is made by the Divisional Accountant?",DO,SE,PAO,CCA,A ,Note 1_22.1.3,5.
"In all matters connected with the personal claims of Government servants, the Divisional Officer should obtain expert advice and help of the",DA,SE,PAO,CCA,A ,Note 2_22.1.3,6.
"In all cases of doubt, however, the advice of the Chief Controller of Accounts through",DA,SE,PAO,Chief Accounting Authority,C ,Note 2_22.1.3,7.
"The Divisional Accountant should examine the accounts returns of Sub- Divisional Officers to see:- (i) that they have been received in a complete state and all sums receivable are duly realized, and on realization remitted to Divisional cash Chest for proper accounting. (ii) that they have been submitted within the time frame of submission. (iii) That all bills which are required to be prepared/submitted by the S.D.O.are prepared in accordance with the rules applicable to each case and are covered by sanction and appropriation. (iv) that, on the basisof rates sanctioned by competent authorities, and of facts certified by authorized officers, the claims presented for payment are valid and in order.","i, ii and iii","ii, iii and iv","i, iii and iv",all of the above,C ,22.2.1,8.
Pick the incorrect one regarding the duties/functions of the DA,It is necessary that he should check personally the arithmetical accuracy of all bills and accounts as he is responsible that cent per cent check is exercised efficiently under his supervision.,"He should exercise a similar check from day to day, in regard to the transactions recorded direct in the cash and stock accounts of the divisional office.","He should affix his dated initials after the last entry of the day’s transaction in the divisional cash book/stock accounts, in token of check.","He is responsible that every order or sanction affecting expenditure to be accounted for in the Monthly Account, is noted at once in a suitable register other account record",A ,Note_22.2.1 to 22.2.4,9.
General sanctions to estimates and appropriations for works should be noted in the,Work Abstracts,Register of Works,Register of Sanctions,Allotment Register,B ,22.2.4,10.
"Sanctions to fixed charges of a recurring character, e.g., those relating to the entertainment of work-charged establishments should be entered",CPWA 57,CPWA 58,CPWA 59,CPWA 58A,B ,22.2.4,11.
"Sanctions to special payments chargeable to the accounts of works, and other miscellaneous sanctions should be entered in",CPWA 57,CPWA 58,CPWA 59,CPWA 58A,C ,22.2.4,12.
"State whether true or false Forms C.P.W.A 58 & 59 may also be used in respect of sanctions to contingent expenditure when this is brought to account in the Monthly Account, but separate pages of these registers should be set aside for this purpose.",True,False,,,B ,When not brought to account Note 1_22.2.4,13.
Sanctions to estimates for works should be entered in the Register of Works and a collective register of all sanctioned estimates be maintained in such form as may have been prescribed by,PAO,CCA,CGA,Government.,D ,Note 2_22.2.4,14.
"If against a single sanction, disbursing officer of two or more divisions have to operate simultaneously, the orders should be taken of",DO of the larger Division or Higher,Superintending Engineer or higher authority,DG (works),PAO,B ,22.2.5,15.
"When expenditure within the competence of the DO is incurred under the orders of subordinate officers with his knowledge, the DA should at once brought it to the notice of the",DO,SE,DG (Works),PAO,A ,22.2.6,17.
The works expenditure should be checked with the estimates to ensure that the,Expenditure does not exceed allotment,Charges incurred are in pursuance of the objects for which the estimate was intended.,Orders of the competent authority has been obtained for the expenditure,All of the above.,B ,22.2.7,18.
"State whether True or False The Divisional Accountant is responsible for checking the expenditure with the estimated quantity of work to be done, the sanctioned rate, and the sanctioned cost, so that he may bring to notice all deviations from the sanctioned estimate.",True,False,,,A ,22.2.7,19.
"When a recovery has been ordered to be made from a contractor or other person, which cannot be watched through a suspense or other account specially prescribed for the purpose, the order should be noted at once in a",Suspense Register CPWA 67,Register of Recoveries CPWA 95,Contractor Register CPWA 43,Register of Works CPWA 40,B ,22.2.8,20.
"When a work is in progress, certain recoveries of expenditure e.g., sale proceeds of surplus materials and plant acquired specially for that work, or of materials received from dismantled structures shall be treated as",Revenue Receipt,Misc. deposit,reduction of the expenditure,Public Works Deposit,C ,22.2.9,21.
"True or false Without the express orders of the DA, gross expenditure authorized is not exceeded, or surplus receipts realized are not utilized towards additional expenditure.",True,False,,,B ,Its competent authority and not DA,22.
"Who should see that savings due to abandonment of parts of a work, as evidenced by the quantities of the work executed or otherwise, are not utilized towards unauthorized expenditure",SDO,DA,DO,SE,B ,Note_22.2.9,23.
