question,option_a,option_b,option_c,option_d,answer,hint,srno
Charges on account of general services like Establishment and ordinary Tools and Plant of a division or office should be classified in the minor heads  ‘Direction and Administration ‘ and  ‘Machinery and Equipment ‘ as the case may be under the Major Head,2059,2701,4059,4701,A ,,1.
Pick the incorrect one regarding charging of special establishments,Work-charged establishment excluding Work-charged staff converted into regular Establishment,"Purely revenue establishment (zilladars, Amins, etc) employed entirely on the management of irrigation, etc., works and on the assessment etc. of connected revenue to the sub-division  ‘Working Expenses ‘ of the major head 2701","Establishment employed for temporary period on famine relief works, to the minor head concerned under the major head  ‘2245",None of the given,A ,,2.
Establishment employed in workshops of a quasi-commercial character shall be charged to,Direction and Administration of the division,the account of the workshop concerned,Work-charged Establishment,Contingency of the division,B ,,3.
"The cost of special tools and plant i.e., tools, plant, machinery, etc., obtained to meet the special requirements of a particular work or project and of a nature not usually to be found in the general stores of the Administration should be treated as",an indirect charge to Machinery and Equipment of the division,a direct charge to Machinery and Equipment of the division,an indirect charge to the work or project,a direct charge to the work or project,D ,,4.
In case of doubt who will decide whether any item of tools and plant should be classified as ordinary or special?,"the Executive Engineer, or other competent executive authority","the Superintendent Engineer, or other competent executive authority","the Chief Engineer, or other competent executive authority",Audit or Account officer concerned,C ,,5.
"The  ‘gross expenditure ‘ on the common establishments, of PWD Buildings and Road Branch, will be recorded under the Minor Head",Direction and Administration below 2059 – Public Works,Direction and Administration below 4059 – Public Works,Conservancy below 2059 – Public Works,Conservancy below 4059 – Public Works,A ,,6.
"The distribution of the charges on account of gross expenditure on the common establishments, of PWD Buildings and Road Branch is made in",four stages,three stages,two stages,single stage,C ,,7.
"First stage of distribution of the charges on account of gross expenditure on the common establishments, of PWD Buildings and Road Branch means",such charges in respect of establishment charges relatable to Revenue Major Heads.,such charges in respect of establishment charges relatable to Capital Major Heads.,such charges in respect of establishment charges relatable to Government Works,such charges in respect of establishment charges relatable to Non-Government Works.,B ,,8.
The first stage distribution of establishment charges from the omnibus Public Works major head to these heads will be calculated on percentage basis determined by the Government in such manner as to remain current for,at least 3 years,at least 2 years,at least 5 years,at least 7 years,A ,,9.
"In respect of establishment charges relatable to works done for other Governments, Local funds and private parties’ etc. recoveries will be made on percentage basis to be determined by Government",minus debited to the Major Head  ‘2059 as recoveries of expenditure,credited to the Major Head  ‘0059 as other revenue receipt,credited to the Major Head  ‘0075 as other miscellaneous receipt,credited to the Major Head  ‘8443 as other deposit,B,,10.
"Proportionate charges on Establishment apportioned to the Capital Major Heads will be adjusted under the sub-head  ‘Buildings ‘ under the appropriate Programme Minor Heads, against a distinct detailed head (or object classifications)  ‘Establishment ‘ to be opened for the purpose by",Debiting concerned capital major head and minus debiting 2059 Direction and Administration,Crediting concerned capital major head and debiting 2059 Direction and Administration,Crediting concerned capital major head and minus crediting 2059 Direction and Administration,Debiting concerned capital major head and minus crediting 2059 Direction and Administration,A ,,11.
