question,option_a,option_b,option_c,option_d,answer,hint,srno
Who is responsible to see that accounts of the Division are not allowed to fall in arrears?,Divisional Accountant,Divisional Officer,Superintendent Engineer,Pay & Accounts Officer,B,,1.
Posting of a Divisional Accountant in a Division to assist the Divisional Officer is made by,Chief Controller of Accounts,Controller General of Accounts,Controller & Auditor General of India,Government concerned.,A,,2.
State whether true or false Appointment of UDC/Accountant to function as Divisional Accountant as a stopgap arrangement can be done by Chief Controller of Accounts where vacancies of DA exist and not filled up for any reason by CCA/CGA.,True,False,,,A,,3.
Functions of the Divisional Accountant are three fold. Pick out the incorrect one,Accountant,Internal checker,Financial Assistant,Stand by DDO,D,,4.
Pick out the correct ones (i) DA should keep himself fully conversant with all sanctions and orders (ii) He should advise the Divisional Officer about financial effect of all proposal for expenditure (iii) He should keep a watch over all the liabilities of his division (iv) Divisional Accountant should be treated as the senior member of the office establishment though analogous to Divisional Officer.,i and ii,"i, ii, and iii","i, ii and iv",All of the above,B,(DA equivalent to an SDO),5.
"A fact brought to the notice of Divisional Officer by Divisional Accountant and the same is overruled by the former, then the later should",It is the duty of the Divisional Accountant to comply the orders.,All matter pertaining to notice shall be withheld,He can overlook the orders of DO,He may report the matter to Superintendent Engineer and Pay & Accounts Officer as well.,A,,6.
"In case a point raised by the Divisional Accountant is overruled by the Divisional Officer and the former is not satisfied, he should",Make a brief note in CPWA 60-Register of DA’s Objection,Prepare a statement and take the orders of SE,Report to Pay & Accounts Officer,All of the above,A,,7.
An objection entered in CPWA 60 should not be considered finally disposed of until it has been reviewed by,Chief Controller of Accounts,Pay & Accounts Officer,Superintendent Engineer,DG (Works),B,,8.
"If no inspection by Accounts Officer takes place in a year and entries have been in CPWA 60 during this period, the register or its extract as the case may be shall be submitted to Accounts Officer in the month of",March of Current year,April of following year,May of following year,September of following year,B,,9.
"In respect of responsibilities of Divisional Accountant, pick the correct ones (i) Safe custody of documents during the period they remain in Accounts branch until submission to Executive Engineer (ii) Arrangement for checking of computed tenders (iii) Conduct personally a test check of computed and checked tenders (iv) See that comparative statements are correctly incorporated","i,ii and iii","I,iii and iv","ii,iii and iv",All of the above,D,,10.
Fill in the blanks All instances in which subordinate officers exceed the financial limitations on their powers placed by the Divisional Officer or higher authority should be brought to the notice of_____________ by____________.,"Superintendent Engineer, Divisional Officer","Divisional Officer, Divisional Accountant","Pay & Accounts Officer, Divisional Accountant","PAO, Divisional Officer",B,,11.
State whether true or false Divisional Accountant may be required by the Divisional Officer to undertake on his behalf such other scrutiny of the accounts of receipts and disbursement officers falling within the Divisional Officer’s own power of sanction.,True,False,,,A,,12.
Pick the incorrect one in respect of Divisional Accountant,"Where monetary transactions at HQs of the Divisional Office are not large either in number or amount, the Divisional Accountant may be required to receive or pay out cash",Receiving or paying out cash by DA should be with prior consent of Pay and Accounts Officer,He may not be authorized to issue final receipt in CPWA 3 and 3A over his own signature,He should affix his dated initial after the last entry of the day’s transaction in the Divisional Cash Book/Stock Account,B,(With the consent of Chief Controller of Accounts),13.
Who will be responsible for explaining personally the defects of procedure and imparting the necessary instructions to sub-divisional officers and their staffs?,Divisional Accountant,Divisional Officer,Superintendent Engineer,Pay and Accounts Officer,A,,14.
"All defalcations or losses of public money, stores or other property should be reported immediately to",Divisional Officer,Superintendent Engineer,Pay and Accounts Officer,Chief Controller of Accounts,D,,15.
State whether true or false Divisional Officer has a right to seek the advice of Chief Controller of Accounts but he shall first obtain the advice of Divisional Accountant,True,False,,,A,,16.
Sanctions accorded by the Divisional Officer except sanctions to write off of stores or losses of public money is checked by,Divisional Officer himself,Divisional Accountant,Pay & Accounts Officer,Chief Controller of Accounts,B,,17.
Sanctions accorded by the Divisional Officer to the cases of write off of stores or losses of public money is checked by,Divisional Officer himself,Divisional Accountant,Pay & Accounts Officer,Chief Controller of Accounts,C,,18.
"State whether true or false In respect of work or project costing Rs. 50 lakh and above, a copy of Administrative Sanction shall invariably be communicated to Accounts Officer",True,False,,,B,,19.
"Technical sanction may be communicated to Accounts Officer, if the cost of a work or project is","Project-Rs. 25 lakh or more, Non-project Rs. 10 lakh or more","Project- more than Rs. 25 lakh, Non-project more than Rs. 10 lakh","Project-Rs. 50 lakh or more, Non-project Rs. 25 lakh or more","Project- more than Rs. 50 lakh, Non-project more than Rs. 25 lakh",B,,20.
"Once a transaction has been entered in the Audit Note or otherwise challenged, the responsibility for having the objection removed will devolve upon",Divisional Accountant,Divisional Officer,Accounts Officer,All of the above,B,,21.
The Divisional Accountant is responsible for bringing to the notice of Divisional Officer all the irregular transaction on which action has not been taken at least once,A month,A quarter,A half-year,A year,A,Note 2 below 4.5.4,22.
