question,option_a,option_b,option_c,option_d,answer,hint,srno
Accounts of the Union Government shall be prepared by,CGA,C&AG,Financial Advisor of the concerned Ministry/Department,Public Account Committee,A,[Rule: ],01.
Accounts of the Union Government shall be certified by,CGA,C&AG,Financial Advisor of the concerned Ministry/Department,Public Account Committee,B,[Rule: ],02.
"Accounts of the Union Government shall be submitted to the President of India, preferably within",1 month of close of the Financial Year,3 months of close of the Financial Year,6 months of close of the Financial Year,9 months of close of the Financial Year,C,[Rule: ],03.
Who shall cause Accounts of the Union Government to be laid before each House of Parliament?,Finance Minister,Union Cabinet,C&AG,President,D,[Rule: ],04.
"The Accounts of the Union Government shall be kept in such form as the President may, on the advice of the Comptroller and Auditor General of India, prescribe as given in Article",148,149,150,151,C,[Rule: ],05.
"Who is responsible for prescribing the form of accounts of the Union and States, and to frame, or revise, rules and manuals relating thereto on behalf of the President of India on the advice of the Comptroller and Auditor General of India?",Accountant General,CCA,CAA,CGA,D,[Rule: ],06.
Government accounts shall be prepared on,cash basis.,credit basis,accrual basis,any of the above,A,[Rule: ],07.
Government accounts shall be kept in,single part,two parts,three parts,four parts,C,[Rule: ],08.
Pick the incorrect one,"Consolidated Fund is divided into two Divisions, namely, 'Revenue' and 'Capital' divisions.",The Revenue Division comprises two sections namely Receipt Heads (Revenue Account) dealing with the proceeds of taxation and other receipts classified as revenue and the section 'Expenditure Heads (Revenue Account)' dealing with the revenue expenditure met therefrom.,"The Capital Division comprises two sections, viz., 'Receipt Heads (Capital Account)' and 'Expenditure Heads (Capital Account)'","These sections are in turn divided into sectors such as 'General Services', 'Social and Community Services', 'Economic Services', etc., under which specific functions or services are grouped corresponding to the sectors of classification and which are represented by Major Heads (comprising Sub-Major Heads wherever necessary).",C,[Rule: ],09.
Contingency Fund of Union Territories are set up by the Government of India under,"Section 48 of Government of Union Territories Act, 1963.","Section 52 of Government of Union Territories Act, 1948","Section 62 of Government of Union Territories Act, 1965","Section 108 of Government of Union Territories Act, 1967",A,[Rule: ],10.
"Transactions relating to debt (other than those included in Part-I), reserve funds, deposits, advances, suspense, remittances and cash balances shall be recorded in",Consolidated Fund,Contingency Fund,Public Account,Departmental Fund,C,[Rule: ],11.
The classification of transaction in Government Accounts shall have closer reference to,Function/Programme/Activity,Department/Ministry,Capital and Revenue,Charged and Voted,A,[Rule: ],12.
Classification of Government Accounts consists of,4 tiers,5 tiers,6 tiers,7 tiers,C,[Rule: ],13.
The six tiers of Government Accounts are represented by a unique,15 digits' numeric code.,15 digits' alpha-numeric code,13 digits' numeric code.,13 digits' alpha-numeric code,A,[Rule: ],14.
Pick the incorrect one,The List of Major and Minor Heads of Accounts of Union and States is maintained by the Ministry of Finance (Department of Expenditure ' Controller General of Accounts),CGA is authorised to open a new head of account on the advice of the C&AG under the Article 150 of the Constitution.,Ministries/Departments may open Sub-Heads and Detailed Heads as required by them in consultation with the Budget Division of the Ministry of Finance.,Principal Accounts Offices of Ministry/Department may open Sub/Detailed Heads required under the Minor Heads falling within the Consolidated Fund of India subject to certain restriction.,D,[Rule: ],15.
The Object Heads have been prescribed under Government of India's Orders below Rule 8 of,R&P 1983,GFR 2017,GAR 1990,Delegation of Financial Power Rules,D,[Rule: ],16.
"State whether true or false:       In cases of doubt regarding the Head under which a transaction should be accounted, the matter shall be referred to the Principal Accounts Officer of the Ministry/Department concerned for clarification of the Ministry of Finance and the CA&G, wherever necessary.",True,False,,,B,"[Rule:  82] referred to the Principal Accounts Officer of
the Ministry/ Department concerned for clarification of the Ministry of
Finance and the Controller General of Accounts, wherever necessary",17.
"RBI shall nominate a bank to function as Accredited Bank of a Ministry or Department, in consultation with the",CGA,C&AG,PAO,Finance Minister,A,[Rule: ],18.
"Pick the correct ones:\\n (i) Public Financial Management System (PFMS) an integrated Financial Management System of CGA shall be used for sanction preparation, bill processing, payment, receipt management, Direct Benefit Transfer, fund flow management and financial reporting.\\n(ii) All the payment, to the extent possible, shall be released 'just-in-time' by the Ministries through PFMS.\\n(iii) Detailed Demand for Grants (DDG), as approved, must be uploaded on PFMS by the end of the financial year.\\n(iv) All the re-appropriation orders, surrender order shall be generated through PFMS system.\\n(v) All grantee institutions shall submit Utilisation Certificates on PFMS.","i, ii, iii and iv","i, ii, iv and v","ii, iii, iv and v",All of the above,D,[Rule: ],19.
DBT should include,in-kind transfers to beneficiaries,in cash transfers to beneficiaries,transfers/honorariums given to various enablers of government schemes,All of the above.,D,[Rule: ],20.
Transaction charges for the financial intermediaries facilitating DBT payments shall be paid as stipulated by,Union Cabinet,Ministry of Finance,Ministry of Trade & Commerce,Ministry of Corporate Affairs,B,[Rule: ],21.
"Appropriation Accounts of Central Ministries/Departments other than Ministry of Railways, Defence and Posts shall be prepared by the",CCA,CGA,C&AG,Principal Accounts Officer,D,[Rule: ],22.
Appropriation Accounts of Central Ministries/Departments shall be prepared under the guidance of,CCA,CGA,C&AG,Principal Accounts Officer,B,[Rule: ],23.
Who signs the Appropriation Accounts of Central Ministries/Departments,CAA,CGA,C&AG,Principal Accounts Officer,A,[Rule: ],24.
"Union Government Appropriation Accounts (Civil) that required to be submitted to Parliament, shall be prepared by",Principal Accounts Officer,CCA,CA&G,CGA,D,[Rule: ],25.
"State whether true or false:       Appropriation Accounts pertaining to Departments of Posts and Defence Services shall be prepared and signed by the Secretaries to the Government of India in the Department of Posts and Ministry of Defence respectively and that of Ministry of Railways by the Chairman, Railway Board.",True,False,,,A,[Rule: ],26.
