question,option_a,option_b,option_c,option_d,answer,hint,srno
The classification of transaction in Government Accounts shall have closer reference to,Function/Programme/Activity,Department/Ministry,Capital and Revenue,Charged and Voted,A,,1.
The classification of transaction in Government Accounts shall have closer reference to function/programme/activity of the Government has been mentioned in,"Rule 10 of GFR, 2005","Rule 29 of R& P Rules, 1983","Rule 29 of GAR, 1990",Rule 7.10.2 of CPWA Code,C,,2.
"When a division undertakes a service on behalf of another division or supplies material to another division, the settlement is resorted through",Book transfer,Settlement by PAO,Advance payment,Debit/credit note,C,,3.
Pick the odd one out,2059,0059,4210,3054,B,other heads are expenditure heads,4.
Pick the odd one out,0059,0202,4000,4711,D,other heads are receipt heads,5.
Which denotes cash remittance and settlement between offices rendering accounts to same Accounts Officer,8671,8672,8782,8999,C,,6.
"The detailed classification of any Public Work, Major Head that may be introduced for booking of a special expenditure shall be prescribed by",CAG,CGA,Central Govt. on advice of CAG,CAG on advice of Central Govt.,C,,7.
The classification and Heads of accounts of Government transactions have been given in,CPWA Code,List of Major & Minor Head,GAR 1990,Budgetary Estimates,B,,8.
Expenditure incurred on account of payment made after an award has been made a Rule of the Court but prior to the issue of decree is debitable to,Consolidated Fund of India,Charged section of Relevant Grant,Work Contingency,Miscellaneous Work Advance,B,,9.
Immediate Assistance to the family of deceased Government servant shall be,One month Basic+DA subject to maximum Rs. 8000/-,Two months Basic+DA subject to maximum Rs. 8000/-,Three months Basic+DA subject to maximum Rs. 8000/-,Six months Basic+DA subject to maximum Rs. 8000/-,B,,10.
Who is competent to sanction an advance to the family of deceased Government Servant?,DDO,Pay & Accounts Officer,Head of Office/Department,Department/Ministry,C,,11.
Advance to the family of deceased Government Servant shall be adjusted within the period of its sanction,Two Months,Three Months,Six Months,One year,C,,12.
Lump-sum advance to family of deceased Government Servant shall be debited to,2059,8550,8011,8009,B,,13.
"If the amount of death benefits is less than the lump-sum advance paid and if the advance is treated as irrevocable, the same should be debited to",2059 Miscellaneous Work Advances,2071 Pension,2075 Miscellaneous General Services,2205 Social Services,C,,14.
Who is primary disbursing officer of a Division?,Divisional Accountant,Cashier,Treasury Officer,Divisional Officer,D,,15.
"Who permits the Divisional Officer through Letter of Credit (LoC) to obtain by cheque on bank, the fund required for all disbursement?",Pay & Accounts Officer,Accountant General,Chief Controller of Accounts,Government concerned,C,,16.
"If an officer other the Executive Officer/Engineer is declared DDO, he may be delegated power to draw cheque with the prior approval of",Pay & Accounts Officer,Accountant General,Chief Controller of Accounts,Controller General of Accounts,D,,17.
The Account against which the Divisional Officer draws cheques for payment of bills passed by him on the basis of Letter of Credit,Cash Assignment Number,Cheque Assignment Number,Bank Assignment Number,Letter of Credit,A,,18.
Cash Assignment Number to a Divisional Officer is assigned by,Pay & Accounts Officer,Accountant General,Chief Controller of Accounts,Controller General of Accounts,C,,19.
Pay and Allowances’ bill of employees recruited in Government service on or after 01.01.2004 and covered by NPS shall be paid by,By Divisional Officer,By Pay & Accounts Officer,By Divisional Officer on PAO’s memo,By PAO on bill submitted by DO,D,,20.
Proposal for obtaining of Cash Assignment Number is prepared and sent by,Divisional Officer,Office of DG (Works),Pay & Accounts Officer,Office of Circle Engineer,B,,21.
Proposal for obtaining of Cash Assignment Number is submitted to,Pay & Accounts Officer,Chief Controller of Accounts,Controller General of Accounts,Comptroller & Auditor General,B,Submitted to Chief Controller of Accounts and not the CGA.,22.
Proposal for obtaining of Cash Assignment Number is submitted,Within 30 days of opening of a Division,Before 30 days of opening of a Division,Within 45 days of opening of a Division,Before 45 days of opening of a Division,D,,23.
