question,option_a,option_b,option_c,option_d,answer,hint,srno
Pick the incorrect regarding general administration of store,The acquisition of stores,Their custody and distribution according to the requirements of works,Manufacture and workshop,Their disposal.,C,(7.1.1),1.
"Any breach of rule of store administration constitutes a serious irregularity, which will be brought prominently to the notice of the appropriate authority concerned of the CPWD by",Divisional Accountant,Divisional Officer,Store Superintendent,PAO,A,(7.1.3),2.
An intimation to notice of breach of rule of store administration shall be sent to,SE,DG (Works),Chief Controller of Accounts,PAO,C,(7.1.3),3.
As per the fundamental principle of store cost of acquisition of store shall be debited to,Suspense Account,Particular work,Contractor ledger,Measurement book,B,(7.1.4 a),4.
"State whether true or false When store are not brought or issue to a specific work, it should be accounted for in Suspense Accounts",True,False,,,A,(7.1.4 a),5.
Tools and plant required for general use of the division shall be debited to minor head Machinery and Equipment under,2059,4059,Particular work,8658,A,,6.
Tools and plant required for a specific work of the division shall be debited to,2059,4059,Work concerned,8658,C,,7.
Road metal required for the maintenance of a road or section of a road is debited at once to the sub-head “Maintenance and Repairs’ subordinate to the relevant Minor Head under the Major Head,1054,3054,5054,0042,B,(7.1.4 C),8.
"When road metal is acquired specially for use in the construction of a road or other work, its cost is debited to",1054,3054,5054,0042,C,,9.
The classes of store in a Public Works Division are,Two,Three,Four,Five,C,(7.1.5),10.
Pick out the incorrect one,Four classes of store fall into two distinct categories,These two distinct categories are suspense and final head,Suspense head includes stock,"Final head includes tools and plant, road metal and machinery brought at site by the Contractor",D,(7.1.5),11.
Pick the correct one,"Stock accounts may be maintained in a sub-divisional Office, even though the officer in charge is not authorized to keep a cash account in Form I.",A separate account should be kept in the Divisional Office of any stock which is directly under the charge of the Divisional Officer or of an officer under his orders and not under the orders of a sub-divisional Officer.,Both,Neither,C,(7.2.2),12.
"To ensure accuracy of posting of all transactions and facilitate the preparation and valuation of indents, the list of materials in stock, showing their correct description and identifying numbers is called",Priced List,Priced Vocabulary of Stores,Priced Store Ledger,Catalogue,B,(7.2.3),13.
Issue rate in Priced Vocabulary of Stores is filled in by,Division,Sub-Division,DG (Works),Ministry/Department,A,(7.2.3),14.
State whether true or false Priced vocabularies of Stores should be kept up-to-date by issue of correction slips as and when necessary.,True,False,,,A,(7.2.3),15.
Pick the incorrect regarding the sources of receipts of material in aPWD,Suppliers in India or Abroad.,"Other sub-Divisions, Divisions or departments","Manufacture, Works, buildings, etc.","Donation, grants and contribution",D,(7.2.4),16.
The record of the detailed count or measurement or weighment of material received should be kept in CPWA,Form 8,Form 8-A,Form 12,Form 12A,B,(7.2.5),17.
The total of number or quantity received should be entered in,"The Bin Card, Form 8",Good Received Sheet 8A,Priced store Ledger 12,Works Abstract,A,(7.2.5),18.
Good Receipt sheet is maintained in CPWA,Form 8,Form 8-A,Form 12,Form 12A,B,(7.2.5),19.
"State whether true or false Acknowledgement a supplier for stores received from him can be signed only by the Divisional Officer, Divisional Accountant or Sub-divisional Officer.",True,False,,,B,Only SDO/DO and not DA (7.2.5),20.
"Receipt of tools and plant, the item should be brought in “Tools and Plant Received Sheet” in CPWA",Form 10,Form 11,Form 13,Form 14,C,(note below 7.2.5),21.
"Pick the correct one (i) The Goods Received Sheets will be printed in the form of booklets and will be duly machine-numbered, with the office copy intact and other perforated. (ii) These will be prepared in triplicate. (iii) One copy being retained by the store keeper and the other two sent to the sub-divisional Office. (iv) Out of these two, one copy will be passed on to the Accounts Branch and the other to the Divisional Office for posting the Priced Stores Ledger and making payments.","i, ii, and iii","i, iii and iv","ii, iii and iv",All of the above,A,one copy to supplier and not to Accounts Branch (7.2.6),22.
All the booklets containing the Goods Received Sheets should be numbered serially and a register of them should be maintained in CPWA in,Form 12,Form 12 – A,Form 14,Form 16,B,(7.2.8),23.
All the booklets containing the Goods Received Sheets should be numbered serially and a register of them should be maintained in,Sub-Division Office,Superintendent of store,Accounts Branch,Divisional Office,D,(7.2.8),24.
State whether true or false A similar register of Good Received Sheet booklets should also be maintained in the Sub-divisional Office showing the names of subordinates to whom the booklets are issued. Those no longer in use should be withdrawn promptly even though not completely written up.,True,False,,,A,(Note below 7.2.8),25.
The materials should be issued only on receipt of an indent (Form 7) signed by,Store Keeper,Store Superintendent,SDO/DO,DDO,C,(7.2.9),26.
"Pick the correct one (i) Indents will be printed in the form of booklets and will be duly machine numbered (ii) Booklet should kept in stock by the Sub-Divisional Officer, who issues the indent books stamped with stamp of his office. (iii) Indents should be prepared in quintuplicate (iv) A record of the stores indented should be simultaneously kept in the Register of Indents Form 7-A.","i, ii and iii","i, iii and iv","ii, iii, iv",All of the above,B,Kept in stock by DO and not SDO (7.2.10),27.
"State whether true or false The first copy of the indent should be retained as the office copy and the other four (which should be marked “original”, “duplicate” and so on) presented to the Supplying Division",True,False,,,B,Fifth copy is retained not the first (7.2.10),28.
