question,option_a,option_b,option_c,option_d,answer,hint,srno
A bill becomes a voucher only when it is,given a bill number,receipted and stamped 'PAID',signed by the Head of the Office,passed by the PAO.,B,[Rule: Explanation to 28],01.
Bills drawn and presented by a departmental officer to,an Accounts Officer/cheque drawing DDO,a Non Cheque drawing DDO,Head of the Office,Bank,A,[Rule: 29],02.
Payments to pensioners are governed by,GAR 1990,R&P 1983,GFR 2005/2017,Treasury Rules,D,[Rule: 30 (2)],03.
The rate at which Income tax is required to be deducted at source in all cases of payment to contractors and sub-contractors exceeding a prescribed limit,2%,3%,5%,10%,A,[Rule: Note 2 below 30 (2). Presently the amount is Rs. 30000/- individually or Rs. 1 lakh in a FY],04.
Deduction of IT at source is made under the provision of,"Section 194-A of the Income Tax Act, 1961","Section 194-B of the Income Tax Act, 1961","Section 194-C of the Income Tax Act, 1961","Section 194-D of the Income Tax Act, 1961",C,[Rule: Note 2 below 30 (2)],05.
Claims against the Government become time-barred which are not preferred within,one year of their becoming due,two years of their becoming due,three years of their becoming due,five years of their becoming due,B,[Rule: 32],06.
"State whether true or false        Claims against the Government which are not preferred within two years of their becoming due would be considered as time-barred and shall invariably apply to claims on account of arrears of pensions,",True,False,,,B,[Rule: 32],07.
Bill for all debt-head items should be drawn in separate forms printed in,red ink on white paper,black ink on yellow paper,blue ink on white paper,red ink on yellow paper,A,[Rule: 33 (i)],08.
Pick the incorrect one regard preparation of bill,"If, in any case, the use of a bill purely in any regional language becomes unavoidable, a brief abstract should be endorsed in English under the signature of the preferring officer",All corrections and alterations in the total of a bill whether made in words or figures should be attested by the dated initial of the person signing the receipt.,Charges against two or more major heads should not be included in one bill,"the allowances of a Government servant drawn with pay, as in such case, the whole of the allowances, even if belonging to two or more major heads of accounts, should be drawn on a single bill, if debitable wholly to the Government.",B,[Rule: 33 (Full signature)],09.
A Bill Register in Form GAR 9 should be maintained by all Heads of Offices which should be reviewed by a gazetted officer,Weekly,fortnightly,monthly,periodically,C,[Rule: Note 1 below 34],10.
A Bill Transit Register in Form GAR 10 should be maintained by all Heads of Offices which should be reviewed,weekly,bi-weekly,monthly,bi-monthly,B,[Rule: Note 2 below 34],11.
