question,answer,srno
All proposals for Provision and instructions relating to additions to establishment are given in,DFPR (Rule 11),01:
An existing post beyond the specified duration will be continued with explicit approval of,"Ministry of Finance,",02:
"All service matters from entry to exit, including leave, transfer, promotion, performance appraisal should be maintained in a digitised format as per Rule",285 of GFR 2017,03:
The valid birth certificate in cases where the prescribed educational qualification of a Govt. Servant is below the matriculation are,Municipal Birth Certificate or Certificate from the recognised school last attended,04:
Detailed Rules for maintenance of Service Books are contained in,Supplementary Rules (SRs),05:
The service book of a government servant shall be maintained in,duplicate.,06:
The Second copy of the Service Books shall be handed over to new appointees within,1 month of the date of appointment.,07:
"The Second copy of the Service Books, if not already given, shall be handed over to the existing employees within",6 months from the date of this rule becoming effective.,08:
The Government servant shall handover his/her copy of the Service Book to his office for updation every year in,January,09:
"In case the Govt. servantsâ€™ copy is lost by the govt. servant, it shall be replaced on payment of a sum of",â‚¹ 500/-,10:
Travelling allowance claim of a government servant shall fall due for payment on,The date succeeding the date of completion of the journey.,11:
TA claim will stand forfeited if not Submitted within,60 days of its becoming due.,12:
T.A. claims by retired Government servants appearing in a Court of Law for defending himself shall be admissible,only when the judgement relating to his honourable acquittal is pronounced by the court.,13:
Period for submission of T.A. claims by retired Government servants appearing in a Court of Law for defending himself shall be admissible will be reckoned from,the date of pronouncements of the judgement,14:
LTC claim of a government servant shall fall due for payment on,the date succeeding the date of completion of return journey.,15:
Submission period for LTC claim is,In case of Advance-30 days; When no advance-60 days,16:
When LTC advance drawn by the Government Servant and does not prefer claim within the prescribed period,Advance is recovered and allowed to submit his/her claim treating as no advance is drawn failing which claim will be forfeited.,17:
A claim for overtime allowance shall fall due for payment on,1st day of the month following the month,18:
Claim for overtime Allowance will stand forfeited if not Submitted within,60 days of its becoming due,19:
An increment may be withheld under the provision of,FR 24,20:
"In the event of withholding an increment, the period of one year is counted from",the date on which it falls due,21:
"Any arrear claim of a Government servant shall be settled by the DDO or Accounts Officer, as the case may be, after usual checks, if preferred within",2 years of its becoming due.,22:
A claim of a government servant should be investigated by the Head of the Department concerned which has been allowed to remain in abeyance for a period.,"exceeding 2 years,",23:
A time barred claim shall be paid with the express sanction of the,Govt. issued with the previous consent of the Internal Finance Wing concerned,24:
Retrospective effect relating to revision of pay or grant of concessions to Govt. servants shall not be given without the previous consent of the,Ministry of Finance,25:
"A sanction to an advance or a non-refundable part withdrawal from Provident Fund shall, unless it is specifically renewed, lapse on the expiry of a period of",3 months,26:
Remissions of revenue allowed before collection are to be treated as,reduction of demands and as refund,27:
Compensation for accidental loss of property shall be paid to an officer with the approval of,Ministry of Finance,28:
The public debt raised by government by issue of securities shall be managed by,The RBI,29:
"schedule of PLI recoveries to be attached to the bills, is a record showing the detail",not only of those from whom the recovery has actually been affected but also of those from whom recovery was being affected previously but has not been affected.,30:
The amount of security to be obtained from a Government servant shall be determined on the basis of,actual cash handled which shall not include a/c payee cheques and drafts,31:
A Government servant who is officiating against the post of another cash or store handling Government servant shall,be required to furnish the full amount of the security prescribed for the post.,32:
Min/Department may exempt furnishing of security in case of officiating against a short term vacancy where the period of officiating is for a period,Not exceeding 4 months,33:
"In respect of IA&AD, the competent to exempt furnishing of security in case of officiating against a short term vacancy",CAG,34:
"In addition to period of officiating, the other conditions for exemption from furnishing of security in case of officiating",(i) No risk involved (ii) Employees in permanent one.,35:
A security deposit taken from Government servant shall generally be retained for at least,6 months from date he vacates his post,36:
"no land belonging to the Government or any of its bodies, shall be sold without previous sanction of",the Government.,37:
Transfer of land from a UT to a Central Government Department or vice versa shall be on,No profit no loss,38:
Transfer of buildings and superstructures on land from a UT to a Central Government Department or vice versa shall be at,the present day cost minus depreciation of these structure(s),39:
"The allotment of land to, and recovery of cost of buildings from the Public Sector Undertakings shall be at",Market Value',40:
"Any amount or loan not paid on due date to Government by a local body, may be adjusted from any.",non-statutory grant sanctioned for payment to it,41:
"Proceeds of taxes, fines or other revenues levied or collected by Government for or on behalf of local bodies shall",not be appropriated direct to a local fund without passing them through the Consolidated Fund,42:
Financial transactions between Government and local bodies shall be rounded off to the nearest,Rupee.,43:
Rules relating to contingent expenditure are available at Rule.,DFPR (Rule 13) & R&P (96 to 98),44:
Permanent Advance or Imprest may be granted by,HoD in consultation with the internal financial wing,45:
Procedures for maintenance of permanent imprest are given in,Civil Account Manual (Para 10.12),46:
"The adjustment bill, along with balance if any, towards advances for Contingent and Miscellaneous purpose shall be submitted by the government servant within",15 days of its drawl.,47:
The Ministry or Department may sanction the grant of an advance to a Government Pleader in connection with law suits up to the maximum of,â‚¹ 25000/- at a time,48:
