question,answer,srno
Classes into which works are divided into are,"Three-Original, Minor and Repair works",01:
Works which add capital value to existing assets but do not create new assets are called,Minor Works,02:
Works that include services or goods incidental or consequential to the original or repair works are called,Repair Works,03:
"Site preparation, additions and alterations to existing works, special repairs to newly purchased or previously abandoned buildings or structures, including remodelling or replacement are come under the category of",Original works,04:
A Ministry or Department at its discretion may directly execute repair works estimated to cost,â‚¹ 30 lakh,05:
A Ministry or Department at its discretion may assign the repair works to Public Works Organisation where estimated cost,Exceeds â‚¹ 30 lakh,06:
A Ministry or Department at its discretion may assign the Original works to Public Works Organisation where estimated cost,Of any value,07:
As an alternative to assigning the works to PWOs are,Central/State PSU ; to any other Central / State Govt. organisation /PSU which may be notified by the Ministry of Urban Development for such purpose,08:
Grants for Civil Works are administered by,CPWD,09:
Works that should be included in the Grants for Civil works are,those which are not specifically allotted to any Ministry/Department,10:
Estimates for works containing the detailed specifications and quantities of various items should be prepared on the basis of,the Schedule of Rates of CPWD/ other Public Works Organisations,11:
"Any development of a project considered necessary while a work is in progress, shall have to be covered by a",Supplementary estimate.,12:
"For purpose of approval and sanctions, a group of works which forms one project, shall be considered as",one work.,13:
"Where a Ministry or Department executes works under its own arrangements, the detailed procedure relating to expenditure on such works shall be prescribed by departmental regulations framed in consultation with","the Accounts Officer,",14:
Open tenders will be called for works costing,â‚¹ 5 lakh to â‚¹ 30 lakh,15:
Limited tenders will be called for works costing,Less than â‚¹ 5 lakh,16:
"Where a Ministry or Department executes works under its own arrangements, final payment for work shall be made",only on the Personal Certificate of the Officer-in-charge of work execution.,17:
"Where a Ministry/Department allots works to PWO/PSU or any organisation for execution of work, it is desired that",A Memorandum of Understanding (MoU) may be drawn.,18:
A Review Committee to review the progress of project where the cost of project is,â‚¹ 100 crore and above.,19:
Review Committee is set up by,Administrative Ministry/Department,20:
Review Committee consists a member each from,"Administrative Min/Department, Internal Finance Wing and Executing Agency",21:
The Review Committee shall have the powers to accept variation within,10% of the approved estimates.,22:
"Where the project cost is less than â‚¹ 100 crore, the progress of work is monitored through",Mechanism set-up at discretion of the Administrative Min/Department.,23:
