question,answer,srno
"The annual accounts duly certified by the CAG along with CAGâ€™s reports, shall be submitted to the President of India, preferably within","Six months of close of the Financial Year,",01:
The numerical digits that a government transaction consists of,"15 (Major Head-4, Sub-Major-2, Minor-3, Sub-Minor, Detailed and Object-2 each)",02:
Sub-Heads and Detailed Heads as required may be opened by,Ministry/Departments concerned in consultation with the Budget Division of MoF,03:
The object heads have been prescribed in,Below Rule 8 of DFPR,04:
The power to amend or modify these Object heads and to open new Object Heads rest with,Department of expenditure i.e. CGA in consultation with the CAG,05:
PFMS stands for,Public Financial Management System,06:
PFMS function under,CGA,07:
"Direct Benefit Transfers under various Government Scheme and Programmes have been implemented using ICT, where ICT means",Information and Communication Technology,08:
Transfers of benefits under DBT scheme include,Both cash and in kind transfers,09:
The applicable transaction charges for the financial intermediaries facilitating DBT payments shall be borne by,Ministry of Finance,10:
The annual accounts that is prepared showing the annual receipts and disbursements and statement of balances under the respective Heads is called,Finance Accounts,11:
Sub/Detailed Heads required under the Minor Heads falling within the Public Accounts may be opened by,Pr. A.O in consultation with Budget Division of the Ministry of Finance,12:
Proforma accounts relating to Public Works shall be prepared by,Accounts Offcer,13:
the Head of the units shall be required to maintain such subsidiary proforma accounts in commercial form as may be agreed between,Government and CAG,14:
"A device intended to facilitate the Designated Officer thereof to credit receipts into and effect withdrawals directly from the account, subject to an overall check being exercised by the bank is called",Personal Deposit Account,15:
No withdrawal from Public Deposit Accounts resulting in a minus balance therein will be ensured by,The Designated Officer with the help of Bank,16:
The Personal Deposit Account shall be authorised to be opened by,A special order by the concerned Ministry/Department in consultation with the CGA,17:
The Government Account within which a Personal Deposit Account is located is,Public Accounts,18:
"In relation to Civil and Criminal Courtsâ€™ deposits, a PDA may be opened in favour of the",Chief Judicial Authority concerned,19:
Loans outstanding against Public Sector Undertakings may be converted into equity investments in or as grants-in-aid to the Public Sector Undertakings may be made with the approval of,The Parliament,20:
Loans outstanding against Public Sector Undertakings may be converted into equity investments in or as grants-in-aid to the Public Sector Undertakings may be made by,including a token provision in the relevant Demands for Grants or Supplementary Demands for Grants,21:
"For capital outlay met out of specific loans raised by Government, the interest shall be charged at such rate as may be prescribed by the",Government,22:
For capital outlay provided other than out of specific loan rate of interest shall be determined each year by the,"Department of Economic Affairs, Ministry of Finance.",23:
The interest on capital outlays shall be calculated,"on the direct capital outlay at the end of the previous year plus half the outlay of the year itself,",24:
"When charges for interest during the process of construction of a project are temporarily met from capital, the capitalised interest shall be",Written back from the first charge on any capital receipts or surplus revenue derived when opened for working.,25:
The period accepted mutually by Central and State Governments for re-audit of past transactions involving errors in classification is,3 years,26:
The amount agreed upon between Central and State Government up-to which claimed shall not be preferred,â‚¹ 10000/-,27:
Departments/Undertakings that fall outside the purview of the proposed reciprocal arrangements between Central and State Governments,"Commercial Undertakings, Railways, Post, State Governments and the Electrical undertakings etc.",28:
"If a doubt arises as to whether a particular claim would fall within or outside the purview of the proposed reciprocal arrangement amongst different Governments, it shall be decided by",mutual consultation,29:
Central Government may entrust function to State Government under Article,258,30:
"If the claims of State Government under Article 258 (3) are found to be reasonable and do not exceed â‚¹ 50000/p.a for any individual item or connected group of items), a contract may be entered into for a period of",5 years and shall be reviewed at the end of each period of five years.,31:
"If the agency work involves the employment of a State Commercial Department, the cost of the such work will be",open to that department to charge its normal commercial costs.,32:
The cost of regular joint establishment incurred under Article 258 shall be shared on the basis of,fixed annual sums settled in agreement with the State Government concerned.,33:
If the amount agreed upon exceeds â‚¹ 50000 an annual statement of proposed charges from the State Government shall be obtained by time,at the time of preparation of the Budget,34:
The Ministry/Department that should be consulted on all matters arising under Article 258 (3) of the Constitution is,Ministry of Finance,35:
The expenditure connected with the construction or maintenance of National Highways etc. entrusted by Central to the State Governments shall be borne by,At first by State Govt. under Suspense Head 8658-PAO suspense and reimbursable by the Central,36:
A State function may be entrusted to the Central Government under the provision of Article,258A,37:
RBI closes its yearly accounts on,15th April of the following year.,38:
Charges for maintenance of boundaries between india and Foreign country shall be borne in ratio of,50: 50. If no share from foreign country is recovered then 100% by Central.,39:
Charges relating to demarcation of boundaries and boundary disputes will be borne by the,Central Govt.,40:
The foreign country with which special arrangements worked out in consultation with charges for maintenance of boundary line is,The Nepal Government.,41:
The share of the Foreign Government for maintenance and demarcation of and disputes over boundaries that will be borne by the Central Government for the present is,The Bhutan Government,42:
"All claims shall ordinarily be preferred between Departments, both commercial and non-commercial of the Central Government, within",the same financial year and not beyond 3 years from the date of transaction.,43:
Provision for the settlement of inter-departmental adjustments has been made in,GAR 1990 (Chapter-4),44:
In the case of Commercial department/undertaking adjustment of Pensionary liability shall be made in the regular accounts by charging the average rates based on the monthly contribution of pension for,15 years of service,45:
