question,answer,srno
The last stage before handing over the Cash Account and the List of Payments of a treasury to the Book Department should be the posting of the balances and the totals in the,Statement of Disbursers' Accounts.,01:
This statement should be maintained separately for Central and State transactions in Form,AC 2,02:
"The entries of Central and State transactions relating to the treasury, the figures being taken from the Closing Abstract appended to the Cash Accounts.",,03:
The designation of the clerk in a Civil Account Office who is responsible for the adjustment of the entire treasury account of a district,District Auditor,04:
"If the number of departmental abstracts in an account circle is large, a separate sheet in Form AC.2 may be maintained for the departmental abstracts alone and the totals from this sheet may be posted into the main form",,05:
The entries in the Statements of Disbursers' Accounts should be made in the same order as is observed in the,Cash Balance Report,06:
(i) Bank Account >> (ii) district accounts >> (iii) Departmental Adjusting Accounts and >> (iv) the various departmental accounts in detail,Orders of Posting,07:
Remittances in Transitâ€“Local is a minor head under major head,8999 Cash Bal.,08:
"Its opening balance will be-the amount of local remittances in transit at the beginning of the month, and its closing balance that outstanding at the end of it and these amounts taken from the",Remittance Check Register,09:
The entire amount of the opening balance and closing balance should then be posted under,Disbursement & Receipt respectively,10:
"The amounts entered here as receipts and disbursements are also posted into the Detail Books as receipts and disbursements, respectively, under the head ""Remittances in Transit Local"" per contra debit or credit to the head ""Cash Remittance between Treasuries and currency chests""",,11:
The Statements of Disbursers' Accounts must be completed in the Book Department by incorporating the amounts which pass into the Detail Books through the Combined Transfer Ledger and Abstract,,12:
The figures in the last two lines (which will be equal) should be posted in the Statement of Disburse s' Accounts against the head,Transfer,13:
"In the Account office where the departmental system of account is followed, the drawing up of the abstract may he discontinued at the discretion of the",Account Oflicer,14:
"Lastly, Deposits-State"" should be entered in the State Statement from where entry in Detail Book is made against the head Reserve Bank Deposit under receipt or disbursement as the case may be",,15:
The Statement thus prepared will bring together the aggregate of the months' receipts and payments with the opening and closing balances of all officers rendering accounts lo the AG,,16:
It furnishes an effective check on the grand totals of the several Consolidated Abstracts as made Cut in the Abstract of Major Head Totals,,17:
The Consolidated Abstracts show the amounts received and paid on all accounts whereas the Statements of Disbursers' Accounts show the amount received and paid by all Accountants.,,18:
