question,answer,srno
"A device intended to facilitate the Designated Officer thereof to credit receipts into and effect withdrawals directly from the account, subject to an overall check being exercised by the bank is called",Personal Deposit Account,01:
No withdrawal from Public Deposit Accounts resulting in a minus balance therein will be ensured by,The Bank,02:
The Personal Deposit Account shall be authorised to be opened by a special order by the concerned Min/Dept. (Pr. AO) in consultation with,the CGA,03:
The Government Account within which a Personal Deposit Account is located is,Public Accounts,04:
"Where a personal deposit account is required to be created by a law or rules having the force of law, balance unclaimed at the end of year shall",(-) Dr and revived in following FY,05:
"Where work relating to payment etc. of a PDA is entrusted to an Administrator or the PDA holder, whether or not the initial accounts, vouchers etc. shall be subject to post check by the concerned PAO may be determined by",the Chief Accounting Authority of the Min/Dept.,06:
"Where post check is required to be exercised by the PAO the Deposit Accounts holder shall furnish the detailed monthly account along with vouchers in support of the lump withdrawals/deposits made during each month, to the concerned PAO",,07:
"Where post check is not required to be exercised, the PAO will confine its check to the transactions of withdrawals from the account to see that they do not exceed the balance at the credit of the account.",,08:
"For every PDA, the PAO shall invariably conduct a monthly reconciliation of the receipts and payments out of the PD Account against the reported figures in the bank scrolls and the monthly statement of receipts and expenditure submitted by the PD Account holder.",Submission of Abstract of the Register of R&P to PAO,09:
"In cases work of payment etc. relating to a PD Account may be entrusted to the PAO himself on behalf of administrator of the fund, the responsible to examine the correctness of the receipts credited into the PD Account will be",Administrator,10:
"In the first week of every month, PAO shall furnish to the administrator of fund, a monthly account showing the opening balance, receipts, payments and closing balance of the transactions at the end of the previous month",,11:
The PAO will also be responsible for the preparation of budget estimates and revised estimates in regard to the receipts and payments under the PD Account in consultation with the administrator of the fund and furnishes it to,Budget Division (DEA) in November,12:
PD Account shall be subjected to scrutiny by the internal Audit Wing functioning under,the respective Min/Dep,13:
In the PWD system Cash Remittances & adjustments between Officers rendering accounts to the same Accounts Officer is operated to record transactions of Public Works Officers with Treasury and Other Officers of the Civil Departments within the same circle of Account.,Major Head 8782 Minor Head 102,14:
(i) Remittances into Treasuries/Banks (ii) Public Works Cheques (iii) Other remittances (iv) Transfers between Public works / Forest Officers,Sub-heads of Remittance,15:
In the PAO the `Schedule of Reconciliation of Cheques and Remittances will be carefully examined with reference to the divisional accounts and the bank scroll for the month,For Remittances into Tr./Banks & PW cheque,16:
"The P.A.O. will continue to follow the existing procedure for accounting of transfers between his books and divisional books through ""P.W. Remittances III-Other Remittances"" only for the transactions advised by the",P.A.Os of the Department of Supply.,17:
In other cases the Divisions should resort to direct settlement by cheques/drafts.,,18:
