question,answer,srno
The cost of material procured in exceptional cases through DGS&D or direct from supplier specially for works are to be accounted for as minus credit to Sub-head “Payment for purchases through DGS&D”,,02:
"In case of direct purchases from Supplier, if payment not made in the same month in which Stores have been received the accounts will be by credit to Sub-head “Purchases pending adjustment/payment to Supplier”.",,03:
the Subheads are to be opened under the minor head “129 – Material Purchase Settlement Suspense Account” below the Major Head “8658 – Suspense Accounts”.,,04:
all persons engaged departmentally for the execution of works are considered as day labourers and their wages should be drawn on Muster Rolls. Form CPWA 21 and charged to the estimates of the works on which they are employed:-,,05:
"For all the labourers and workmen employed on Muster Rolls, Form CPWA 21 a daily labour report in the Form CPWA 30 indicating the number of labourers and workmen employed is required to be sent on each day to the Sub Divisional Officer/Divisional Officer",,06:
Labour reports for Muster rolls containing 15 persons or less are not required to be sent.,,07:
"One or more muster rolls should be kept for each work, but muster rolls should never be prepared in duplicate. It is permissible, however, to keep one muster roll for labourers employed upon several small works,",,08:
"Labourers may be paid more than once a month and the period covered by each payment may be determined locally,",,09:
The daily attendances and absences of labourers and the fines inflicted on them should be recorded daily in Part I of the muster roll,,10:
"If any item remains unpaid, the details thereof should be recorded in a Register of Unpaid Wages, Form CPWA 21-A (which should be maintained in the Sub-Division),",,11:
"The subsequent payment of unpaid wages should be made on Hand Receipt, Form CPWA 28; a note of the payment being kept in the Register of Unpaid Wages as well as the relevant Muster Roll.",,12:
"Wages remaining unpaid for three months should be reported to the Divisional Officer who will decide in each case,",,13:
"In Part II of the muster roll form should be recorded the progress of work done by the labour shown thereon in all cases where such work is susceptible of measurement. If the work is not susceptible of measurement, a certificate to this effect should be recorded.",,14:
"It is not necessary to reproduce the details of measurement in Part II, nor need Part II be written up if progress is reported once a month or often in any other suitable Form and such separate reports are considered sufficient.",,15:
Checking of Measurement Books will be done to the extent of 100% by the Sub-division before payments are made by the Divisional Officer.,,16:
"In exceptional and urgent cases, such as urgent silt – clearance of canals or closing breaches, where labourers are employed casually for short periods, payments may be made on a Casual Labour Roll, Form CPWA 22, in which the names of the labourers need not be given but such payments may not be made except by a gazetted officer.",,17:
"Muster rolls in Form 21 need not be used in the case of work done on Requisition, Form CPWA 32, when entries of daily labour are few, in such cases the particulars can be entered on the Form of Requisition.",,18:
"clearance of canals or closing breaches, where labourers are employed casually for short periods, payments may be made on a Casual Labour Roll, Form CPWA 22,",,19:
"The payment of daily labour through a contractor, instead of by Muster roll in the usual way, is objectionable in principle.",,20:
When it is necessary to bring labourers and artificers from a distance they may be allowed wages for the number of days occupied in the journey to and from the site of the work.,,21:
"At the discretion of the Divisional Officer, bona fide traveling expenses may also be allowed to them. The above charge must be borne by the estimate of the work.",,22:
Payment to supplier/contractor without measurement recorded in Measurement Book Form 23 be made only after consultation with the Chief Controller of Accounts,,23:
All the measurement books belonging to a division should be numbered serially and a register of them should be maintained in Form CPWA 92 in the divisional office,,24:
A similar register should also be maintained in the Sub-divisional office showing the names of the Sub-divisional Officer and Sectional Officers to whom measurement books are issued. Books no in longer use should be withdrawn promptly even though not completely written up.,,25:
"detailed measurements should be recorded only by Executive Engineer, Assistant Executive Engineer or Assistant Engineers, or by the executive subordinates in charge of works",,26:
"All items of work in a project, irrespective of their cost, shall be measured and recorded by the Officer-in-charge of the work, not lower than the rank of J.E. It is,however, open to the rank of Sub-Divisional Officer to record measurements for any particular item of work himself.",,27:
"All measurements should be recorded neatly and directly in a measurement book, at the site of work, and no-where else.",,28:
"The pages of the Measurement Book should be machine numbered. Entries should be recorded continuously, and no blank pages left or page torn out. Any pages left blank inadvertently should be cancelled by diagonal lines, the cancellation being attested and dated.",,29:
Measurement Book may be produced as evidence in a Court of Law. Therefore these should be maintained very carefully and accurately,,30:
All corrections made in the MB by the clerical staff should be in red ink.,,31:
The Sub-divisional Officer must satisfy himself [before passing a bill for payment] before submitting MB to the Divisional Officer for payment,,32:
Standard Measurement Books of buildings are maintained in order to facilitate the preparation of estimates for periodical repairs.,,33:
"They may be utilized for the purpose of preparing contractors’ bills for such repairs,",,34:
"The measurement books used as standard books should be numbered in an alphabetical series, so that the numbers may be readily distinguished from those assigned to the ordinary books wherein detailed measurements are recorded whenever work is actually done.",,35:
The Standard Measurement Books should either be written by the S.D.O. himself or the executive subordinate incharge under his orders.,,36:
"Each set of measurements taken by the executive subordinate in-charge should, however, be fully checked by the S.D.O. after which it should be examined by the Divisional Officer and declared in writing in the book",,37:
"The Divisional Officer should periodically certify that all the standard books of the division have been inspected by him, that entries therein have not been tampered with and that all corrections due to additions and alterations in the buildings have been made in the books and the latter are reliable and upto date records.",,38:
"(When a payment is based on standard measurements, the gazetted officer or subordinate preparing the bill for payment should be required to certify that the whole of the work, (or work since previous running bill",,39:
The entries recorded in each completed measurement books may be subjected to a percentage check by the Divisional Accountant under the supervision of the Divisional Officer.,,40:
"The following are authorized forms of bills and vouchers :- (a) First and final Bill, Form CPWA 24 (b) Running Account Bill Form CPWA 26 (c) Hand Receipt, Form CPWA 28",,41:
"First and Final Bill, Form CPWA 24 should be used for making payments both to contractors for work and to suppliers, when a single payment is made for a job or contract, i.e., on its completion.",,42:
"Running Account Bill, Form CPWA 26 is used for all running payments to contractors and suppliers (other than those relating to lump sum contracts.",,43:
The final payment of running work shall also be made in Form CPWA 26 printed on yellow pages.,,44:
For lump sum contract Forms CPWA 27-A and 27-B are prescribed,,45:
