question,answer,srno
Provision relating Personal Claims Of Government Servants as mentioned in the R&P 1983 do not apply to,"Defence, Railways and Post & Telegraph",01:
Working day with respect to day on which payment is made means,"The day on which disbursing officer, AO/PAO and bank conducts ordinary business.",02:
"Where specific date for payment falls on holiday, the payment will be made on the",Preceding working day,03:
The monthly salary bills to be presented at the offices of the departmental PAO and CDDOs should reach the PAO/CDDA by,20th of the month to which the bill relates.,04:
The monthly bills or pay and allowances of all Govt. servants posted at localities remote from the station of the concerned DDO may be presented to the AO/CDDO not earlier than,15th of the month to which the bill relates.,05:
Bill is submitted not earlier than 15th of the month to which the bill relates so as to obtain the necessary outstation bank drafts to arrange for the despatch so as to reach the claimants within the,First 7 working days of the next month,06:
"In the case of the Indian Missions abroad, pay and allowances may be disbursed in accordance with the local laws and custom pertaining to",Locally recruited staff.,07:
Cases in which drawl and disbursements for part of a month permitted are,"(i) on transfer, deputation, leave or vacation outside India to outside India and outside India to India; (ii) transferred to another account circle; or within the same account circle with DDO changes; (iii) on quitting service; (iv) on transfer to foreign service or deputation to State Government; (v) on leave from a post in a country outside India;",08:
"On occasions of local importance and following local practice, Heads of Indian Embassies, High Commissions or other Missions abroad, may authorise part payment of salary and allowances of the locally recruited employees for the period",not beyond the date preceding the day of payment.,09:
A separate pay bill should be prepared for,(i) establishments whose charges are debitable to different heads of account ; (ii) personnel to whom salary is payable individually by cheques and; (iii) Group D employees,10:
Non-gazetted employees whose names shall be omitted from Pay-bill are,(i) Group D of central service (ii) All head constables/constables,11:
Specified classes of establishments where entry of names in the pay bills is not essential for pre-check or audit purposes or both shall be determined by,Government in consultation with the CAG,12:
The form of a ledger for recording the dues payable and deductions made in respect of each claim for pay and allowances of a Government servant is,Pay Bill Register (GAR 17),13:
Pay and allowance bills presented for payment in,Abstract of Pay-bill (GAR 18),14:
Office copy of a regular monthly pay and allowances bill need,Not be maintained.,15:
Record that is maintained to prepare the section-wise acquittances rolls in large establishments where pay is disbursed through Section Supervisors is,Pay-bill Check Register (GAR 19),16:
PWD Office submits demand statements for licence fee of public buildings recoverable from Government servants in,Duplicate,17:
Responsible for deduction on account of license fee is,Head of Office/DDO,18:
"After the recovery is made, one copy of the demand statement shall be",returned to the authority from which it was received,19:
"If the licence fee recoverable from a Govt. servant is limited to a certain percentage of his emoluments, the particulars of such emoluments shall be",noted in the remarks column of the demand statement before its return.,20:
"Where the licence fee of a Govt. servant is limited to a certain percentage of his emoluments and his emolument is changed retrospectively, recovery of changed licence fee will be made from",Retrospective effect.,21:
The recovery of licence fee from the Central Government servants in respect of buildings belonging to a State may be made in accordance with such procedure as may be prescribed by,The State Govt. & Central Govt. Department in consultation with AO,22:
The detailed rules or procedure for recovery of licence fee in respect of such buildings under administrative control of a Central Govt. Departments other than PWD are prescribed by,Department concerned in consultation with AO,23:
Licence fee recovered is required to be remitted by the respective Accounts Officer to the Directorate of Estates by cheque or draft duly supported by the detailed schedules in cases where general pool accommodation is allotted to Officers,"Whose pay and allowances are drawn from other than Central Govt's Civil Estimates (Defence, Railways, P&T, State Govt)",24:
A sum disallowed from a pay bill by the AO may be recovered from,Next pay-bill.,25:
A sum disallowed from a travelling allowance bill may be recovered from next pay bill of the Govt. servant if he/she does not present other travelling allowance bill within,A month.,26:
"When the pay of a Govt. servant is attached by any order of a Court of Law, responsible to see that the proper deduction is made in satisfaction of such order is",Officer receiving the attachment order,27:
The extent to which the emoluments of a Government servant are exempt from attachment for debt is laid down in,"Code of Civil Procedure, 1908 [u/s 60(1)]",28:
"In execution of any decree other than a decree for maintenance, salary exempt to be attached to the extent of",First â‚¹ 1000 and 2/3rd of remainder. Attachable- (salary-1000)/3,29:
"Where any part of the salary that has been under attachment, whether continuously or intermittently, for a total period of 24 months such portion shall be exempt from attachment until the expiry of further period of",12 months,30:
"Where attachment has been made in execution of one and the same decree, shall be finally exempt from attachment in execution of that decree after the attachment has continued for a total period of",24 months,31:
"In execution of any decree for maintenance, portion of salary exempted from attachment is",1/3rd Attachable- 2/3rd of salary,32:
Salary with respect to attachment of pay by order of a Court means,the total monthly emoluments excluding any allowance derived by a person from his employment whether on duty or on leave,33:
Is Dearness Pay exempt from attachment by order of a Court,Yes. It is exempt.,34:
"If an order of attachment against a Government servant is received before a previous order of attachment against the same Government servant has been fully complied with, the disbursing officer will",honour the order if the total amount of decree is within the prescribed limit. Else will return the orders to courts with a statement showing the detail of existing attachment order.,35:
"In the event of attachment of pay, deductions on account of subscriptions to PF, Income Tax, dues of co-operative societies and debts due to Government should",be made from non-attachable portion of the Government servant's salary,36:
"When the salary is payable in cash in the event of attachment, it should be paid on form_",GAR 24,37:
"In the case of an attachment order issued by a Court in India against a Government servant whose pay and allowances are to be disbursed outside the local limits to which the Code of Civil Procedure, 1908 extends, recovery will be",Made by DDO of the Ministry/Department/UT concerned.,38:
"In cases in which a judgment-debtor does not sign the acquittance roll and intentionally allows his pay to remain undisbursed in order to evade payment on account of an attachment order issued by a Court of law,",the head of the office may draw the pay of the judgment-debtor in satisfaction of the attachment order,39:
The cost of remittance to a Court of money realised under its attachment order shall be borne by,amount deducted from the amount realised and the net amount remitted to the Court,40:
The profession tax is levied by,The State Government.,41:
The competent authority may authorises the drawl of pay and allowances of a newly appointed Government servant without a medical certificate of fitness for a period,Not exceeding 2 months,42:
The cost of remitting salary him by bank draft at par or Postal Money Order to a Government servant is out-stationed on tour shall be borne by,Office contingency.,43:
"The pay and allowances due in respect of the old post which could not, be drawn at the time of a transfer should be paid on the basis of a Due & Drawn Statement raised by",Present DDO and sent to previous DDO for verification,44:
Is Pay and allowances or leave salary Government servant permissible to be paid away through agent,Permissible. Subject to special authority of the Govt. and formal acquaintance through messenger or agent.,45:
A register of power of attorney should be maintained by the disbursing officer in the form prescribed in the,Government Securities Manual,46:
Bond in GAR 47 may be executed by the bank include in the Schedule of RBI Act 1934,2nd Schedule.,47:
"State Cooperative banks, State-owned or control-led banks, which are not included in the Second Schedule to the RBI 1934 may be allowed to execute general bond by the",Government in consultation with the RBI,48:
"The net leave salary due to a Group D shall, on his express request of, be remitted to him by the DDO by postal money order at Government expense if he proceeds on leave for a period",Exceeding 1 month.,49:
"Where a Govt. servant proceeds on earned leave for a period exceeding 1 month, he may request to remittance, at Government cost, of leave salary by means of a",Demand Draft,50:
Is Overtime Allowance chargeable to Income Tax?,Yes. Fully taxable.,51:
"Arrears of pay, fixed allowances or leave salary shall be drawn","not in the ordinary monthly bill, but in a separate bill,",52:
"In cases where a period of leave is followed by transfer, any portion of leave salary which was not drawn at the old station, may be drawn at the",New office,53:
"Government servants serving in the Missions abroad may, for the period of leave spent in India, draw their leave salary in India on bills drawn by",the Department concerned on the basis of the LPC issued by the Mission concerned,54:
