question,answer,srno
A new autonomous body should not be created without the approval of the,Cabinet,01:
Thus Grants-in-aid including scholarships may be sanctioned by an authority competent to do so under the provisions mentioned there in,Delegation of Financial Powers Rules,02:
Regional Centres/Offices/Sub-Stations of any autonomous body can be created with prior approval of the,Administrative Min/Department,03:
A Corpus Fund out of budgetary allocation for an Autonomous Body may be created only with prior concurrence of,Ministry of Finance,04:
A Corpus Fund out of internal resources for an Autonomous Body may be created with the concurrence of,Administrative Min/Department,05:
User charges/ sources of internal revenue generation of an autonomous body should be review by,Governing Body,06:
User charges/ sources of internal revenue generation of an autonomous body should be review at-least once,a year (preferably before the formulation of Union Annual Budget),07:
Responsible for overall financial management of the autonomous bodies is,Chief Executive Officer,08:
Peer review of autonomous organisations whether external or internal shall be made every,3 or 5 years depending on the size of the autonomous body.,09:
Autonomous organisations are need to enter into a Memorandum of Understanding with the Admin. Min/Department where the budgetary support is,More than â‚¹ 5 crore,10:
Findings of the peer review should be put up by the concerned programme division of the Department for appropriate decision to,the Secretary,11:
In the cases of the schemes where Grants are given as part of the expenditure on reimbursement basis the same will be treated as,the Central Financial Assistance (CFA),12:
"Before releasing any grant to an autonomous organisation, it should be ensured that Cash balance at a time should preferably not be more than",3 months of requirements,13:
"On finalisation of account of a grantee, all interests or other earnings against Grants in aid or advances other than reimbursement) released should be",Remitted to Consolidated Fund of India,14:
Non-Govt. or Quasi-Govt. Institutions or Organisations cannot dispose of assets acquired wholly or substantially out of Government Grants without the approval of,Grant sanctioning authority,15:
Entities desiring Grants from Govt. shall submit their requirement with supporting details by end of the month of,September in the year preceding the year for which the Grants-in-aid is sough,16:
The Admin. Min/Department should inform the result the requests of entities for grant by,April of the succeeding year,17:
"terms and conditions of service of their employee should be formulated by all Grantee entities, which receive",50% of their recurring expenditure in the form of Grants-in-aid,18:
"Relaxation with regard to formulation of terms and conditions of service of their employee, where required, may be made in consultation with",the Ministry of Finance.,19:
"In all cases of buildings constructed with Grants- in-aid, responsibility of maintenance of such buildings shall rest with",The grantee entities.,20:
Grants-in-aid may be sanctioned to meet the bonafide expenditure incurred not earlier than,2 years prior to the date of issue of the sanction,21:
"As a precondition to the sanction of Grants-in-aid to theagencies it should be ensured that a suitable clause is invariably included in the terms and conditions of grant, to provide for reservation for SC/ST/OBC in posts and services under such organizations or agencies.",,22:
"Terms and conditions of grant, to provide for reservation for SC/ST/OBC in posts and services where the at least 50% of its recurring expenditure of grantees is met from Grants-in-aid from Central Govt. and employs",More than 20 persons on a regular basis and,23:
"Terms and conditions of grant, to provide for reservation for SC/ST/OBC in posts and services where the grantee body is a registered society or a co-operative institution and is in receipt of a general purpose annual Grants-in-aid of",â‚¹ 25 lakh and above,24:
"In respect of a voluntary organisation, the Grants-in-aid should not exceed",25%. of approved administrative expenditure on pay and allowances of the personnel of the voluntary organisation concerned;,25:
"In case a voluntary organisation fails to comply the terms and conditions of Bond executed, the whole or a part amount of the Grant will liable to be refunded along with penal interest at the rate of",0.1,26:
Exempted from execution of bond for grant-in-aid are,"Quasi Govt. institution, Central Autonomous Organisations and Institutions whose budget is approved by the Government",27:
The cost of stamp duty for the Bond executed between the Government and Voluntary organisation will be borne by,The Government,28:
The Centrally Sponsored scheme should be designed in consultation with,States and Union Territories.,29:
The release of funds under Centrally Sponsored scheme to State Governments and monitoring further utilisation should be undertaken through,PFMS,30:
A post-completion review of every Centrally Sponsored Scheme should be undertaken by,State Govt. and UT implementing the scheme,31:
The sanctioning authority shall maintain a Register of Grants in form,GFR-21,32:
"Institutions or Organisations receiving Grants should, irrespective of the amount involved, furnish a set of audited statement of accounts to",Accounts Officer after having utilised the grants,33:
Internal audit of the accounts of a grantee institution shall be conducted by the,"Principal Accounts Office of the Ministry or Department,",34:
The accounts of the Grantee Institution or Organisation shall be audited by the CAG under Section,14 of the DPC Act,35:
Audit by the CAG under Section 14 is conditional,Minimum grant is â‚¹ 25 lakh in the year and forms 75% of entityâ€™s total expenditure,36:
"Irrespective of the percentage of entity met by the grants, the CAG is authorised to conduct audit u/s 14 of the DPC when",Grants or loans in a FY are not less than â‚¹ 1 crore,37:
"Where the accounts are required to be audited by the CAG in a financial year, he shall continue to audit the accounts for a further period of",2 years even if conditions are not fulfilled.,38:
CAG is empowered to scrutinise the procedure adopted by sanctioning authority with regards to sanction grants/loans under Section,15(1) of the DPC Act,39:
"Where the CAG is the sole auditor for a local Body or Institution, auditing charges will be borne by",The auditee institution,40:
Approved and authenticated annual accounts to be made available by the Autonomous Body to the concerned Audit Office by the,30th June,41:
Issue of the final SAR in English version with audit certificate to Autonomous Body/ Government concerned by,31st October,42:
Submission of the Annual Report and Audited Accounts to the Nodal for it to be laid on the Table of the Parliament by,31st December,43:
Rule of GFR 2017 that deals with Utilisation Certificate is,Rule 238,44:
The Utilization Certificate should be submitted by grantee/loanee concerned. within,12 months of the closure of the FY,45:
Release of Grants-in-aid shall be done only after utilisation certificate and the annual audited accounts when,in excess of 75% of the total amount sanctioned for the subsequent FY,46:
Utilization certificates need not be furnished in cases where the Grantsâ€“inâ€“aid /CFA are being made as,reimbursement of expenditure already incurred on the basis of duly audited accounts.,47:
All the Ministries or Departments of Government of India should include in their Annual Report a statement showing the quantum of funds provide to Private and Voluntary Organizations,Grants of â‚¹ 10 lakh and up-to â‚¹ 50 lakh,48:
The Annual Reports and accounts of Private and Voluntary Organizations receiving Grants-in-aid of â‚¹ 50 lakh and above should be laid on the Table of the House within,9 months of the close of the succeeding FY.,49:
"When Central Grants are given to State Governments for implementation of Central Scheme, UC should be counter-signed by",Administrative Secretary of the Division regulating the Scheme/Finance Secretary.,50:
