question,answer,srno
"All incidental and other expenses (including on stores) which are incurred for the management of an office as an office or for the working of technical establishment such as laboratory, workshop, industrial installation, store depot and the like are called",Contingent charges,01:
All incidental and other expenses pertaining to works and tools and plant will be classified as,Works and Tools and plant as the case may be,02:
Contingent charges have been classified into,5 classes.,03:
Those contingencies for which a lump sum is placed annually at the disposal of a disbursing officer for expenditure without further sanction of any kind are,Contract contingencies,04:
Contingent charges on account of rewards for destruction of wild animals shall be classified as,Scale-regulated contingencies,05:
"Such contingent charges, whether recurring or nonrecurring, as cannot be incurred without the previous sanction of superior authority is called",Special Contingencies,06:
Such contingent charges as may require approval of some controlling authority before they can be admitted as legitimate expenditure against the Government are known as,Counter-signed contingencies,07:
"The contingent charges, which require neither special sanction nor countersignature, but may be incurred by the Head of Office on his own authority subject to the necessity of accounting for them and pass on fully vouched bills are",Fully vouched contingencies.,08:
The maximum amount that can be disbursed out of Permanent Imprest Advance towards payment of contingent charges is,â‚¹ 2000/-,09:
Items of expenditure on which more than â‚¹ 2000/- out of permanent imprest may be spent are,"items relating to Telephone, Electricity and Water bills where NCDDO is located away from CDDO/PAO",10:
"The pay of Group D servants, by whatever designation they may be called, who have been or may be, declared by competent authority to be ineligible for pensions may be treated as",Contingent charges,11:
"The wages of temporary field establishments of Surveys and Settlements and of extra potdars entertained for accompanying remittances, may be treated as",Contingent charges,12:
"Unless in any case it is distinctly provided otherwise by any rule/order, no sub-vouchers may be destroyed until after a lapse of",3 years,13:
Sub-Vouchers which are not required to be submitted to Controlling Officer or AO shall be cancelled by,Drawing officer at the submission of bill.,14:
Where sub-voucher is submitted to Controlling Officer and not required to be submitted to AO by controlling officer cancellation will be done by,The controlling officer at the time of counter-signing the bill,15:
A sub-vouchers each shall be submitted to the AO in respect of contingent charges when the amount of sub-voucher is,More than â‚¹ 500/-,16:
Exemption from submitting a sub-voucher amounting more than â‚¹ 500/- may be granted by the,CGA in consultation with the CAG,17:
"In respect of petty contingent expenditure up-to â‚¹ 500 for which original sub-vouchers are not required to be attached to bills, the items should, however, be listed out in",Form GAR 28 to be attached to bill,18:
"In respect of contract contingencies, the bill shall be presented in a form",GAR 29,19:
"Where payments of telephone, electricity and water charges are generally more than the monetary limit prescribed and cannot, therefore, be paid out of the permanent advance, funds required for making only these contingent payments may be drawn on",Fully-vouched contingent bill (GAR 29),20:
"The numbers assigned to sub-vouchers pertaining to each entry in the abstract bill shall be detailed against the entry concerned, the amount being given only in those cases where a sub-voucher is for",More than â‚¹ 50/-,21:
"When expenditure for which a lump sum is granted under a single special sanction, is continued over more than 1 month, the second and subsequent months' bills shall","Bear a note of how much has been spent up to that date, against the sanction.",22:
The limit of Rs. 50 above which sub-vouchers are required to be submitted to the Controlling Officer is subject to alteration by the,CGA on the advice of the CAG,23:
In respect of detailed bill the countersigning officer shall despatch it to the Accounts Officer direct with the sub-vouchers for items for more than,â‚¹ 200 each.,24:
A register of contingent expenditure may be kept in the office of the controlling officer in such form and according to such method as may be prescribed,Department concerned in consultation with the AO,25:
The detailed bills duly signed by the controlling officer shall be sent to the Accounts Officer direct within,a month from the date of receipt of such bills in his office.,26:
Bill for contingent charges requiring counter signature before payment shall be drawn in,GAR 32,27:
Payment for purchase of service postage stamps shall be made by means of,Crossed Government Account Cheque.,28:
