question,answer,srno
"All transactions which are taken to merely adjusting heads of accounts, the debits or credits under which are eventually cleared by a corresponding credit or debit either within the same or in another circle of accounting.",Remittance,01:
"(i) To see how far the final results of any detailed accounts kept of the transactions work up to and agree with the balances in the Ledger. (ii) to ascertain, where necessary, whether the person or persons by whom the balance is owed or to whom it is due admit its correctness, and in case of balances due to Government, how far they are really recoverable.",Steps in reviewing & verifying the balances under DDR Heads,02:
"In respect of remittance transactions, debits and credits are cleared by (cash/book transfer) corresponding credits or debits within the",same or in another accounts circle,03:
For the check of Cash remittances between Treasuries as well as such remittances between Treasuries and Currency Chests a Register will be maintained in,Form 26,04:
Schedules and vouchers relating to the heads 'Cash Remittances between Treasuries' and those of remittances into/withdrawals from Currency chests are checked with the entries under major and minor head,'8782-Cash Remittances etc.,05:
Care being taken to ensure that entries for credits are being posted against the corresponding original debits or vice versa as the case may be.,,06:
"In certain cases, the opposite transfers for original entries for 'Remittances into' or 'withdrawals from' Currency Chests as appearing in Treasury Schedules are made by the CAS, RBI at the instance of the Currency Officers having jurisdiction over the States, but stationed outside the State",Extra State Currency transfers,07:
"cases of Extra State Currency transfers should be made against the original items posted from Treasury Schedules, with reference to the monthly statement of opposite transfers sent by the Currency Officers, duly checked and corroborated with the corresponding clearance Memos sent by the CAS, RBI",,08:
"As soon as the posting of Detail Book, Part I is commenced, the Accountant concerned should total the debits and credits of the Remittance Check Register and these totals should be agreed with the corresponding total in the 'Detail Book Part I' WHERE the postings are made with reference to",the total figures as shown in the List of Payments and Cash Accounts.,09:
Any difference between the two sets of totals in 'Remittance Check Register' and Detail Book Part I should be promptly located and rectified as far as possible by transfer entry in the same month as this may generally be due to misclassification or miscarriage of schedule totals into the List of Payments/Cash Account.,,10:
The unadjusted debits and credits as worked out in Columns 6 and 7 of the Remittance Check Register should then be carried forward with full details in the Remittance Check Register for the next month.,,11:
A list of such unadjusted debits and credits should be made out every month and entered in the details of cash balance report which is forwarded to the.,"Currency Officer, RBI for verification",12:
"Matter brought to light by the Currency Officer, should be promptly taken up with the Treasury Officers concerned and the Currency Officer",Remittance-in-transit,13:
Entries in the Remittance Check Register are abstracted under two head (i) Cash Remittances between Treasuries and Currency Chests and (ii) Local Remittances in Transit,,14:
Local Remittances in Transit forms part of Major Head,8999-Cash Balance,15:
Totals in Remittance Check Register are abstracted and incorporated in the 'Detail Book Part II' also besides the Statement of Disbursers' Account,,16:
"On line with the PWD, broadsheets are maintained for departments (Commercial Undertakings, Excise Department) rendering compiled accounts to the AG",Form 20,17:
The actual credits appearing though the Treasury schedule of receipts under the concerned remittance heads of account may be posted against the original items of debits posted from the monthly compiled accounts received from these Departmental Officers.,,18:
"(i) the total of the issues and payment as reported by treasuries in the daily schedules is credited and debited respectively to the Reserve Bank (ii) a voucher for each entry in the schedules of payments and the amounts agree (iii) the net receipts or payments for the month under the head ""RBI Remittances"" for the whole account circle as worked out in the Detail and agree with the corresponding adjustment for the month made by the Reserve Bank against the balance of the Government.",Scrutiny of Reserve Bank Remittance,19:
The responsibility for the checking of encashments of individual telegraphic transfers and drafts against the corresponding drawings will rest with the,RBI,20:
"The Union can raise money by borrowing upon the security of the Consolidated Fund of India within such limits, if any, as may from time to time be fixed by Act of Parliament.",Article 292,21:
the Union are empowered to give guarantees in respect of loans raised by others within such limits as may be fixed from time to time by Act of Parliament,,22:
"The State Govt. can raise money by borrowing upon the security of the Consolidated Fund of India within such limits, if any, as may from time to time be fixed by Act of Legislature.",Article 293,23:
The State Govt. are empowered to give guarantees in respect of loans raised by others within such limits as may be fixed from time to time by Act of Legislature,,24:
"State Govt. can raise loan under Article 293 subject to the condition that a State may not, without the consent of the Government of India, raise any loan if there is still outstanding any part of a loan/guarantee made to the State by the Government of India or by its predecessor Government.",,25:
A State Government may also obtain loans from the Government of India Subject to such conditions as may be laid down by or under any law made by Parliament.,,26:
to see that borrowings of a State Government are so regulated as not to exceed the limits fixed by the Legislature and that the conditions attached are observed,Accountant General,27:
proceeds from borrowings have been properly brought to account and have been expended only on the objects for which the loans were raised,Key points of borrowing,28:
adequate arrangements have been made for amortisation of the debt,,29:
Amortisation arrangements in respect of loans availed of for unproductive purposes may be related to some extent to their maturity period and also to the likelihood of an increase in unproductive debt.,,30:
Objective of the borrowing rather than to the actual currency of the loan should be considered for amortisation arrangement,,31:
"The period should be comparatively short in cases where (i) the loan is intended for an unproductive purpose, expenditure on which should more appropriately be met from revenues (ii) the life of the assets created by utilising the loan is comparatively short and (iii) the extent of borrowings for such unproductive purposes is likely to increase rapidly.",,32:
"Where a material asset is created, the amortisation period should never exceed its life.",,33:
Accountant General should keep a watch over investment of funds (sinking Fund etc.) forming part of the,Public Account of the State,34:
The AG (AE) to keep a close watch over the guarantees given by the State to see that limits prescribed by the Legislature are not exceeded.,,35:
If total amount of such guarantees as also the amount of guarantees invoked during the year should be mentioned in the report on the accounts of the State.,,36:
It should also be ascertained that any general or special orders issued by the Government for levying a commission for giving a guarantee are duly observed.,,37:
AG should satisfy himself that credits to Sinking Funds are in accordance with the undertakings given by Government and set forth in the prospectus of the loans and that payments are eventually utilised for the purpose for which the Funds themselves were created.,,38:
Reserve Funds are created/located in,Public A/c (Sector J),39:
All such transactions as are ultimately removed either by payment or recovery in cash or by book adjustments.,Suspense Transactions,40:
Provisional adjustment of transactions ultimately adjusted under ordinary revenue and service head should be avoided as far as possible unless,Order/consent of CAG,41:
"(i) The unadjusted balances under these heads continue to respect bonafide assets or liabilities of Government capable of being realised or settled, as the case may be (ii) Satisfactory action towards such realisation or settlement is being taken by officers responsible therefor.",Scrutiny of Suspense Account (Periodical review is done),42:
