question,answer,srno
All moneys received by or on behalf of the Government shall be deposited to Government Accounts WITHOUT DELAY under the provision of,Article 150 and 283 (1),01:
All money received other than revenues or public moneys raised or received by Government shall be deposited to Public Accounts under Article,284,02:
"All moneys received by or deposited with the Supreme Court of India or with any other Court, other than a High Court, within a Union Territory, shall be paid into",Public Accounts,03:
each Accounts Officer will send an extract from his accounts showing the amounts brought to credit in the accounts in each month to the,Controlling Officer concerned.,04:
"The detailed rules and procedure, regarding the demand and recovery of rent of Government buildings and lands, are contained in the",Departmental regulation,05:
"Where amounts due to Government appear to be irrecoverable, their adjustment shall be made by",By obtaining the orders of the competent authority.,06:
the Finance Ministry shall be fully informed of the progress of collection of revenue by HoD under his control and of all important variations in such collections as compared with the,Budget Estimates,07:
"When the maintenance of any rentable building is entrusted to a civil department, other than the CPWD, responsible for the due recovery of the rent thereof shall be",HoD/Administrator concerned,08:
The procedure for the assessment and recovery of rent of any building hired out will be regulated by the,rules applicable to buildings under the direct charge of the CPWD,09:
"Responsible to watch the realization of miscellaneous demands of Government, not falling under the ordinary revenue administration,",Accounts Officer,10:
Statement of Remission to be submitted to Audit & Accounts Officer showing remission granted under discretionary power,Annually (1st June),11:
Department exempted from submission of annual statement of remission is,Department of Post,12:
individual remissions need not be included in the Annual statements of Remission amounting,Below â‚¹ 1000,13:
Rule of GFR which provide Standards of Financial Propriety is,Rule 21,14:
Rules defining remissions and abandonments of revenue may be made by,Departments of the Central Government and Administrators,15:
"The financial powers of the Government, which have not been delegated to a subordinate authority, shall vest in the",Ministry of Finance,16:
All draft memoranda for Expenditure Finance Committee or Public Investment Bureau or Committee on Establishment Expenditure and Cabinet Committee for Economic Affairs or Cabinet shall be circulated by the Ministry or Department concerned after consultation with the,Financial Advisor,17:
The rule of GFR 2017 dealing with Responsibility of Controlling Officer in respect of Budget allocation,Rule 26,18:
The duties and responsibilities of a controlling officer in respect of funds placed at his disposal are to ensure four points,Expenditure does not exceed the budget allocation; Expenditure is incurred for the purpose for which funds have been provided.; Expenditure is incurred in public interest.; Adequate control mechanism is functioning to guard waste and loss;,19:
"An order involving any grant of land, or assignment of revenue, or concession, grant, lease or licence of mineral or forest rights, or rights to water, power or any easement or privilege of such concessions, or involves relinquishment of revenue in any way shall not be made without previous sanction of",Ministry of Finance,20:
All financial sanctions and orders issued by a competent authority shall be communicated to the,Audit Officer,21:
Copies of all General Financial Orders issued by a Department of the Central Government with the concurrence of the CAG shall be supplied to,,22:
"Sanctions accorded by competent authority to grants of land and alienation of land revenue, other than those in which assignments of land revenue are treated as,",cash payment,23:
"Sanctions accorded by competent authority to grants of land and alienation of land revenue, other than those in which assignments of land revenue are communicated to",Audit Officer in monthly consolidated statement.,24:
A sanction for any fresh charge shall if no payment in whole or in part has been made during a period of,12 months from the date of sanction.,25:
"Where a sanction specifies that the expenditure would be met from the Budget provision of a specified financial year, it shall lapse",at the close of that financial year;,26:
"A sanction shall not lapse, if tenders have been accepted or the indent has been placed on the Central Purchase Organization within the period of","one year of the date of issue of that sanction,",27:
Provision for remission of disallowances by Audit and writing off of overpayments made to Government servants has been made in,DFPR,28:
"Any loss or shortage of public moneys, stores or other public property shall be immediately reported by the subordinate authority concerned to the",(i) next higher authority (ii) Audit Officer and (iii) Pr. Accounts Officer whether loss has been made good,29:
Petty losses need not be reported to concerned authorities involving loss of,Up-to â‚¹ 10000,30:
Cases involving serious irregularities shall be brought to the notice of,Financial Advisor or Chief Accounting Authority of the ministry/department AND the CGA,31:
The loss which a ministry/department cannot finally dispose of under the delegated powers shall be submitted to,Ministry of Finance,32:
"An amount lost through misappropriations, defalcation, embezzlement, etc., may be redrawn on",simple receipt pending investigation.,33:
The loss to Government on account of culpability of Government servants shall be borne by,Central Government Department or State Government concerned,34:
All cases involving loss of Government money arising from erroneous or irregular issue of cheques or irregular accounting of receipts will be reported to the,The CGA,35:
"All losses due to suspected fire, theft, fraud, etc., shall be invariably reported to the Police for investigation as early as possible where the amount of loss is",above the value of â‚¹ 50000,36:
"All loss of immovable property caused by fire, flood, cyclone, earthquake or any other natural cause, shall be reported at once by the subordinate authority concerned to Government through the usual channel where the amount of loss is",Exceeding â‚¹ 50000,37:
If the contents of any file are categorized as â€˜Secretâ€™ or â€˜Top Secretâ€™ the file may,be sent personally to the Head of the Audit Office,38:
Rule (s) of GFR 2017 that deal with submission of records and information to Audit,Rule 39 to 41,39:
