question,answer,srno
"System of departmentalisation of accounts of all transactions (except payments relating to pensionary benefits) of Central Civil, Ministries and Departments was introduced during the year",1976-77 (01.04.1976),01:
"Receipt and Payments rules have been cleared by the CAG, by the Reserve Bank of India in so far as rules having an impact on banks and banking procedures are concerned, and vetted by the",Ministry of Law,02:
Receipt and Payments rules have come into force w.e.f,30468,03:
Receipt and Payment Rules have been made by the President in exercise of the powers conferred by Article,283(1),04:
"Receipt and Payment Rules shall apply to all transactions, other than payment of pensionary benefits, pertaining to the Central Government and UTs of",Delhi and Andaman and Nicobar Islands,05:
A central treasury is the treasury,being a treasury or sub-treasury under control of a State Govt.,06:
Treasuries in Union territories are,Central treasuries.,07:
"Responsible for establishing and maintaining a technically sound payment-cum-accounting system in the departmentalised accounts offices and for prescribing the rules for regulating the custody, payment into and withdrawal of money from the Government Account is",CGA,08:
All moneys received by or tendered to Government officers on account of revenues or receipts or dues of the Government shall be paid into treasury/bank,without undue delay,09:
Departmental officer means,an officer of the Government authorised to handle Government money,10:
"Government in terms of Receipt & Payment Rule, 1983 means",Central Government and UTs of Delhi and Andaman and Nicobar Islands,11:
"The balances in small coin depots, rupee coins, balances in mint and cash balances held in Post Offices or other departmental offices are",not reckoned as part of the General Cash balance of the Government,12:
"Offices other than treasury i.e. Military Offices, Post & Telegraph Department, authorised to hold departmental Treasure Chests shall observe the relevant provisions of",Treasury Rule,13:
Moneys received on account of revenues or receipts or dues of the Government shall,not be utilised to meet departmental expenditure except  by departments authorised to do so.,14:
Departments authorised to utilise the department receipt to meet department expenditure are,(i) Post & Telegraph (ii) Income Tax (iii) Civil Court (iv) PWD (v) Forest (vI) Jail (vii) Railways (viii) National Library/Library (ix) Botanical & Survey of India (x) All India Radio and (xi) Regional Poultry firm (xii) Film Division,15:
National Library is located in,Kolkata,16:
Utilisation of departmental receipt on account of diet-money of witnesses pertains to,Income Tax department,17:
Diet-money is deposited by the,Assessee,18:
Moneys received or tendered on account of the revenues of the Government may be deposited with a bank other than the Reserve Bank or its agent for the purpose of Government transactions subject to approval by,Govt. in consultation with the CAG,19:
A Government officer may deposit moneys withdrawn from the Government Account in a bank account other than that with the accredited bank under the special sanction of,The Government,20:
"In case of civil Ministries or Departments other than the CPWD, Government Account or assignment accounts shall be opened under orders issued by the",Financial Advisor in consultation with the CGA,21:
In case of Central PWD assignment account is open under approval of,The Controller General Account (CCA). This procedure is deemed to be approved by the CGA,22:
A cheque drawing D.D.O. functioning under the scheme of departmentalisation of accounts may withdraw money for such purposes as may be prescribed by general order of,CGA,23:
Cheque drawing D.D.Os. functioning under Central Public Works Department and Forest Department shall abide by the provision contained in,Central Public Work Accounts Code,24:
Sufficient information as to the nature (classification) of every payment is made shall be recorded on the bill by the,DDO,25:
"If a cheque drawing D.D.O. receives information from the Accounts Officer that moneys have been incorrectly withdrawn and that a certain sum should be recovered in respect of any bill passed by him, the DDO Shall",effect the recovery without delay and without regard to any correspondence undertaken,26:
A Government officer supplied with funds for expenditure shall be responsible for such funds until,an account of them has been rendered to the satisfaction of the AO concerned,27:
"If a Government officer supplied with funds for expenditure and if any doubt arises as to the identity of the Government officer by whom an account of such funds shall be rendered, it shall be decided by the",The Government,28:
An account payee cheque/DD issued by the AO/CDDO for delivery to the recipient through departmental officer need,Not be entered in the cash instead recorded and watched through crossed cheques and bank drafts transit register,29:
Cheque drawn by a CDDO for replenishment of cash chest or for making payment in cash shall be,Recorded in cash book,30:
"Receipts in the form of local cheques, or demand drafts (to be crossed) in favour of PAO (or endorsed in their favour) accepted by non-cheque drawing D.D.Os should",Be entered in register of valuable and not in Cash Book (GAR 3),31:
The cash book should be closed,Regularly.,32:
The Ministry/Department which keeps its cash book open even after the month of March in order to minimise the traffic suspense- cash-in-transit is,Railways,33:
In order to minimise the traffic suspense-cash-in-transit Railways other N.F Railways keep their cash book of the March open up-to,10th April N.F Railways-18th April,34:
"At the close of each month, the cash balance in the cash book Head of the Office should be verified and recorded a signed and dated certificate to that effect by",Head of the Office,35:
Any discrepancy noticed while verifying the cash balance should be dealt with in accordance with the provision contained in,GFR,36:
"In case the verification of cash balance is not possible on the last working day of a month, it may be",done on the first working day of the next month before making any transactions on that day.,37:
Entries made in the cash book regarding remittance of receipts to the accredited bank for credit into Government Account should be attested by the,HOO after verifying them with reference to the bank's receipt recorded on the pay-in-slips/ challans.,38:
A mistake in cash book should be corrected by drawing the pen through the incorrect entry and inserting the correct one in red ink between the lines and should be initialled by,Head of Office,39:
"A Government officer who handles Government money should not be allowed to handle also in his official capacity money which does not belong to the Government, except with the special sanction of",Head of Office,40:
"Before bringing a cash book into use, pages of its should be counted the and a certificate of such count be recorded on the first page of the cash book by",The Head of Office or office nominated by him,41:
"Where a large number of bank drafts, cheques are received by any departmental office,",Cheques should be recorded in Register of Valuable and its daily total be entered in the cash book.,42:
The cash chest/almirah should be secured by,two locks of different patterns held by two different persons,43:
Duplicate keys thereof should be placed in separate sealed covers and lodged with,different officers of higher rank than the custodians of the chest/Bank,44:
Rotation of duplicate key shall be made once,A year in April.,45:
Adjustment of transactions of the Government with a State Government shall be made in accordance with such directions as may be given by,The CGA on the advice of the CAG,46:
"The bank will be kept open for the conduct of Government transactions on a recognised holiday, or beyond normal business hours on any day under the direction/orders of the",CGA,47:
In the case of emoluments fixed by law amounts which are in fraction of a rupee shall be rounded off to the,next higher rupee.,48:
Payment on account of Pension/Relief on Pension/DCRG/Commuted value of Pension shall be rounded off to the,next rupee.,49:
In the case of Travelling Allowance bills the rounding shall be done at,"only at the last stage and not in respect of each item,",50:
First of any series of payments of pay and allowances to a Government servant other than a person newly appointed to Government service shall be prepared only,When Last Pay Certificate issued by previous DDO is available,51:
