question,answer,srno
GFR 2017 came into force w.e.f.,"""11-02-2017""",02:
Appropriation means,"The ASSIGNMENT to meet specified expenditure, of funds included in a primary unit of appropriation;",03:
"Department of the Government of India” means any of the Ministries, Departments, Secretariats and Offices as notified from time to time and listed in the",First Schedule to the Government of India (Allocation of Business Rules),04:
Government Account means the account relating to the,"the Consolidated Fund, the Contingency Fund and the Public Account",05:
“Head of Office” means a Gazetted Officer declared as such in,the Delegation of Financial Powers Rules; any other authority declared as such under any general or special orders of the competent,06:
Local Fund” means a local fund as defined in,Treasury Rule (Rule 652),07:
Primary Unit of appropriation as referred to in,DFPR 1978 (Rule 8),08:
Transfer of funds from one primary unit of appropriation to another such unit is called,Re-appropriation of Fund,09:
Subordinate authority” means a,Department of the Central Government or any authority subordinate to the President;,10:
"Where a doubt arises as to the interpretation of any of the provisions of GFR, the matter shall be referred to",Ministry of Finance,11:
"The model under which the buyer to straightway purchase goods followed by procurement of consumables, arranging comprehensive maintenance contact after warranty period and finally disposing the product after useful life is",Capex Model (Capital Expenditure),12:
"The model under which the Seller provides the goods, maintains it and also provides the consumables as required and finally takes back the goods after useful/contracted life, and the Buyer made payment in a staggered manner is",Opex Model (Operating Expenditure),13:
"When the subject of a case concerns more than one Department, no order shall be issued until all such Departments have concurred, or, failing such concurrence, a decision has been taken by or under the authority of",The Cabinet,14:
