question,answer,srno
The Personal responsibility of the AG for the Appropriation and Finance Accounts extends also to the work connected with verification of balances which should be completed in time for inclusion in the Finance Accounts.,,01:
"Statements relating to the State indicating against the head concerned the outstanding balances under the various Suspense and Remittance heads,",Report on Suspense & Remittance by AG to CAG by 15th December every year,02:
The amount of un-reconciled differences between Broad-sheet and ledger balances and the number of the cases where acceptances of balances are awaited.,,03:
The statement should indicate the position as on 31st March of the previous financial year as it stood at the closing of the accounts for the month of,August of the ensuing year.,04:
A follow report of any subsequent clearance/ reconciliation should be made to the Comptroller and Auditor General by the,15th July of second following year.,05:
The main report due on 15th December as well as the follow up report due on 15th July should show the outstanding balances of the last,3 years separately and consolidated figure for previous year,06:
"As a rule, outstanding balances/discrepancies relating to the ""Review of Balances"" of one year should be settled before the",review of the next year is submitted.,07:
"If any discrepancies still remain unsettled they should be distinctly shown, and any delay in the adjustment of old items should be explained in full details in the",Half-yearly reports.,08:
The balances should be compared and reconciled with those in the accounts sent in by the Trustees or Manager.,Deposits PF Service Funds,09:
There are sometimes large differences owing to Trustees crediting in their accounts of the year interest which is not really payable to them till April 1st.,,10:
The balances of Provident Funds according to the Ledger should be verified with Broadsheets and communicated to,the subscribers,11:
(i) details of deposits agree with ledger balance where detailed account is maintained by the AG (ii) Ledger balance with broadsheet,unclaimed PF Deposits,12:
Balances on account of interest payable should also be agreed with the total of unpaid payment orders.,"deposits of Trust Interest Fund,",13:
"By addition of the separate balances shown in the returns for March and it must be seen that they are in, each case, supported by a certificate from the Administrator of the personal ledger account stating that the balance claimed by him is of a named amount.",Verification of PDA balance,14:
He will also furnish details of his outstanding cheques in order to explain the differences between his balance and that admitted by the Treasury Officer in his plus and minus memorandum.,,15:
no personal ledger account was opened except with the sanction of competent authority,Scrutiny of PDA,16:
there was no debit balance in any of them,,17:
that the correctness of the balances has been certified by the parties concerned,,18:
the details of the personal ledger accounts work up to and agree with the balances in the ledger.,,19:
"The Balances worked out in the Broadsheets prescribed for Deposits of Local Funds each year should be communicated to (and if necessary, accepted by) the",Administrator of fund,20:
Balances brought forward in the Objection Books relating to Suspense and those shown in the Broadsheets of balances relating thereto should be tested.,Suspense Account,21:
The ledger balance should be certified to agree with the totals of the balances shown in those Broadsheets.,,22:
The amount remaining unadjusted under each district (and other) account in the register (Form 10) must be verified by means of annual acknowledgements from the officers concerned.,Permanent Advance,23:
The aggregate of the outstanding should be worked out from the register and tallied with the ledger balance,,24:
Balance at Periodical squaring off (as per repayment interval) is communicated to the debtor and acknowledgments for outstanding balances is obtained,Loan and Advances,25:
By obtaining an acknowledgement from the concerned departmental officers that the amount outstanding in the books of the AG is the same as that shown as recoverable in the registers and accounts kept by him.,In case of loan to cultivator & other loans where detailed a/c is not kept by AG,26:
"Where detailed accounts are kept by the AG (AE), the correctness of the balances in the recovery schedules for March should be checked and confirmation regarding correctness communicated to the loanee by the AG (AE).",In case of interest bearing loan to Govt. Servant,27:
"The balances under the cash remittance heads are composed of credits unadjusted by debits, and debits unadjusted by credits.",Cash Remittance,28:
The details of these unadjusted items should be extracted from the Remittance Register (Form 26) and the extract should show the month to which each item belongs.,,29:
The net balance of each class of remittances should agree with the balance of the corresponding Ledger head.,,30:
Receipts and payments on account of RBI Remittances are required to be cleared with the Bank daily and in the accounts of the month in which the transactions originate.,RBI Remittance,31:
"There should be ordinarily no balance under the head ""Reserve Bank of India Remittances"" at the close of the year.",If any balance should be explained in FA,32:
The duty of watching the balances of the State in the Bank and Treasuries and Sub- treasuries devolves on the Finance Department of the State Government or on the Accountant General if the State Government so desires.,Cash Balances,33:
"The cash balance of each State in the Books of the AG will be reconciled each month with the Cash Accounts rendered by TO and with the statements of closing balances received from the CAS, RBI.",,34:
(i) Reserve Bank Deposits-Treasury. (ii) Reserve Bank Deposits-Headquarters. (iii) Reserve Bank Deposits-Central Accounts Office-Reserve Bank.,Sub-heads of RBI deposit (8675),35:
"At some State Headquarters where there is an AG as well as a Treasury Officer, and the daily sheets of the Bank are rendered to the Treasury Officer, the net remittances to and from the Bank including those on account of transactions of the local AG will be accounted for",Reserve Bank Deposits-Treasury.,36:
net transactions of the State during the month at each Branch of the State Bank of India operating at District and Sub-Divisional Headquarters of the State,"Monthly Statement of balance by CAS, RBI shows separately",37:
net transactions of the State at the Branch of the State Bank or at the offices of the Reserve Bank operating at the State Headquarters,,38:
Particulars of adjustments booked against the balances of the State in the Central Accounts Section of the Reserve Bank in the accounts of the month.,,39:
net transactions of the State during the month at each Branch of the State Bank of India operating at District and Sub-Divisional Headquarters of the State will be reconciled with the figures accounted for in the,"State Section of his books under the head ""RBI Deposit- Treasury",40:
"Cash Accounts contains a certificate of the TO that the net amount debited or credited under the Head ""RBI Deposit-State in his accounts agrees with those shown in the daily statement (receipt/payment) received from bank branches",,41:
net transactions of the State at the Branch of the State Bank or at the offices of the Reserve Bank operating at the State Headquarters will be verified with the figures accounted for in the,"State Section of his books under the head ""RBI Deposit-State/ Treasury",42:
Particulars of adjustments booked against the balances of the State in the Central Accounts Section of the Reserve Bank in the accounts of the month will be reconciled with the net figure accounted for by the AG under the head.,"RBI Deposit-CAS, RBI",43:
The figure will also agree with the monthly total of adjustments entered in the Register of Adjustments with the Reserve Bank,AC 3 (Account Code for AG),44:
