question,answer,srno
The Accounts from the treasuries are received and distributed by a Section called,Central Try Section.,01:
Compilation of accounts and preparation of classified and consolidated abstracts are dealt with in D.A.E. Sections which are constituted on departmental basis so that transactions relating to a particular department may as far as possible be dealt with in one section.,,02:
The consolidation of accounts for the whole State is done in,Book/D.H. Section.,03:
The section that deal with the work of issuing advices to RBI for adjustments to be made between the balances of the Central and State Governments and of maintaining the registers of inter-governmental adjustments.,Account current Sections,04:
Also responsible for outwards and inwards claims settlement,,05:
Responsible for checking the entries in the Cash Account and List of Payments with the various schedules of receipts and payments relating to the several heads of account.,Central Treasury Section (Dealing Accountant),06:
"Monthly Account should be examined for verification that they are in all respects properly prepared in accordance with rules applicable to each case, and that the totals of the schedules agree with the entries in the Cash Account and List of Payment.",,07:
A certificate of agreement will be recorded in the List of Payments and Cash Account by the Accountant concerned in the Central Treasury Section.,,08:
"A List of vouchers which should have accompanied the List of Payment but are not received up-to the time of completion of the monthly Account, should be prepared for",inclusion in the Objection Memo,09:
"Where late receipt of account is of habitual nature, a special enquiry should be made to ascertain the reasons for the delay and the co-operation of the Director of Treasuries or Divisional Officer as the case may be should be sought.",,10:
Amounts representing differences noticed between the figures incorporated in the treasury lists of payment/cash accounts and those in the corresponding schedules of payment/receipts as also the amounts for which schedules themselves are wanting along with supporting vouchers etc. will be classified under,"Treasury Suspense"" under major head ""8658",11:
"The Central Treasury Section in addition to checking that all the schedules etc. as per List of Payments/Cash Account have been received will also examine the List of Payments/Cash Account as to the correctness of form, method of entry and verification of Cash Balances.",,12:
"After having verified AAO/Section Officer and passed by the Branch Officer, the Cash Account and the List of Payment should be made over to the poster of.",Detail Book in Book/ D. H. Section,13:
The receipts and payments shown against a particular major head in the State Cash Account and List of Payments will be taken by the Treasury D.H. section in the first instance in the Detail Book under,Minor Head-Dept. Adjusting Account under MH-8658,14:
A separate detailed head for receipts and another for payments will be provided for each major head or sub-major head or Department,,15:
The credits and debits under the Suspense Head will be cleared when the transactions are finally brought to account by deduct entries under the same head in the,departmental classified abstract,16:
"should check the vouchers with the schedule of payments and independently total the schedule of payments to verify whether the total in the schedule as noted by the T.O. is correct and record on the schedule of payment a certificate over his dated initials ""checked and total agreed"".",Accountant in compilation Section,17:
"If vouchers are not received from the treasuries before compilation is over or, if the correct classification of a recovery or receipt cannot be ascertained, the amounts should be accounted under",Objection Book suspense under MH 8685-Suspense,18:
Amount in question should be included in the relevant Objection Book after obtaining the orders of the,Branch Officer/Group Officer,19:
(i) vouchers are in the prescribed form (ii) Duly receipted and stamped as PAID (iii) Brief Abstract in official language prescribed wherever required (iv) Referenced and numbered in schedule (v) Total made is correct (v) A pay-order duly signed by TO/Disbursing Officer (vi) No unauthenticated erasure or alteration (vii) Affixing of revenue stamp (Above â‚¹ 5000) (viii) Transfer vouchers have been marked as paid (ix) Classification is correct,Key points in checking vouchers in compilation section,20:
"If any objection is taken to a voucher or to any item in a schedule or other account, a note of the objection should be recorded thereon in red ink in sufficient fullness to make it readily understood.",,21:
"In cases where Certificate of payments are received in lieu of lost vouchers, they should be checked in detail in the same way as original vouchers.",,22:
Cases of production of Certificate of payments are received in lieu of lost vouchers shall be put for perusal of,Up-to â‚¹ 10000-BO Above â‚¹ 10000-GO,23:
Cases of loss of vouchers under unusual or peculiar circumstances should be brought to the notice of the,AG (AE),24:
AG (AE) may conduct an enquiry for which may seek the help of Field audit parties of Accountant General (Audit).,,25:
The particulars of Certificates of Payment so accepted should be recorded in a register maintained in Form 2 and the Control Section should review the register,Half-yearly 20th June & Dec,26:
The result of the review should be submitted to the Accountant General on the,30th June/31st Dec,27:
All the vouchers of schedule of payments are then posted in the,Compilation Sheet,28:
Total of each DETAILED HEAD is struck and this should agree with the total of the schedule of payments after,(i) (-) Deduction and (ii) (+) Refund of revenue,29:
From the Compilation Sheets the total against each detailed head is posted against the respective treasuries in the,Departmental Classified Abstract of Payments,30:
