question,answer,srno
A departmental officers may normally receive cash up-to an amount not exceeding,â‚¹ 100,01:
Revenues and dues received in cash by departmental officers not having cheque drawing power and functioning at places other than those of their PAO may be,remitted to the PAO by means of crossed DD for being credited into Government Account.,02:
Authority competent to specify that only bank drafts but not cheques should be tendered in payment of Government dues to any category of all its departmental officers is,Ministry/Department in consultation with the CGA,03:
"The preliminary acknowledgement of the receipt of the cheque or draft, will be given by the departmental Officers at the time of",Receipt of cheque/draft,04:
"If a bank draft drawn on a branch of a bank is tendered at the same i.e. the drawee branch for being credited to Govt. account, the receipted challan may be delivered to the tenderer on",the same day,05:
Metal or paper token or a preliminary acknowledgement to cheque/draft to facilitate delivery of the receipted challan to him in due course will be issued by the,bank to the depositor.,06:
"In the event of the cheque or draft being dishonoured and returned to the tenderer, The challan accompanying the cheque or draft and presented to the bank should",Not be returned. It is retained as official record and destroy in due course,07:
"In the case of Government dues which are payable by a certain fixed date and the person desiring to make payments by means of cheque or bank draft, the bank may refuse to accept if it is tendered on",The last day,08:
"In the case of Government dues which are payable by a certain fixed date and the person desiring to make payments by means of cheque or bank draft, the departmental officer may refuse to accept if it is tendered on",The last 2 working days,09:
working day shall be deemed to be a day on which the,departmental office and the bank are both open for transacting their respective ordinary business.,10:
"Where the cheque or draft is tendered to the bank towards payment to Government due/revenue, the same shall be deemed to have been paid",On the date on which it was cleared and entered in the receipt scroll,11:
"Where the cheque or draft is tendered to the departmental officers towards payment to Government due/revenue, the same shall be deemed to have been paid",On the third working day after its presentation;,12:
"Where payment towards payment to Government due/revenue is made by post, the same shall be deemed to have been paid",on the date on which the cover containing it is put into the post:,13:
"To sign receipts for government due/revenue received for him, the Head of Office may at his discretion authorise any other officer subordinate to him",whether gazetted or non-gazetted,14:
Receipt need not be issued where the field staff of the National Savings Organisation receive moneys on account of,sale of savings boxes,15:
"Receipt may be granted only if specially desired by the payer, Where money is realised",not in cash but by recovery from a payment made on a bill,16:
Receipt books in machine numbered may be obtained from,"Central Form Store, Kolkata",17:
The receipt books must be kept under lock and key in the personal custody of the,Officer authorised to sign the receipt on behalf of the Govt.,18:
"On the allegation that the originals have been lost, duplicates or copies of receipts granted for money received may be issued by",None. Only a certificate to having received the sum may be given.,19:
"Moneys received on account of revenues, receipts of the Govt. instead of being paid into the bank are utilised to meet departmental payments, receipts and the payments made should be accounted for in departmental records on",Gross basis,20:
"If the receipts of the Govt. due are in excess of the payments made out of it, the excess shall be",remitted to the bank or Accounts Officer,21:
"If the receipts of the Govt. due are in excess of the payments made out of it, the challan accompanying the excess shall be recorded with",cash actually received by him and per contra the expenses met therefrom,22:
"When the departmental officer submits a formal claim, or bill to the Accounts Officer in adjustment of departmental receipts temporarily utilised for departmental payments, the NIL claim shall be endorsed with the words","""received payment by transfer credit to head of account.",23:
"Challan forms, printed forms of challan shall be supplied by the",Departmental officer or by the bank free of charge.,24:
"In making rupee deposits to the Government Account in respect of imports financed under Direct Payment Procedure applicable to various foreign loans or credits, Form GAR 8 shall be used invariably in",Quadruplicate.,25:
Fees payable by candidates in India for examinations conducted by the UPSC or SSC should be remitted to the,Secretary of the respective commission,26:
Fees payable to UPSC or SSC by means of crossed Indian Postal Order or by such other negotiable instruments as may be notified by,These Commissions with the approval of Government.,27:
Fees payable to UPSC or SSC by candidates residing outside India may be received by the,Missions abroad.,28:
