question,answer,srno
"Each State AG should as soon as the accounts of a month are closed, submit a monthly account of its transactions to the State Government in Form",AC 31,01:
The figures for this monthly account should be taken from the Consolidated Abstracts.,,02:
Any difference between the cash balance in treasuries and the balance shown in the Cash Balance Report should be worked out and explained on the face of the Account.,,03:
Progressive accounts incorporating adjustments made in the accounts for March Final and any Supplementary adjustments made after the close of those accounts should also be submitted to State Government,,04:
"An account of all Central (Civil) transactions i.e. Civil pensions, and transactions of UTs with Legislature which pertain to the Public Account, and of all transactions of UT Administrations brought to account by each AG should be submitted by him to the",Controller General of Account,05:
The annual accounts (including Appropriation Accounts) of each State/UT Govt. shall be prepared in the form prescribed by the President on the advice of the CAG under,Article 150 of Constitution,06:
Annual Accounts including Appropriation Account a State is prepared by the State AG and submitted to the CAG for approval and transmission to the Governor of the State concerned under,Article 151 (2) of Constitution + Sec 11 of DPC,07:
in respect of Union Territory Governments with legislatures only is prepared by the concerned AG and submitted to the CAG for approval and transmission to the Administrator of UT concerned,Appropriation Account (Sec 49 of UT Act 1963),08:
"Material for the preparation of the Appropriation Accounts relating to the Pension' Demand for Grant of the Central Government and relating to the Demand for Grants of UT Administrations whose accounts are not separated from audit, shall be submitted by each AG to","Director of Audit, Central Revenue",09:
The accounts that shall be an auditor's presentation of the General accounts of the State/UT submitted to Government concerned,Finance Account,10:
(i) Part I-Summarised Statement (ii) Part II-Detailed Accounts & Statement (a-Receipt & Expenditure and b. DDR & Contingency Fund),Parts of Finance Account,11:
The accounts of all the Governments in India on a common and comparable basis and are prepared mainly on the basis of the figures contained in the respective Finance Accounts of Governments concerned.,Combined Finance & Revenue A/c,12:
"Part I-General Account-(i) a summary of Receipts and Disbursements of all Governments by sectional heads of account, and (ii) accounts of Receipts and Disbursements by Major Heads of Account of all Governments in the Revenue Account, Capital Account and all other sections",Parts of Combined FRA,13:
"Part II-Subsidiary Account-The Subsidiary accounts give details, generally minor heads, of all the figures shown in the General Accounts relating to each type of Governmental activities",,14:
"Finance Accounts of the Each AG-31st January (ii) Finance Account of Central Government-28th February (iii) Accounts of P&T, Railways and Defence-31St December",Important Dates for Combined FRA,15:
"An AG should prepare Capital and Revenue Accounts of residential building, if so required by",The Govt.,16:
Residence for the use of the Governors & Head of UTs including staff quarters and other building appurtenant thereto,Exclusion from Residential building,17:
"Buildings which are situated within the premises of jail, hospitals, police-lines, tehsils, educational institutions, provided that they are allotted rent-free to Govt. Servant",,18:
"Buildings which are not intended to be used as regular residences such as Dak- bungalows, rest houses, circuit houses, inspection houses and other such buildings",,19:
"Petty buildings the cost of which does not exceed Rs. 5,000 or any other limit which may be prescribed by Government",,20:
Class I-Buildings which will ordinarily be occupied by Government servants liable to pay the full standard rent subject to the limit of a prescribed maximum percentage of their emolument,Category of building for which Capital & Revenue A/c are maintained,21:
"Class II- Buildings from which the recovery of the full standard rent is not expected, that is, buildings which, will ordinarily be occupied by Govt. servants who are entitled to accommodation rent free or at reduced rents",,22:
Buildings should not ordinarily be transferred from 0ne class to the other unless there is a permanent change in the condition and should have effect from commencement of a financial year,,23:
"The buildings should be brought on the capital and revenue account in the year following the year of their acquisition, construction, lease and if already in existence then first brought into use.","If event takes place on 1st April, then same year",24:
"Transections relating to the capital cost and maintenance of sanitary, water supply and electric installation and fittings of a residence should be included in those for the building itself.",,25:
"Transactions relating to other services such as garden, tennis court etc. for which additional rent is recovered should be shown separately below those relating to buildings",,26:
Furniture is treated as an item by itself and so furniture provided for all such residence in each circle superintendence or other unit is prepared separately.,,27:
Accounts of residential buildings are prepared on the basis of information furnished by the executive officer in Form,AC 32,28:
"Both in respect of capital outlay and maintenance charges, the actual charges only should be taken and no additional charges on account of establishment, T&P etc.",,29:
"If a building is occupied partly as a residence and partly as office, the best possible approximation for assessing capital value of residential portion shall be made in consultation with",Superintendent Engineer or Other as Govt.,30:
"In the case of non-residential buildings which are converted into residences, if the original cost cannot be ascertained from the records, the Capital value should be based on the estimated value of the buildings",Subject to rule made by Govt. in this regard,31:
Interest on capital outlay to the end of the year under report or rent payable by the Govt. shall be filled in,Column 15 of AC 32,32:
"In respect of buildings under the control of PWD, a separate account for each circle of superintendence and a copy of the accounts should be sent to SE",,33:
