question,answer,srno
"Particulars relating to Debt. Deposit and Remittance transactions appearing in the Treasury Cash Accounts, Lists of Payments and in the Departmental and other abstracts shall be collected for the whole circle of account under each head of account from month to month in a",Detail Book (AC 21),01:
Separate Detail Books will be kept for Central and State transactions.,,02:
"Consolidation of monthly accounts should not be delay for late receipt of accounts from rendering agencies and so if the account of any month is received too late to incorporate in the account, a note of omission should be recorded distinctly in RED INK below the monthâ€™s entries in",Statement of Disbursersâ€™ A/c (AC 2),03:
"When they are posted in the Detail Book and the Statement of Disbursers Account of the next month, a note should be made against the entries giving reference to the month to which they relate. On no account should the figures of the two months be Combined into a single set of entries.",,04:
"The Detail Book (Form A.C, 21) shall be arranged in vertical columns, of which the first two columns on each folio or page shall show the period of account and the name of the district or of the departmental or other abstract",,05:
The remaining columns represent the entries which appear in that abstract under each head of account,,06:
The Detail Book should be so arranged as to provide sufficient space under each beading for the consecutive entry of twelve months' transactions (April to March Final),,07:
Part I- utilised for compiling the treasury transactions direct from the Cash Accounts and Lists of Payments,Parts of the Detail book,08:
"Part II- consolidating the Debt, Deposit and Remittance figures appearing in the various Departmental and other abstracts",,09:
The grand totals of receipts and disbursements in Part I of the Detail Book should then be agreed with the,Statement of Disbursers' A/c,10:
"The postings in the Detail Book should be checked independently with the entries ln the Cash Account, List of Payments, or the Departmental or other abstracts",Total & Heads as well,11:
"The Consolidated Abstract of Debt, Deposit and Remittance is prepared in",AC 22,12:
Every head of account for which a column is provided in the Detail Book must also appear in the Consolidated Abstract and against it should be entered the total of month's entries as recorded therein,,13:
"The transfers of each month are posted in the Detail Book without reference to the amount of the month's transactions under the sub/detailed heads concerned, the result may be a minus entry, which will pass in red into the Consolidated Abstract and reduce the total of the minor head",,14:
"If a minus entry under a sub/detailed head exceeds the aggregate of the plus entries for the current month the same minor head, the net entry for the minor head also will be a minus one in red ink both in the Consolidated Abstract and in the Ledger.",,15:
Minus entries under a major head may appear in any month in,Exceptional case,16:
"After the Consolidated Abstract is closed, the totals of the receipts and payments recorded in it should be checked against the totals in the",Detail Book,17:
"From the Consolidated Abstract of DDR Heads and the Departmental Consolidated Abstracts, the Abstract of Major Head Totals is prepared showing (i) the receipts and disbursements by major heads during and (ii) to the end of the month.",Abstract of Major Head,18:
The total figures in the Abstract of Major Head Totals should agree with the Statement of Disburser's Account.,,19:
"The closing cash balance of Government as worked out in the General Statement of Account should then be reconciled with the balances shown in the Cash Accounts rendered by Treasury Officers and with the Statement of closing balances received from the CAS, RBI",,20:
Any difference between the account balance shown in the General Statement of Account and the grand total of the cash balance report should be explained in a note to be added to the former.,,21:
"In the Central Abstract of Major Head Totals, there will be ordinarily only entries relating to the total receipts and disbursements of the month which should agree with each other.",,22:
"The accounts of each month must be completed, carefully checked and signed punctually on or before the",4th of Second following month March-15th May,23:
"The accounts for March as first prepared are only preliminary records, as the books remain open for adjustments and transfers until the",30th Jane (Supple A/c Closes),24:
"For the purpose of compilation of the Finance Accounts of the Central Government, the Central Transactions appearing in the books of State AG should be furnished to the CGA in the form of a Statement called the",Statement of Central Transactions,25:
"It is prepared by major, sub-major, and minor heads of account incorporating therein all the corrections made through Journal entries etc. in the form and by the date prescribed by the.",Controller General of Accounts,26:
The accounts of each financial year shall be kept open by Accountants General till,15th September,27:
"No alteration should be made in the Detail Book, Departmental Classified Abstracts or Consolidated Abstracts of any month after they have been closed",,28:
"When errors are discovered in the same year, involving a correction, the necessary corrections should be made by a formal transfer entry",,29:
A formal transfer entry is not required if the error affects only Revenue or Expenditure heads affecting the same Govt. and the amount involved does not exceed,Rupees Ten (10) A note is enough,30:
"Corrections between sub/detailed heads under the same minor head should not be made by formal transfer entry, such corrections should be made by plus and minus entries against the head affected.",,31:
No formal transfer entry for corrections between minor heads arising after the despatch of the Statement of Central Transactions for amounts less than Rs. 1000/ except in cases where the total of transfer entry on either side is more than Rs. 1000/-,,32:
Even if the effect on minor head is less than Rs. 100O- and affecting the accounts of the same Government should net be made by formal transfer entry,,33:
