question,answer,srno
World Bank is a,Multi-lateral Funding Agency,02:
Responsible for implementing the financial covenants laid down in the agreement(s) executed by Department(s) of Govt. of India and the External Funding Agency(ies) is,The Office of the Controller of Aid Accounts and Audit (CAAA),03:
The Office of the Controller of Aid Accounts and Audit (CAAA) is located in,Department of Economic Affairs (MoF),04:
The external aid flow from the Funding Agency in foreign currency or Indian Rupees shall be received by the,"RBI, Mumbai. It remit the rupees equivalent to the account of CAAA, at RBI New Delhi",05:
Type of grants that is accounted for by the CAAA is,Cash grant only.,06:
The concerned administrative Ministries or Departments may withdraw the fund received from external funding agencies by,Making provision of funds under the relevant head of account as ‘External Aided Component’ in their Detailed Demands for Grants,07:
Procedures for withdrawal of fund received from external funding agencies are,Two. Reimbursement basis and Direct Payment Basis,08:
"Under the Revolving Fund Scheme, the Funding Agency disburses as initial advance to Government of India the estimated expenditure of",4 months for the projects,09:
GFT stands for,Government Foreign Transaction,10:
A loan wise proforma account for liquidation of advance received from funding agency shall be maintained by,"The RBI, Mumbai.",11:
"Office of CAAA on receipt of reimbursement claims from Project Implementing Agency, shall send an advice to RBI, Mumbai for debit the Special Account with the",US Dollars equivalent of the amount of the eligible claim.,12:
Office of CAAA shall consolidate all claims and submit to Funding Agency for.,replenishment of Special Account,13:
Under reimbursement outside special accounts the Funding Agency shall disburse the eligible expenditure to the,"borrower’s account with RBI, Mumbai. RBI in turns passes it to CAAA",14:
"Under direct payment procedure, the request of project implementing agency is submitted to funding agency",Through CAAA,15:
"Under direct payment procedure, the funding agency releases the fund to",contractor or supplier or consultant,16:
"In the case of Central Projects, Centrally Sponsored Projects and Public Sector or Financial Institutions, the fund to project implementing agency shall be released by",administrative Ministry or Department concerned,17:
The consolidated details of fund flow under Reimbursement through Special Account ” and “Reimbursement outside Special Account” shall be submitted by the CAAA to,Department of Expenditure (Plan Finance Division),18:
The Plan Finance division of Department of Expenditure shall issue sanctions for actual release of the disbursement for each State and a copy of such sanction shall be endorsed to,Finance Department of State Government concerned.,19:
"The office of the CAAA, for effecting the release to the concerned State Governments, shall issue the Inter-Government (IG) Advice to","Central Accounts Section, RBI, Nagpur.",20:
The funds shall be released to Project Implementing Agency by the administrative Ministry or Department within,6 weeks w.r.t expenditure incurred by the Project Implementing Agency.,21:
"where the loan is negotiated directly by a particular PSU or Financial Institution, the funds from the Funding Agency shall flow to the borrowing entity",direct,22:
"In cases where the funds from externally aided Projects are further passed on as loans, the recovery of the loan along with interest shall be the responsibility of",administrative Ministry or Department concerned,23:
Major Head under which Interest on external loans shall be accounted for,2049-Interest Payment.,24:
The interest payment on external loans shall be classified as,Charged expenditure (repayment is also a charged expenditure),25:
The exchange variation in respect of foreign loans that have been fully repaid shall be adjusted written off to Major Head,8680-Miscellaneous Government Accounts,26:
"In cases where foreign in kind without involving any cash inflow, the funding agency issues details advice to",concerned Ministry or Department,27:
"In cases where foreign in kind without involving any cash inflow, the budget provision in regard to aid material or equipment is made by",CAAA,28:
Major Head for Aid Materials and Equipment,3606,29:
