question,answer,srno
CPAO was set-up on,1st January 1990,02:
Prior to setting up CPAO compilation and accounting of Central (Civil) Pensions and Pensions to Freedom Fighters was the responsibility of,CAG. CAG was relieved from FY 1990-91,03:
"The head of office will furnish a certificate to the Govt. servant regarding the length of qualifying service, emoluments and average emoluments proposed to be reckoned for pension and retirement gratuity payments, before the date of retirement.",10 month,04:
"The employee should make representations, if any, with regards to certificate of qualifying service, emoluments and average emoluments furnished to him before his retirement with a period of",a fortnight (15 days) of receiving the certificate,05:
The period by which the Head of Office has to forward the pension papers to the PAO not later than,six months before the date of retirement of the Govt. servant,06:
"The Head of Office after ascertaining and assessing the dues against the Government servant, shall furnish their details to the PAO, in advance of his/her retirement",2 months,07:
"While checking of the correctness of past emoluments in pension papers, the check should in any case not go back to a period earlier than a maximum of",24 months preceding the date of retirement.,08:
The final responsibility of the correctness of calculations and authorization of admissible pension rests with,PAO.,09:
The PAO should issue the pension payment order/authorization at least in advance of retirement of the Government servant,One month.,10:
CPAO furnishes to each PAO annually a list of running serial numbers to be allotted to Pension Payment Orders to be issued by them during the next calendar year (Jan to Dec) in,the first fortnight of November,11:
The PAO intimates the details of unused frozen numbers to the CPAO by the end of,January every year,12:
Digits that each PPO comprises of,12,13:
Digit of a PPO that reflects the PAO code number is,First 5 digits,14:
Digit of a PPO that reflects the year of issue is,2 digits that follow PAO i.e. 6-7,15:
The digit that sequential number of a PPO consist of,4 digits. 8-11,16:
The last digit i.e. 12th one of a PPO represents,check digit for the purpose of computer,17:
The CPAO dispatches the PPO to Link Branch of the Bank by,20th of the month of retirement,18:
Link Branch forwards the PPO to paying branch by,23rd of the month of retirement.,19:
PPOs of the High Courts’ Judges are issued by,AG of the State concerned.,20:
PPOs to Central Freedom Fighter are issued by the,"PAO, Ministry of Home Affairs.",21:
The disbursement of pension will be authorised through the treasuries relating to only in respect of,High Court Judges.,22:
The pension disbursing PAO will prepare a schedule of payments of pensioners desire to draw pension through PAO or Money Order and send the same to the CPAO by,10th of each month.,23:
The system of payment of pension through the Treasuries in respect of the PPOs issued on and after 01.01.1990 has been totally closed pursuant to the instructions of the,CAG,24:
Cases for which a switch over of payment channel of pension is permissible,3. (i) Treasury to Bank (2) PAO to Bank and (iii) One PAO to another of same Min/Dep.,25:
"Where a Government Servant rendered service under more than one department in the Government of India, including Railways, Posts, Telecommunications and Defence Department as well as Union Territory Governments, the liability for pension charges will be borne by",the Department to which the Government Servant permanently belongs at the time of retirement,26:
The system of allocation of pension liability has been dispensed with w.e.f,31781,27:
The liability on account of pensionary benefits of All India Service Officers will be borne by the,State government on whose cadre they are borne,28:
"PPO number for All India Service pensioners would incorporate, besides the 12- digit numeric component used for Central Civil Pensioner, a pre-fix indicating",the service and the state cadre to which the officer belongs.,29:
All India Service Pensioners will have the option to draw pension only through the,Authorised bank,30:
The colour of Special Seal Authority (SSA) issued by the CPAO in respect of pension of All India Service officer will be,Blue. A copy is also sent to AG.,31:
Major Head to the charges on account of Swatantrata Sainik Samman Pension Scheme is,2235 (Social Security & Welfare)-60-107,32:
The Pension to Central Civil Pensioners will be disbursed only through State Bank of India in the State of,Sikkim,33:
Expenditure on account of pension to Burma nationals incurred by a State will be debited to,8679- A/c with Govt. of Other Countries,34:
Debit for Expenditure on account of pension to Burma nationals incurred is raised for re- imbursement from Govt. of Burma by,The AG concerned.,35:
"The payment of pension may be made by postal money order at the option of the pensioners, where the amount of monthly pension including relief on pension does not exceed",₹ 2000/-,36:
The cost of money order forms purchased for disbursement of pension purpose may be debited to the head,2071,37:
Account of the M.O. forms will be submitted to the PAO on,15th of each month,38:
The stock of the M.O forms will be verified,Half yearly (August and February),39:
Half yearly stock verification report of M.O forms should be submitted to,CA/Dy. CA.,40:
At the time of second half yearly stock taking (February) the cost of M.O forms utilised for remitting pension to pensioners may be debited to the head “Pension and Other Retirement Benefits” by minus debit to the head “Cost of Remittance by money order” where it was initially debited for pension in excess of,"₹ 1,500/- P.M. plus relief thereof",41:
In respect of pensions through Postal Money Order for the Month of March remittance should be arranged on or after the 1st day of April but not later than,10th of the April.,42:
In respect of pensioners who have not submitted a certificate for drawing pension through M.O the charges of remittances will be deducted from the amounts of pension if the pension exceeds,₹ 500/-,43:
The charges for the payment of pension to the retired High Court Judges are to be borne by the respective State Governments,Article 290,44:
Conducts post checks of payments of pension through the Computer System,CPAO,45:
Any irregularities noticed during the course of post check would be communicated for carrying out necessary rectification to the,Pension Disbursing Authority,46:
The concerned AG (Audit) will conduct audit of pension payments in such manner and to such extent as the CAG may prescribe,,47:
Government of United Kingdom communicates the basic pension and graded relief admissible to ICS Family Pension Fund (Transferred),,48:
"the payment of Family Pension will be arranged by the PAOr, Department of Economic Affairs, New Delhi.",Dr-8679 (-) Dr-8658,49:
"After close of the financial year, reimbursement of the expenditure so incurred against ICS Family Pension Fund (Transferred) will be claimed from Govt. of U.K. through a Proforma Account",,50:
"In respect of ICS Family Pension Fund (Un-transferred), the Govt. of UK will bear only the Basic Pension",,51:
"In respect of ICS Family Pension (Non-European Members) payments will be made quarterly in advance i.e. for the quarters ending March, June, September and December.",,52:
