question,answer,srno
Advance payment on account of purchase of store and is made on form,GAR 30,01:
Adjustment bill towards advance payment on account of purchase of store and its settlement is made on form,GAR 29,02:
Payments for all purchases ordered through the India Supply Missions at London or Washington will be arranged by,"High Commission of India, London or Indian Embassy, Washington,",03:
"Where the time schedule of payment permits, the Accounts Officer will make payment to foreign supplier by bank draft in the specified foreign currency, the cost will be borne by",Work/project to which supply relates. (In other words Government),04:
Usually a letter of credit is opened in favour of foreign suppliers through the accredited bank of the Ministry or Department concerned where,"Tender clause involves heavy payments, with a specific payment schedule",05:
"Instructions regarding procedures for payments to foreign suppliers for imports covered under various foreign aid programmes and procedures for accounting of cash and equipment grants received by the Government from various foreign Governments or Institutions, are issued",Controller Aid Account & Audit (CAAA) duly approved by the CGA on the advice of the CAG.,06:
"When contingent bills are drawn for works expenditure and it is not possible to give details of the expenditure at the time of drawing the bill, they must be given subsequently in a bill in Form","GAR 31 headed Not Payable,",07:
Wages of labourers engaged departmentally shall be drawn on,Muster Roll,08:
Unpaid wages on muster roll shall be,carried forward from muster roll to muster roll until they are paid,09:
Wages of members of the work-charged establishment may be drawn on the form,GAR 13,10:
"If the acknowledgement of the payee cannot conveniently be obtained on the bill itself, it may be",obtained separately and attached to the bill as a sub-voucher.,11:
Payment for all work done other than by daily labour and for all supplies shall be made on the basis of,Measurement Basis,12:
Claims all work done other than by daily labour and for all supplies made shall be prepared by the,claimants,13:
"When the maintenance of any Govt. buildings or roads is entrusted to a Local authority, the payment made to it on this account shall be treated as",payment for work done by a contractor,14:
Advance payment to contractor means,payment for work done by the contractor but not measured.,15:
Final payment to the contractor for work done or supply made shall not be made,without detailed measurement.,16:
Refund of revenue may be paid out in cash where the amount involved is,Up-to â‚¹ 100/-,17:
Department Officers are permitted to draw amount in lump-sum on their receipt towards making refund by,The Min./Department/Administrator concerned in consultation with Pr. AO,18:
"Refunds of the value of Currency Notes credited to Government in accordance with the provisions of the RBI (Note Refund) Rules, 1975, shall be made by",Currency Officer,19:
Refunds of the value of Currency Notes credited to Government shall be made by debiting the government account held under,Department of Economic Affairs,20:
"When refunds of the value of Currency is made, the original credit together with the actual receipt of the payee shall be sent to",PAO Ministry of Finance (Department of Economic Affairs).,21:
Refund of revenue from permanent advance is permissible refund up-to,â‚¹ 100/-,22:
Petty Refunds of Union Excise Duties and Customs receipts means refund amounting,Up-to â‚¹ 100/- (may be refunded in cash in each case),23:
Bills for drawing money on account of refunds of revenue shall be prepared in Form,GAR 33.,24:
Bill for refund of passport fees should be prepared in Form GAR 33 by,The Regional Passport Officer,25:
"If the amount of UPSC/SSC examination fee was originally paid in any Embassy or Mission abroad and the refund is desired in India, verification of the credit will be on the authority of the",Secretary of the Commission/ an officer duly authorised in this regards,26:
"Where the examination fee is paid by a candidate in the form of Postal orders/ Central Recruitment Fee (CRF) Stamps, refund of fee shall be made by the means of",Money Order,27:
An order for refund of revenue shall remain in force for a period of,3 months from the date of issue.,28:
Bills for grants-in-aid or contributions shall be presented by the department in Form,GAR 34,29:
"Compensation to Government servants for accidental losses due to effect of floods, cyclones, earthquakes or otherwise, may be drawn in",a simple bill form,30:
"Bill for Compensation to Government servants for accidental losses due to effect of floods, cyclones, earthquakes or otherwise shall be submitted to PAO for",Pre-check,31:
"Bills for educational scholarships or stipend, shall be presented in Form GAR 35 or in such other form as may be prescribed by authority competent to sanction such payments in consultation with",Principal Accounts Officer,32:
"Bills for sums payable to the Reserve Bank, such as bills in connection with the floatation of new loans or management of Public Debt, shall be countersigned by",an officer of the Ministry of Finance before they are paid.,33:
"A copy of account of discretionary grant submitted to Accounts must be sent also be sent to the administrative department concerned at the end of every month, except when",it is estimated that the sanctioned expenditure will be completed and the account closed within 3 months from the date of sanctioning,34:
"Where it is estimated that the sanctioned expenditure will be completed and the account closed within 3 months from the date of sanctioning, the account shall be submitted to administrative department",After expiry of 3 months or account up-to 31st March if 3 months falls after 31st March.,35:
"When a Civil officer required to supply carriage to troops on the march, the amount may be drawn for making advance payment to owner from",Permanent Imprest or on an abstract bill,36:
"A Civil officer required to supply carriage to troops on the march, may makes an advance to the owners to the extent of",Half of the hire charges for full journey.,37:
Amount incurred by a Civil Officer in connection with supply of carriage to troops on march shall be borne by,Defence. Civil officer will debit 8658-PAO suspense.,38:
"When discount upon stamps is allowed by deduction from the purchase money, a detailed bill is raised in Form GAR 31 for submission to",The PAO.,39:
loans and advances may be drawn On simple receipt in a form similar to Form,GAR 34,40:
The type of advance under which Takavi advances and advances under the Land Improvement Acts fall under,Revenue Advance,41:
The estimated cost of Takavi works are recovered in the PWD failing which recovery of takavi advance will be made by,the Collector in the same way as arrears of land revenue.,42:
Revenue Advances are drawn on,GAR 30 (Abstract Bill),43:
Submission of detailed bill towards adjustment of revenue advance drawn shall not be delayed beyond the,end of the month following that in which the advance was drawn.,44:
Money limit for ' the amount which can be drawn on abstract bills by each officer with due regard to the circumstances of each case shall be prescribed by the,Head of department,45:
A plus and minus memorandum shall be maintained by,The PAO (to watch the recovery of advances),46:
The Component i.e. Interest and Principal of advance that must and must not be recorded in plus and minus memorandum,Principal-Must and Interest-Must not,47:
