question,answer,srno
Power to Give and Limits on Government Guarantees has been given in GFR 2017,Rule 275,01:
The power of the Union Government to give guarantees emanates from and is subject to such limits as may be fixed in terms of,Article 292 of Constitution Fiscal Responsibility and Budget Management Act and Rules,02:
"Powers to grant Government of India Guarantee, including those on external borrowings, vests with",Budget Division (Department of Economic Affairs),03:
The proposal for Guarantee by Govt. India shall be examined in consultation with the Financial Advisor by the Administrative Ministry/Department or,the Credit Divisions (Department of Economic Affairs),04:
"After examination in the concerned Ministry or Department or Credit Division of DEA, all proposals for extending guarantees shall be referred to",Budget Division (Department of Economic Affairs),05:
No guarantees shall be given without the approval of,"The Budget Division, DEA",06:
BIFR stands for,Board for Industrial and Financial Reconstruction,07:
"While considering the Guarantee proposal of Central PSU, the actual vis-Ã -vis target set by BIFR or cabinet should be considered for preceding",3 years,08:
Guarantees shall normally be restricted to,The repayment of principal and normal interest component of the loan.,09:
Government guarantees will be extended to only,central public sector companies/ agencies.,10:
guarantee shall not be normally given for .,the commercial loan components of such aid,11:
All borrowings from the multilateral agencies by CPSUs would be direct on the terms as agreed mutually between the borrower and the lender and approved by the,Government of India.,12:
"Where borrowings from the multilateral agencies by CPSUs involves guarantee, the prior approval to be sought from",Budget Division (DEA),13:
Guarantee fee is payable on the,Principal amount of the loan drawn and loan outstanding from time to time.,14:
The rates of fee on guarantees is notified by,the Budget Division,15:
The prescribed fee on guarantee shall be levied in respect of all cases by,Ministry/Department concerned.,16:
"Fee on guarantee in respect of non-fund based borrowings or credit i.e. Letter of Credit, Bank Guarantee is",Leviable,17:
The guarantee fee should be levied before the guarantee is given and thereafter on,1st April every year,18:
The rate of guarantee fee is to be applied on the amount outstanding at the,beginning of the guarantee year.,19:
"Where the guarantee fee is not paid on the due date, fee should be charged at",double the normal rates for the period of default.,20:
The maximum percentage of project loan to which the Government may extend guarantee is,0.8,21:
The Government of India may guarantee 100% of the financing where the organisation concerned,Is discharging some function on behalf of the Government of India.,22:
"Once the guarantee is approved by Ministry of Finance, the guarantees will be executed and monitored by the",Admin Min/Department concerned.,23:
Guarantee proposals approved by the Budget Division shall have to be executed in,the same FY. Failing which proposal to be re-submitted.,24:
Guarantee given by Government of India shall be,Non- transferrable,25:
Responsibility of maintenance of records and reporting including for the Finance Accounts and the IGAS pertaining to Guarantee rests with,Financial Advisor of Min./Department,26:
Financial Advisor reports to concerned authorities through,Controller/Chief Controller of Accounts,27:
All Ministries or Departments shall ensure that all guarantees are reviewed.,every year,28:
A copy of annual review of guarantee by Financial Advisor shall be submitted to Budget Division by,30th April of the following year.,29:
Financial Advisor shall maintain a Guarantee Register in GFR 25 and data contain there is intimated to Budget Division every year by,10th April of the following year.,30:
"In respect of guarantees issued by the Ministry of Finance for external loans, an annual review shall be conducted by",Credit Divisions (DEA) in consultation with respective FA,31:
"where the guarantees on external loans are issued by the concerned administrative Ministry, responsible for conducting the annual review would be",Ministry concerned,32:
"For the purpose of record keeping, guarantees shall be classified into",6 categories [Rule 281(4)],33:
The rule that requires govt. to publish a disclosure statement on guarantees given by govt. at the time of presenting the annual financial statement and demands for grants.,"Rule 6 of the FRBM Rules, 2004",34:
The Statement of Disclosure on Guarantee is compiled by the Admin. Min/Department and submitted to the,CGA for onwards submission to Budget Division.,35:
Indian Government Accounting Standard (IGAS) relating to Government Guarantees is,IGAS-1,36:
The Government Account in which a Guarantee Redemption Fund (GRF) has been established,Public Account of India (8235-117),37:
"In the event of invocation of a guarantee, the obligation may be discharged by","sanctioning loan to the borrowing entity equal to the amount of guarantee outstanding with the approval of Budget Division,",38:
Amount of loan sanctioned in the event of invocation of a guarantee shall be charged to,Guarantee Redemption Fund maintained in the Public Accounts.,39:
