question,answer,srno
Payment of loans and advances to parties other than State/U.T. Governments and Administrations shall be made a bill on a simple receipt in a form similar to form,GAR 34,01:
The drawing officers of the Min/Dept sanctioning payment of loans and advances shall present a bill supported by a copy of the sanction for such payment to the PAO concerned,,02:
"After due verification, the PAO shall record a certificate on the bill indicating that the conditions specified in the sanction have been satisfied and/or that a formal undertaking/agreement has been obtained from the loanee concerned.",,03:
The PAO will forward a crossed cheque to the drawing officer drawn in favour of the party concerned. DDO will deliver the cheque to the loanee,,04:
"The cheque/draft towards repayment of principal and interest should be deposited with the specified New Delhi main branch of the accredited Bank to the Min/Dept that sanctioned the loan, or its successor in whose books the accounts of the loans in question are maintained.",Well in advance of the due date,05:
"Outstation organizations may similarly arrange for payment of dues on account of loans through their bank, to the accredited bank branch at New Delhi of the Min/Dept..",,06:
"The accredited bank branch will initially acknowledge the receipt of cheque/draft tendered in payment of dues through a paper token. After the realisation of cheque or draft, duplicate copy of the challan will be given to the depositor.",,07:
"Normally, the repayment of a loan shall begin on the day of completion of one year from the date of its drawing, and will be paid through specified number of equal annual instalments of principal.",,08:
"While the Government may sanction/allow suitable moratorium period for repayment of principal, no such moratorium period shall be allowed for payment of interest.",,09:
"If the due date for repayment of instalment of principal or interest on a loan falls on Sunday or any other holiday, no interest will be charged for such days, if the recovery is postponed on this account.",,10:
"the principal or interest is payable on the 31st March of a year, and if that day happens to be a holiday, the payment should be made on the immediate preceding working day.",,11:
Grant-in-aid can be given only to a person or a body independent of the Government.,Grant-in-aid,12:
One department of the Govt. cannot sanction grant-in-aid to another department of the same Govt.,,13:
Government cannot give grant to any organization set up by a Government resolution or by an executive order does not have separate legal status of its own and functions only as a limb of the Government. The,,14:
(i) Grants for general purposes and (ii) Grants for specified purposes.,Type of Grant-in-aid,15:
No conditions are attached to grants for general purposes and the lump sum amount sanctioned by Government are paid to local bodies and hence no utilisation certificate is required by the PAO,,16:
Grants for specified purposes should on normally be utilised within one year after the date of issue of the sanction and accordingly the utilization certificate should also ordinarily be due after a period of,12 months from the date of sanction of the grant,17:
"Where the expenditure is incurred out of the Central grants, by the State Govt. directly.",UC not required for grants given by Centre to State,18:
"Where expenditure is incurred by the State Governments through local bodies or private institutions, the State Government concerned should furnish the utilisation certificates.",,19:
"In respect of grants to non-govt. or quasi-govt. bodies or institutions, the assets acquired wholly or substantially out of Govt. grants should not be disposed off or used for purposes other than the objects of the grant, without prior sanction of the Govt.",PAO to watch this condition.,20:
Register of Grant-in-aid is maintained by PAO in,CAM 28,21:
The period for the repayment of loans should be fixed with due regard to the purpose for which they are advanced and it should be restricted to the minimum possible,Generally not exceeding 15 years,22:
"Where a longer period than 15 years for repayment is sought, prior concurrence should be taken from",Budget Division (DEA),23:
"In no case, however, the period of the loan should exceed",30 years,24:
"Block loans for State Plan Schemes and other Plan loans (including loans for Centrally Sponsored Schemes) but excluding loans for relending to industrial and commercial undertakings and individuals, when drawn in instalments, will be consolidated and deemed to have been drawn as on.",1st October in each year,25:
"The period of these loans will continue to be 15 years, repayments being made in 15 annual equal instalments together with interest on the outstanding balance commencing from the following year",,26:
The amounts annually payable (by way of principal and interest) would be recovered in the four equal instalments on,"1st of July, October, January & March",27:
Small Savings Loans advanced during the year will be consolidated as on 1st October each year. The period of the loans will be 25 years and towards repayment of principal includes an initial moratorium of,Five years (Interest is recovered in 4 quarterly EMIs),28:
"On expiry of the period of moratorium (5 years), the loans will be recovered in 20 annual equal instalments, payable in four equal instalments on the 1st of July, October, January and March each year.",,29:
"The period of moratorium to PSUs should not extend in any case, beyond two years from the date of project going into production, or in the case of programmes of expansion, beyond two years from the date of expanded project coming into operation.",,30:
Request from PSU for funds for meeting working capital requirements should be considered only to the extent the same cannot be had from the State Bank of India/Nationalised Banks.,,31:
"The period of repayment of working capital loans should preferably be restricted to two or three years. In no case, however, the period of these loans should exceed",5 Years,32:
"In case of default, the higher/penal rate of interest should not be less than 2.75 percent above the normal rate of interest at which a loan is sanctioned.",,33:
Waiver of recovery of interest at penal rate shall only be granted by an adequate level after obtaining advice of the,Financial Advisor,34:
"Even a waiver of interest at penal rate is sanctioned, a minimum that should be recovered from the defaulting party as penalty.",Â¼ percent,35:
In the case of a loan of which repayment has already commenced the revised rate of interest should be applied ad initio only to residuary portion of the loan outstanding on the date of extension of its period.,,36:
"In cases where loans are to be sanctioned at a concessional rate, payment of Subsidy (Normal interest-concessional interest) should be made condition upon prompt repayment of principal and payment of interest thereon by the borrower.",,37:
"The date of drawal of loan by the borrower will be date on which he received cash, cheque or bank draft from the drawing and disbursing officer.",,38:
"Where the cheque or bank draft is sent through post, the date of posting should be treated as the date of disbursement of the loan",,39:
A monthly report of defaults of principal & Interest should be sent by Min/Dept. to Budget Division by the end of the month following the month to which the transactions relate.,,40:
